id;page;arrêt;date;juridiction;lien;id
180111;139;» Considérant que la loi du 16 fructidor an 3  défend aux tribunaux de connaître des actes d'administration   de quelqu'espèce qu'ils soient    » Considérant que  d'après les articles 21  tit  2  et 28  tit  3 de la constitution de l'an 8  au sénatconservateur seul appartient le pouvoir de juger les actes du Corps législatif et du Gouvernement  qui lui sont déférés par le Tribunal  pour cause d'inconstitutionnalité    » Considérant que l'arrêté des consuls  du 7 fructidor an 3  qui maintient celui du directoire exécutif du 24 brumaire précédent  et en ordonne l'exécution  est incontestablement un acte d'administration générale et de Gouvernement  qui  sous quelque rapport qu'on l'envisage   et sous quelque prétexte que ce soit  ne saurait être soumis à la censure des tribunaux   Jurisprudence  » Qu'il suit de là qu'empêchant  par son jugement du 5 ventose an 9  l'exécution du susdit arrêté du 7 fructidor an 8  le tribunal d'appel de Rennes a violé la loi citée du 16 fructidor au 3  et commis un excès évident de pouvoir   » Le tribunal casse  etc  »   ; 23 floréal an 10. ; Section civile ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f139.image;180111
180112;143;""" Attendu que  quand la loi soumet à la connaissance de certains tribunaux   une espèce de causes qui n'était point d'abord comprise dan s leurs attributions   elle est censée vouloir que ces causes  soient instruites d'après les règles établies dans ces tribunaux   pour l'instruction des procédures   à moins qu'elle n'ait formellement statué le contraire   » Que cette règle est d'autant plus applicable à l'espèce   que l'article 3 du titre 11 de la loi du 22 août 1791  veut que  quant aux saisies en matière de douanes   on se conforme pour l'instruction des procédures   à ce qui  est prescrit par les lois générales de la république  Ainsi  lorsque ces causes étaient du ressort des ci devant tribunaux de district   il fallait les instruire après les règles de procédures établies dans ces tribunaux   soumises ensuite à la jurisdiction des juges de paix   elles doivent s'instruire d'après les règles  établies pour l'instruction des procès  dans les justices de paix  quant aux points où la loi n'en a pas autrement disposé»  disposé» que les lois du 4 germinal an 2 et du 14 fructidor an 3 en attribuant aux juges de paix la connaissance du contentieux des douanes en matière de saisies   n'ont rien changé à  la loi du  l4 OCtobre 1790 quant à la manière  de se pourvoir contre les jugemens des juges de paix tendus par défaut    » Que les législateurs   après avoir dit à l'article 13 du titre 6 de la loi du 4 germinal  que les rapports et pièce joints  seront présentés aux juges de paix   passent de suite dans d'article  14 au jugement prononcé sur les saisies   et à son exécution   sans dire un seul mot de l'instruction de la procédure   tant ilest Vrai qu'ils n'ont voulu porter aucune atteinte a ce  qui se pratiquait dans les  justices de paix pour l'instruct  près là loi du 14 octobre 1790   » D'où il suit que l'on ne peut tirer aucune induction  induction de ce que les lois des 4 germinal  germinal 2 et 14 fructidor an 3  parlent de l'obligation  l'obligation carcela ne doit s'entendre que  des cas où l'appel est recevable    » Qu'ainsi le jùgément attaquéa violé les art  3 et 4 du titre 3 de la loi du 14 octobre 1790   et l'article 3 du titre 11 de la loi du 22 août 1791   » Par ces motifs  le tribunal casse et annulle  etc   "; 4 floréal an 10.;Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f143.image;180112
180113;147;« Considérant que  suivant les articles 13 et 15 du litre 5 de l'édit du commerce  ceux qui ont tiré ou endossé des lettres de change  doivent être poursuivis en garantie dans la quinzaine après le protêt  faute de ce  les porteurs sont non recevables dans toute demande à leur égard    » Que suivant l'article 32 du même titre  le porteur d'un billet de change doit faire ses diligences et exercer sa garantie contre celui qui a signé le billet ou l'ordre  dans le délai prescrit pour les lettres de change  et que par ces termes   celui qui aura signé le billet ou l'ordre   le législateur n'a pu entendre parler que des endosseurs et metteurs d'aval  et nullement du tireur  qui est le débiteur même du billet  auquel là signification en a déjà été faite    » Considérant que  dans l'usage du commerce  ceux qui ont mis leur aval sur des lettres ou billets négociables  sont entièrement assimilés aux endosseurs   et qu'il n'importe pas moins à celui qui a mis sou aval sur un billet à ordre qu'à celui qui a endossé une lettre de change  d'être promptement averti du défaut de paiement de ce billet  pour pouvoir utilement exercer son recours contre le tireur qui peut devenir insolvable   » Par ces motifs  le tribunal rejette  etc »   ; 14 floréal an 10. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f147.image;180113
180114;150;Le tribunal  de l'avis du commissaire   vu l'art  36 de la loi du 22 avril 1791   attendu que rien ne peut justifier les préposés de n'avoir appelé l'adjoint de la commune  dont l'agent municipal était absent   Rejette le pourvoi   ; 12 prairial an 10. _; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f150.image;180114
180115;154;Vu l'article 77 de la loi du 17 nivose au 2   « Attendu que tous les collatéraux qui descendent d'ascendans maternels d'un défunt  quoique ces ascendans soient de diverses branches  sont cependant de la même ligne respectivement au défunt  c'est à dire  de la ligne maternelle    » Attendu qu'on ne peut dire que ces collatéraux soient de lignes différentes  que lorsqu'on les considère entr'eux   mais non pas lorsqu'on les considère respectivement au défunt  par rapport auquel ils sont tous dans la ligne maternelle   » Attendu que ces mêmes collatéraux ne doivent être considérés que dans leur rapport avec le défunt  puisque la parenté avec celui ci est l'unique base du droit à sa succession    » Attendu que quand les législateurs ont inséré dans l'article précité  ces mots  de la même ligne ils ont entendu parler de la même ligne respectivement au défunt  qu'indépendamment de la lettre de cet article  cela résulte encore de l'ensemble de la loi dont il fait partie   et qu'ainsi  le jugement attaqué est contrevenu audit article  en admettant  de la Cour de Cassation   302  la défenderesse   qui ne descend que d'un trisaïeul maternel de la fille Calais  à concourir dans sa succession avec les demandeurs qui descendent d'un bisaïeul également maternel de cette fille   » Par ces motifs  le tribunal casse  etc  »   ; 13 floréal an 10. ; Section civile;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f154.image;180115
180116;156;Considérant que la loi n'exige pas qu'en tête de la demande principale  il soit donné copie du procès verbal de conciliation   mais seulement une copie du certificat du bureau de paix  constatant que la partie a été inutilement appelée à ce bureau  ou qu'il a employé sans fruit sa médiation    Qu'on voit en tête de la demande principale  copie d'une pièce qui constate que Natey a été cité au bureau de paix  et que les parties n'ont pu s'y concilier      Considérant qu'il a été constaté que le retard qui avait eu lieu depuis les offres jusqu'à la consignation   ne provenait pas du fait de la veuve Pregermain   et avait été occasionné par Natey et autres créanciers qui s'étaient opposés à la consignation  et qu'il n'y a aucune loi qui prohibe aux juges de faire supporter les intérêts du retard à ceux  qui y ont donné lieu    Le tribunal rejette  etc   ; 27 floréal an 10. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f156.image;180116
180117;157;Attendu qu'il est constant au procès   et que cela résulte des aveux mêmes du demandeur  que Rouvière n'a été que le prête non de Cabanel  et que c'est ce dernier qui a vendu   que c'est avec  lui que toutes les conditions de la vente ont été réglées   que c'est aussi avec lui que Maury a traité du prix de la vente   Attendu que Cabanel  prêtre déporté et inscrit sur la liste des émigrés   était incapable de vendre  et que ce n'a été que pour échapper à celte incapacité qu'il a eu recours à la simulation et à l'interposition de Rouvière   Attendu qu'en se décidant par cette incapacité qui viciait la vente dans son essence   le tribunal de Nîmes non seulement n'a violé aucune loi  mais a fait au contraire une juste application des lois rendues contre les prêtres déportés inscrits sur la liste des émigrés    Le tribunal rejette   etc   ; 12 prairial an 10. ; Section des requêtes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f157.image;180117
180118;162;"Le tribunal  "" considérant que le tribunal d'appel de Paris a reconnu qu'aucun jugement n'avait autorisé le demandeur en cassation à faire le dépôt ou la consignation   qu'en annullant sur ce fondement ce dépôt  le tribunal a invoqué une jurisprudence notoire et constante  qu'on ne peut trouver un excès de pouvoir dans un jugement qui consacre un point de jurisprudence constante»   Rejette la demande en cassation   etc   "; 11 prairial an 10. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f162.image;180118
180119;168;« Le tribunal  considérant que le citoyen Stoflet ne pouvait pas exciper  dans l'espèce  des articles I et 5 de la loi du 25 messidor au 3  soit parce qu'il ne s'agissait pas d'un remboursement qu'il eût été forcé de recevoir  mais d'un remboursement sollicité ou accepté volontairement  soit parce qu'en supposant même qu'en restant dans sa position première   il eût pu exciper de la loi dans le cas où il aurait reçu volontairement son remboursement  ou au   329  de la Cour de Cassation   330  rait été forcé par son débiteur de le recevoir  il ne le serait plus aujourd'hui  parce que dans l'espèce il y a en novation dans l'obligation souscrite à sou profit le 18 mars I793  au moyen de la lettre de change par lui tirée sur Bar  son débiteur   d'où il suit que le tribunal d'appel n'a point violé la loi du 25 messidor an 3  en déclarant le demandeur non   recevable dans sa demande   » Par ces motifs  le tribunal rejette la requête »   ; 12 messidor an 10. ;Section des requêtes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f168.image;180119
1801110;171;« Le tribunal  attendu que la loi du 4 juin 1793 n'a admis les enfans nés hors mariage au droit de succéder à leurs pères  et mères  que dans la forme qui serait déterminée  que si l'article 1 de la loi du 22 brumaire an 2  appelle ceux de ces  enfans actuellement existans aux succesions de leurs pères et mères qui devaient s'ouvrir à l'avenir  celte vocation est subordonnée à la réserve portée par l'article 10  que cet article 10 renvoie aux dispositions du code civil le règlement de l'état des droits des enfans dont les pères et mères existeront lors de la promulgation du code civil   attendu que le législateur a laissé dans une incertitude plus absolue encore l'état et les droits des enfans nés hors mariage  dont les pères et mères décéderaient  dans l'intervalle de la loi du 12 brumaire à la publication du code  puisqu'il n'en est rien dit  soit dans cet article I0  soit dans aucune autre disposition  que l'article 8 ne lève point cette incertitude  puisqu'il n'a de rapport qu'aux successions ouvertes antérieurement au 12 brumaire an 2  que les articles 11 et 12 ne font autre chose que procurer au père la faculté d'assurer à l'enfant sa filiation et son aptitude à lui succéder  indépendamment de la confirmation de la mère  qui se trouverait prédécédée ou autrement dans l'impossibilité de la donner  et ne statuent rien quant à la mise en action du droit de succéder  et à sa quotité   attendu que cette incertitude existe aussi bien à l'égard des mères décédées dans le même intervalle  qu'à l'égard des pères   puisque les articles I et 10 de la loi du 12 brumaire an 2  diposent pour l'une et pour l'autre espèce de succession   attendu que lorsque le législateur a soumis  à l'égard des successions paternelles et maternelles qui devaient s'ouvrir postérieurement au 12 brumaire  l'exercice du droit de successibilité qu'il créait  ainsi que sa quotité  aux dispositions du code civil  (ce qui a lieu même à l'égard de l'enfant porteur d'une reconnaissance authentique devant l'officier public)   il a dénié   par voie de conséquence  du moins quant à présent  aux actes de naissance ou à la possession d'état  l'effet d'une admission actuellement efficace auxdites successions   successions   » Atlendu que le silence absolu gardé dans tout le cours du procès sur les dispositions du droit romain  touchant la successibilité des enfans nés  535 Jurisprudence  hors mariage à l'égard des mères  est une preuve qu'elles n'étaient pas plus suivies à Besançon que dans la plupart des autres pays de droit écrit  que d'ailleurs  toutes les lois  coutumes  usages et statuts relatifs à la transmissions des biens par succession ou donation  ont été abolis par l'art  61 de la loi du 17 nivose an 2    attendu qu'il résulte de tout ce qui vient d'être dit  que les juges d'appel ne sont contrevenus ni aux dispositions des lois des 4 juin 1793 et 12 brumaire an 2   ni à l'art  7 du litre 20 de l'ordonnance de 1667   qu'ils n'ont pas non plus porté atteinte à l'autorité de la chose jugée  puisque les jugemens rendus entre feue Marguerite Mourlot et la demanderesse   n'avaient fait que régler une pension alimentaire en faveur de celle ci   et confirmer sa filiation   et que le jugement attaqué ne blesse ni l'état  ni les droits alimentaires   Par ce motif  le tribunal rejette le pourvoi  etc  »   ; 23 messidor an 10. ; Section des requêtes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5658896z/f171.image;1801110
