id;page;arrêt;date;juridiction;lien;id
180310;14;Vu l'art  40  titre 2 de la loi du 28 septembre 1791  ainsi conçu  «Les cultivateurs ou autres  qui auront dégradé ou » détérioré  de quelque manière que ce soit  des che» mins publics  ou usurpé sur leur largeur  seront con» damnés à la réparation  ou à la restitution  ou à une ^jrffende qui ne pourra être moindre de trois livres  »H^èxcéder vingt quatre livres  »  Et les articles 605 et 606 du Code des délits et des peines  conçue en ces termes   « Sont punis des peines » de simple police      ceux qui embarrassent ou dé»*Kr*d<éfatr la voie publique  » Le tribunal de police gradue   selon les circonstances et le plus ou le moins de gravité des délits  les peines qu'il est chargé de prononcer  etc   Et attendu que l'article 40 de la loi du 28 septembre 1791 a porté l'amende jusqu'à 24 liv  pour les cas d'usurpation sur la voie publique  et que les tribunaux de police  d'après l'article 606 du Code des délits et des peines  ne peuvent prononcer d'amende au dessus de là valeur de trois journées de travail  Attendu que l'article 605 du même Code ne s'occupe que de ceux qui embarrassent ou dégradent la voie publique  et nonde ceux qui usurpent sur la largeur  ce qui laisse subsister dans son intégrité l'article cité de la loi de 1791   Attendu d'ailleurs qu'il s'agissait d'un point de fait qui pouvait intéresser la grande voierie   Le tribunal passe   etc   ; 21 fructidor an 11. ; Cour de cassation;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f14.image;180310
180311;16;Vu l'art  40 de la loi du 22 frim  an 7   sur l'enregistrement    Considérant que la nullité prononcée par cet article est générale  sans exception ni réserve d'un effet quelconque dans l'intérêt privé des parties  et qu'il n'est point permis aux juges de distinguer là où la loi ne distingue point   Considérant au surplus que la privation de toute action en paiement de la somme stipulée en augmentation au profit du vendeur se concilie parfaitement avec la peine que l'acquéreur doit subir dans l'intérêt et au profit du trésor public   Considérant enfin que  dans l'espèce   il était constant que la somme adjugée aux époux Chenon était stipulée dans une contre lettre sous seing privé  portant augmentation d'un prix de vente stipulé dans un acte notarié  et qui nécessitait l'application de la nullité d'effet voulue par l'article ci dessus cité  casse  etc   ; 13 fructidor an 11. ; Cour de cassation ;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f16.image;180311
180312;19;Vu l'article 9 de la déclaration du 28 juillet 1762   Attendu que cet article abroge  de la manière la plus explicite  l'article 17 de l'édit de 4749  qui annulait les dispositions de dernière volonté faites en faveur des hôpitaux    Attendu que   voir dans la déclaration de 1780 une dérogation à l'article 9 de celle de 1762  c'est en choquer également et l'esprit et la lettre   puisque cette déclaration de 1780  uniquement relative aux constitutions de rente   dit  et rien de plus  que les corps mainmortables  même les hôpitaux   qui voudront prêter à constitution de rente  ne pourront le faire qu'en versant leurs capitaux dans le trésor public   lit qu'ainsi il y a  dans le jugement attaqué  fausse application de cette dernière loi  et violation expresse de l'article 9 de la déclaration de 1762    Le tribunal casse   etc   ; 13 fructidor an 11. ; Cour de cassation ;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f19.image;180312
180313;21;Considérant que   jusqu'à la promulgation de la loi du 14 floréal an 11  il n'existait aucune loi qui réglàt les droits des enfans naturels  dont les père et mère sont décédés dans l'intervalle du 12 brumaire au 2   jusqu'au 29 germinal dernier  époque de la promulgation du code civil sur les successions    Considérant 1°  que l'article premier de la loi du 14 floréal porte que les droits des enfans naturels reconnus   et dont les père et mère sont morts depuis la loi du 12 brumaire an 2  jusqu'à la promulgation du Code civil  seront réglés de la manière prescrite par ses dispositions    2°  Que l'article 46 décide que les enfans naturels ne sont point héritiers  que la loi ne leur accorde de droits sur les biens de leur père et mère  que lorsqu'ils ont été légalement reconnus   3°  Que l'article 47 porte que  si lesdits père et mère n'ont point laissé de descendans  mais des frères ou soeurs  lés droits des enfans naturels sont de la moitié des biens de la succession de leurs père et mère    Considérant que l'héritier  ayant la saisine légale de l'hoirie   a pu valablement disposer de la propriété des biens qui la composent  et que l'enfant naturel n'a que le droit d'exercer contre l'héritier de son père  et sur les biens de la succession  les répétitions qui lui sont accordées par la loi  après  toutefois   le prélèvement des dettes   ; 14 fructidor an 11. ;Tribunal d'appel de Paris;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f21.image;180313
180314;22;"Attendu que   par le testament et codicille notariés   le cit  Surgères a donné à son épouse tout ce que les lois lui permettaient  et permettaient de donner"" au jour de son décès   Attendu qu'il est décédé en son domicile à Dreux  le 14 prairi 1 dernier  qu'à celle époque le Code civil  au titre des testamens  du 13 floréal an 11  promulgué le 23 à Paris  et le lendemain à Dreux  et conséquemment vingt jours avant le décès dud  de Surgères  était en vigueur   Qu'aux termes de l'article 295 de cette loi  le légataire universel est saisi de plein droit  sans être tenu de demander la délivrance   et qu'il est constant que le défunt n'a point laissé de descendans qui seuls auraient droit à la réserve  ni même d'ascendans  d'où il suit que le cit  Beaumanoir  cousin au quatrième degré en ligne collatérale  n'a aucun droit dans la succession dont il s'agit    Le tribunal  au principal  renvoie les parties à se pourvoir  mais  cependant  dès à présent  et par provision   ordonne que les scellés apposés   à la requête de Beaumanoir  sur les meubles et effets  titres et papiers dudit feu de Surgères  seront levés sans description   "; 19 messidor an 11. ; Tribunal de première instance de Paris. ;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f22.image;180314
180315;22;Vu l'article 50 de la loi du 14 décembre 1789    Les articles 2  3 et 5 du titre 11 de celle du 24 août 1790  et les articles 456 et 605 du Code du 3 brumaire an 4   Attendu que le règlement de police du 22 prairial dernier  publié par le maire de Bruxelles  pour assurer là fidélité du débit des boulangers  était un acte administratif dont l'autorité judiciaire devait assurer l'exécution en en punissant les contraventions    Que les contraventions aux règlemens de police sont en effet soumises à des peines par la disposition générale de l'article 5 du titre 11 de la loi du 24 août 1790  ci dessus transcrit    Que les tribunaux de police saisis de ces contraventions par la poursuite du ministère public   doivent donc les punir dans l'étendue des dispositions pénales  qu'ils sont autorisés à prononcer d'après l'article 600 du Code du 3 brumaire an 4  Que l'article 605 du même Code n'est point limitatif  mais seulement démonstratif  et ne déroge point à la disposition générale du susdit article 5 du titre 11 de la loi du 24 août  par lequel toute contravention à des règlemens de police est déclarée punissable   que la contravention à l'arrêté du maire de Bruxelles  du 22 prairial  devait donc donner lieu à la prononciation des peines de police   quoique cet arrêté n'en portât pas expressément la disposition    Que le refus de cette prononciation  qu'a fait le tribunal de police du canton de Bruxelles  est même d'autant plus extraordinaire dans l'espèce  que cet arrêté ordonnait que les contrevenans seraient traduits devant le tribunal de  ( 37 ) Lois et décisions diverses  ( 58 )  ce   traduction qui ne pouvait avoir pour objet que de faire prononcer par ce tribunal  les peines ordonnées par la loi  contre les violations des règlemens de police    Qu'en refusant de prononcer une condamnation contre une contravention à un règlement de police bien constatée dans le jugement même parles procès verbaux et les dépositions des témoins  le tribunal de police du canton de Bruxelles a donc fait une fausse application de l'article 605 du Code du 3 brumaire an 4   qu'il a violé l'article 5 du titre 11 de lu loi du 24 août 1790  et les art  600 et 605 du Code du 3 brumaire an 4   Attendu en second lieu  que ce même tribunal a condamné le commissaire de police faisant fonctions du ministère public  aux dépens  condamnation qui ne lui était pas permise par aucune loi   qu'en cela il a commis un excès de pouvoir   D'après ces motifs  le tribunal casse   ; 20 vendémiaire an 12. ; Cour de cassation;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f22.image;180315
180316;23;Attendu qu'il résulte du jugement rendu à l'égard du demandeur  le 17 brumaire dernier   par le tribunal spécial séant à Turin   et de l'acte d'accusation qui l'a précédé  que le crime dont il est déclaré convaincu  a été commis à la date du 3 janvier 1800  suivant la minute dudit acte d'accusation dans son premier chef   qu'ainsi ledit demandeur était mineur de moins de vingt ans à l'époque de son crime   qu'il y avait à son égard lieu à l'exception tirée de l'âge  et à la commutation des peines prescrites par les constitutions piémontaises   ; 16 floréal an 11. ; Cour de cassation;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f23.image;180316
180317;24;"Vu l'article 37 de la loi sur les patentes  du 1er  brumaire an 7   Attendu que  d'après cet article  les tribunaux ne peuvent être saisis que de l'action résultante du défaut de mention de patente   et nullement de demande en levée de patente   Attendu qu'au pouvoir administratif seul  appartient de décider si un citoyen est ou n'est pas sujet à patente    Attendu que ce principe  assez évident  par lui même  résulte d'ailleurs clairement de la combinaison des articles de la loi du premier brumaire an 7  qui précèdent celui cité  puisqu'on y voit que c'est l'administration municipale qui est chargée de faire les rôles des patentes  et de prononcer sur les réclamations auxquelles il donne lieu    Attendu que si  d'après ces articles  il"" pouvait s'élever à cet égard quelque doute   il serait pleinement levé par l'art  38   qui  en cas de vente par un citoyen non pourvu de patente   veut que le procès verbal qui en sera dressé  soit envoyé  non au commissaire près le tribunal  mais au commissaire près l'administration municipale  et cela  dit l'article  pour faire poursuivre le contrevenant conformément à la présente loi  c'est à dire  évidemment pour le faire poursuivre par le receveur de l'enregistrement par voie de contrainte et de saisie ( aux termes de l'article 7 )  après qu'il aura été compris ou rôle par arrêté de l'administration municipale  Attendu qu'il suit de ces observations que le tribunal de Nevers   en condamnant Boullyer à prendre patente  sur le fondement dé l'art  37 de la loi du 1er  brumaire an 7  a fait une fausse application de cet article  et commis un excès de pouvoir   Par ces motifs  le tribunal casse   etc   18 fruct  an 11    Cour de cassation  section civile    Rapp  Riolz   le cit  Lavaux  pour le demandeur en cassation   FLETRISSURE    DEPORTATION    NON CUMULEES  ( Loi du 23 floréal an 10  )  La flétrissure et la déportation ne peuvent être cumulées  (Jean Claude Ficher contre le ministère public  )  L'article 1er  de la loi du 23 floréal art 10  établit la peine de la flétrissure pour le cas de récidive f  Et l'article 7 statue que la loi n'aura d'effet à l'égard de la flétrissure  en cas de récidive  que jusqu'à l'époque où la déportation pourra y être substituée  conformément à l'article premier de là seconde partie du code pénal   Ces deux dispositions combinées sont elles une abrogation dé la peine de déportation    Par jugement du 18 nivose an 11  le tribunal criminel du département du Rhône   avait décidé que la peine de déportation  au cas de récidive   n'était pas suffisamment abrogée   En conséquence   et à l'égard de Jean Claude Ficher  il avait cumulé la flétrissure et la déportation   Cassation   Vu l'article 7 de la loi du 23 floréal an  10    Attendu que des termes de cet article la flétrissure remplace temporairement la déportati que cette dernière peine ne peut donc être prononcée cumulativement avec celle de la flétrissure  laquelle sera supprimée lorsque les circonstances le permettront  "; 16 floréal an 11. ; Cour de cassation;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f24.image;180317
180318;24;Vu les articles 1 et 2 de la loi du 22 décembre 1790    L'article 85 de la loi du 34 août 1793    Les art  2 et 7 de la loi du 5 prairial an 6   Et l'article 13 du titre a de la loi du 24 août 1790    Attendu qu'aux termes des art  1 et 2 de la loi du 22 décembre 1790   tous les objets dont la liquidation est décrétée  doivent être liquidés par voie administrative    Attendu qu'aux termes de l'art  85 de la loi du 24 août 1793  la liquidation des dettes des communes  sans distinction de celles exigibles et de celles constituées  fait partie des attributions administratives   Attendu qu'aux termes des articles 2 et 7 de la loi du 5 prairial an 6  les dettes des communes de la Belgique doivent être liquidées de la même manière que celles des communes de l'ancien territoire français   Attendu enfin  qu'aux termes de l'article 13 du titre 2 de la loi du 24 août 1790  les autorités judiciaires ne peuvent s'immiscer dans l'exercice des fonctions administratives  d'où il suit que les deux tribunaux civils de l'Ourthe et de Sambre et Meuse  en prononçant définitivement sur le mérite de l'opposition formée par la commune de Theux   depuis la loi du 5 prairial an 6  sont contrevenus audit art  13 du tit  2 de la loi du 24 août 1790   Le tribunal casse etc   ; 4 fruct. an 11. ; Cour de cassation ;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f24.image;180318
180319;25;Considérant que lorsque le partage est formé  les juges appelés pour départager sont investis  relativement à l'affaire qui en est l'objet  des mêmes pouvoirs que les autres juges  tant pour les accessoires et incidens  que pour le fond  que s'il en était autrement  les juges partagés pourraient trouver le moyen de revenir indirectement sur le partage  de se reconstituer juges exclusifs du différend  et d'enlever aux parties le droit qui leur aurait été irrévocablement acquis  d'avoir d'autres juges que ceux qui avaient déjà émis leur opinion   Que l'avis du conseil d'état  outre qu'il n'a pas été invoqué devant le tribunal de Bruxelles  pourvoit seulement au cas où la composition actuelle des tribunaux ne leur permettrait pas de se conformer à la loi du 14 prairial an 6  sans porter obstacle à l'exécution de cette loi à l'égard de ceux qui peuvent s'y confortner  comme celui de Bruxelles  qui l'a déclaré lui même   Considérant que le juge récusé n'avait pas de différend sur la même question  et que la possibilité que ce différend survienne par la suite  n'est pas prise en considération par la loi dont la disposition n'est relative qu'au différend actuellement existant   Par ces motifs le tribunal rejetté  etc  ; 15 messidor an 11. ; Cour de cassation ;https://gallica.bnf.fr/ark:/12148/bpt6k5804929r/f25.image;180319
