id;page;arrêt;date;juridiction;lien;id
180400;5;« Vu les art  459 et 460   » Vu pareillement les articles 827  828 et 859   » Considérant (sur la première question) que les formalités à suivre en fait de vente ou licitation en justice de biens de mineurs sont tracées dans la section 8° du chap  2 de la loi sur la minorité   et qu'il en résulte  articles 459 et 460  qu'après la confection des actes préliminaires   la vente ou licitation doit se faire publiquement en présence du subrogé tuteur  et aux enchères qui sont reçues par un juge ou par un notaire délégué par le tribunal   « Considérant que l'art  827 de la loi des successions  n'est qu'indicatif et distinctif du cas où toutes les parties sont majeures  d'avec celui où il y a des mineurs intéressés à l'acte de licitation   qu'il ne peut pas exister deux manières d'opérer  l'une pour le cas de vente  1  3 Lois et Décisions diverses   pure et simple   l'autre pour le cas de vente par licitation   qu'en disposant  lorsqu'il y a des mineurs intéressés à une licitation  que la vente doit se faire devant le tribunal  l'article ne signifie autre chose  sinon qu'elle doit se faire en justice d'après les règles établies pour l'aliénation des biens des mineurs  que le sens de l'art  827 est tellement indubitable  que l'art  839 l'a déterminé lui même explicitement de la sorte   qu'ainsi il est certain que lorsqu'il s'agit de vendre ou liciter des biens des mineurs  il y a nécessité de se conformer au modèle établi par la loi sur la minorité  et que les juges d'Andelys  en ordonnant que les enchères seraient reçues par le tribunal même  au lieu de l'être par un juge ou par un notaire à ce délégué   a substitué à une formalité alternative une formalité positive qui est hors le sens de la loi  et a commis une violation manifeste de l'art  839 de la loi des successions   section du partage   et des art  459 et 460 de celle sur la minorité   » Considérant que pour se décider dans l'alternative de déléguer   soit un juge du tribunal  soit un notaire  le voeu des parties intéressées dirigé dans la vue de tirer un meilleur parti de la vente  est le point principal à fixer   que dans l'espèce où il s'agit de la licitation d'une terre de la plus haute importance   il est sensible qu'il y aune plus grande concurrence d'enchérisseurs à espérer dans la ville de Rouen que dans celle d'Andelys  que l'intérêt du mineur et des autres copropriétaires est un  et que dans les actes de délibération de famille et de cohérédité  tous s'accordent sur les avantages à commettre à la réception des enchères de la terre de Portmort  un notaire de la ville de Rouen   » Considérant ( sur la seconde question ) que les experts qui doivent procéder aux estimations ayant prêté le serment en tel cas requis devant le tribunal d'Andelys   il serait inutile  et contre l'usage généralement reçu dans la ci devant province de Normandie  d'en exiger un second après la confection de leurs procèsverbaux   » Considérant ( sur la troisième question ) que le notaire d'Andelys  qui peut être préposé à la réception des enchères des biens autres que la terre de Portmort  peut également  d'après l'article 828 de la loi des successions  section des partages  être commis  conformément au voeu de toutes les parties intéressées  pour procéder aux opérations ultérieures de la vente de la terre de Portmort  comme à celle des autres biens  La Cour faisant droit sur la requête du 27 floréal dernier  et sur les conclusions du substitut du procureur général impérial  réforme le jugement  et ordonne que la vente par licitation de la terre de Portmort sera faite à Rouen devant le notaire indiqué  et que celle des autres biens à liciter se fera à Andelys devant le notaire   ordonne que les experts déposeront leurs procès verbaux chez lesdits notaires   savoir  le procès verbal d'estimation de la terre de Portmort chez le notaire de Rouen  et les autres procès verbaux chez le notaire d'Ardelys  dispense lesdits experts de prêter un nouveau serment pour affirmer leurs procès verbaux  et ordonne qu'il sera procédé  devant le notaire d'Andelys  à toutes les opérations ultérieures à la vente des biens dont il s'agit   y compris la terre de Portmort   confirme le jugement sur le surplus   ; 3 prairial an 12. ; Cour d'appel séant à Rouen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f5.image;180400
180401;8;LA COUR     considérant qu'il y a eu reconnaissance par acte authentique  et que c'est là tout ce qu'exige la loi  sans établir de distinction entre les époques où la reconnaissance a été souscrite   A condamné la veuve Cousin Méricourt ès nom à délaisser à Adélaïde le sixième de la succession de son père   9 Lois et Décisions diverses   ; 27 messidor an 12. ; Cour d'appel séant à Amiens. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f8.image;180401
180402;9;"« Considérant que bien qu'il soit vrai de dire   relativement aux mariages antérieurs à la loi  que chaque conjoint a acquis un droit à l'indissolubilité du lien    cette indissolubilité cependant répugnait en certains cas à la nature  à l'essence de tout contrat synallagmatique   et ne tenait qu'à des lois et des opinions religieuses dont la force coactive ayant cessé par le système de tolérance que la loi nouvelle a sanctionné  il s'agit moins ici d'un droit enlevé que de chaînes brisées  et d'un retour à une liberté bien ordonnée   » Que s'il pouvait être question d'appliquer à des lois de ce genre les principes concernant la rétroactivité et les droits acquis  il en résulterait que  même après le Codé civil  l'on devrait  relativement aux mariages contractés en France dans la période écoulée entre la loi de 1792 et la loi nouvelle  admettre des demandes en divorce pour la démence  l'absence pendant cinq ans  et l'éloignement depuis deux   ce qui contrarierait évidemment le voeu de la loi  puisqu'elle n'a sanctionné transitoirement que la continuation des instances déjà pendantes pour les causes sus énoncées à l'époque de la loi nouvelle   et comme c'est là le seul cas d'exceptions qu'elle a prévu quant aux causes antérieures  il s'ensuit que dans toutes ses autres dispositions elle doit être envisagée comme explicative du droit commun  et rece   11 Lois et Décisions diverses   voir dans ces contrées son application à tous les mariages indistinctement   "" Que bien loin d'avoir regardé comme une peine  l'action en divorce  les législateurs l'ont présentée  comme un remède au mal  et comme avantageuse aux  deux époux   ce qui exclut toute idée de droits enlevés   ou d'infraction de convention   » Qu'enfin la privation de certains droits et avantages matrimoniaux  prononcée par la loi contre l'époux attaqué en divorce  ne peut  sous aucun rapport  être assimilée aux peines que l'on inflige à un délit  elle n'est que la déclaration et la fixation faite par la loi nouvelle des dommages intérêts civils  auxquels l'époux qui a donné lieu à l'action en divorce aurait été tenu en vertu des lois antérieures  encore que l'on n'eût formé contre lui que la demande en séparation de corps   » Que de la réunion de toutes ces observations   il suit que le tribunal de Turin a mal jugé en point de droit  lorsqu'il a accueilli la fin de non recevoir opposée par le citoyen Buniva  »  "; 21 floréal an 12. ; Cour d'appel séant à Turin. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f9.image;180402
180403;10;« Considérant que l'interdiction du prodigue Canda  ordonnée par le tribunal de première instance séant en cette ville'  par son décret du 7 germinal an II  conformément aux lois et règlemens alors en vigueur  doit sortir son effet jusqu'à ce qu'elle soit légitimement et régulièrement révoquée par l'autorité légitime   Que c'est une erreur que de supposer que la loi comprise dans le nouveau Code civil et ci dessus relatée  qui a simplement ordonné la nomination d'un conseil judiciaire aux prodigues  ait de plein droit et sans autre formalité restitué à la libre administration de leurs biens  13 Lois et Décisions diverses   les prodigues qui avaient été précédemment interdits par des voies égales   » Que cette loi  en adoptant une distinction entre les prodigues et les imbéciles et autres  a bien pourvu aux cas à venir  mais elle n'a pas révoqué l'effet des provisions précédemment émanées de l'autorité légitime   » Qu'il serait absurde de donner une force et une intelligence aussi illimitée à une loi qui n'a d'autre but que l'utilité des familles  et qui reviendrait par là à opérer un effet tout à fait contraire   » Que s'il est de l'intérêt des prodigues ou d'autres personnes de faire révoquer les décrets légitimement émanés  cette révocation doit être poursuivie judiciairement  et l'avis du conseil de famille entendu   » Qu'en conséquence  et jusqu'à ce que la nomination des curateurs légitimement établie soit révoquée  leur autorité et leurs fonctions ne peuvent cesser  »  ; 5 thermidor au 12. ; Cour d'appel de Turin. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f10.image;180403
180404;12;Vu les dispositions de l'art  231 du Code civil   Considérant qu'il résulte des enquêtes que le sieur Chevalier a proféré 'habituellement des injures graves contre son épouse   que depuis l'époque de son mariage il n'a cessé de la traiter avec mépris  qu'il s'est porté envers elle à des voies de fait et à des violences d'autant plus répréhensibles  qu'elle était alors enceinte  et que cet état exigeait de la part du mari des égards et des ménagemens   Considérant que d'après tous les faits prouvés au procès par l'ensemble des dépositions des témoins  il est évident que la société de la demoiselle Quinrot avec le sieur Chevalier doit être insupportable à ladite Quinrot  Dit qu'il a été mal jugé        renvoie ladite Quinrot devant le magistrat compétent pour prononcer son divorce   ; 30 messidor an 12. ; Cour d'appel de Rouen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f12.image;180404
180406;14;La Cour     Considérant que le droit de jouir de son bien est par lui même une partie de la propriété   que toutefois qu'il en est séparé  ou à condition  ou pour un temps déterminé  par l'expiration du temps   ou par l'événement de la condition   il doit retourner à la pro   21 Lois  et décisions diverses   priété   que le droit de jouir des biens des enfans  accordé par les lois romaines aux ascendans  a été borné par les mêmes lois au temps pendant lequel l'enfant aurait continué de vivre sous la puissance paternelle  comme nous l'apprend la loi 6  § 3  Cod  de bon  quae liberis   que si ce temps n'avait point été fixé par lesdites lois   si à l'événement de l'émancipation  elles accordaient même à l'ascendant une moitié de l'usufruit  non en force de la continuation de ses droits  mais par une espèce de reconnaissance qui lui était due par l'enfant émancipé   il ne peut cependant y avoir de doute que  sans blesser les droits des ascendans  et par des motifs d'utilité publique   le temps de l'émancipation a pu être fixé par de nouvelles lois  et la concession de la moitié d'usufruit  dans le cas d'émancipation à venir  a pu être entièrement abolie   que par la disposition des lois des 3 et 5 germinal an 11  qui n'ont accordé au père la jouissance des biens des enfans que jusqu'à un certain âge  ou jusqu'à leur émancipation  et qui ont ensuite établi le nouveau mode d'émancipation par le mariage  on ne peut douter  ni que le terme de la cessation entière de la jouissance accordée aux ascendans par les lois romaines ait été fixé  ni que la concession de la moitié de l'usufruit qui leur revenait  in proemium emancipationis  n'ait été abolie   « Que ce serait donc en vain  qu'après ces nouvelles lois  le défendeur voudrait encore s'étayer des dispositions des lois romaines  pour contester à la demanderesse le retour de la jouissance de ses propres biens  et pour attaquer de rétroactivité  sous prétexte d'un droit irrévocablement acquis  l'application des nouvelles lois à l'espèce   « Qu'en effet  François Garonne ne peut établir aucun droit irrévocablement acquis  d'après les lois romaines  sur la jouissance de la totalité des biens en question  puisque ces mêmes lois ne lui accordaient ce droit que jusqu'à l'émancipation de sa petite fille  émancipation qui a effectivement eu lieu par son mariage   « Quel droit acquis établira t il encore sur la moitié de ladite jouissance accordée par la loi 6  in proemium emancipationis  si  avant que l'émancipation de sa petite fille ait été prononcée et reconnue par la loi du 5 germinal an 11  la disposition de la loi 6 avait entièrement été abolie par la loi du 3 germinal de la même année   « Considérant  au surplus  qu'en vain le défendeur aurait argué  comme nuisible et absurde  l'application des nouvelles lois aux espèces de la nature dont il s'agit  car il n'y a point d'absurdité de faire cesser  par une loi nouvelle  un droit éventuel qui se renouvelle sans cesse  et qui  d'un jour à l'autre  peut manquer  comme l'était la jouissance en question   et d'ailleurs  s'il peut arriver quelques cas dans lesquels le retour de cette jouissance à La propriété soit nuisible aux ascendans  dans la pluralité des cas  cependant ce retour  qui leur sera à peine sensible  produira les plus grands avantages aux enfans  et au bien général de la nation   que c'est donc en vain que le défendeur voudrait se soustraire  à l'appui de ses différentes exceptions  à la démission des  biens dont il s'agit   dit bien jugé »  ; 7 fructidor an 12. ; Cour d'appel de Turin. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f14.image;180406
180407;18; attendu qu'il ne s'agissait que d'un enlèvement d'objets mobiliers   qui  entre particuliers  de quelque profession qu'ils soient  ne peut donner lieu qu'à une action civile  lorsque le demandeur ne veut pas prendre la voie criminelle   Rejette le pourvoi   ; 13 vendémiaire an 13. ; Cour de cassation. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f18.image;180407
180409;21;Considérant que  quoique le jugement du 29 nivose an 12 ait précédé la loi du 15 ventose  il n'est plus passible de l'exécuter dans la forme déterminée par les lois précédentes  relativement à la nomination d'experts et au rapport  parce que la loi du 15 ventose an 12 en a prescrit une nouvelle  plus simple et propre à abréger les discussions   que ce n'est pas donner un effet rétroactif aux dispositions du Code civil  attendu qu'il ne s'agit pas de décider un point de droit  mais seulement de determiner la forme à suivre dans la procédure   que les lois doivent être exécutées  à cet égard  au moment de leur promulgation   La Cour ordonne qu'il sera procéde en la forme nouvelle   ; 22 floreal an 12. ; Cour d'appel séant à Nismes. Nota. Le motif de l'arrêt est vrai relativement;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f21.image;180409
1804010;21; de l'avis de M  Jourde  substitut du procureur général impérial  a persisté dans son arrêt  3  35 Lois et Décisions diverses  36  ; 8 frimaire an 13. ; Cour de cassation. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f21.image;1804010
1804011;23;« Vu l'art  6 de l'arrêté du directoire exécutif  du 3 prairial an 6   appliqué aux départemens réunis      lequel est ainsi conçu      » Attendu que le testament de Catherine Gardavoie a été reçu par un notaire public  en présence de témoins  dont les noms sont déclinés dans l'acte   et qui l'ont signé   ainsi que le notaire et la testatrice   ce qui suffit pour remplir le voeu des chartes générales du Hainaut  au sujet des testamens    » Attendu que les formes substantielles des testamens ont appartenu aux lois et aux coutumes des lieux où ils ont été faits  jusqu'à l'avènement du Code civil qui a introduit une nouvelle législation commune à tous les points de la République   sur la matière des testamens    » Attendu que les articles 14 et 68 de la loi du 25 ventôse an II sont inapplicables à la matière des testamens   tant parce que les dispositions testamentaires sont régies par des lois qui leur sont spécialement propres   que parce que les termes dans lesquels ces articles sont conçus répugnent à la nature des testamens  » La Cour dit mal jugé     Infirme   etc  »  ; 27 prairial an 12. ; Cour d'appel séant à Bruxelles. ;https://gallica.bnf.fr/ark:/12148/bpt6k5731696s/f23.image;1804011
