id;page;arrêt;date;juridiction;lien;id
180510;10;La Cour  considérant que si les articles 389 de la coutumeme de Normandie constimari propriétaire des meubles et conquêts immeubles de sa femme  et lui conféraient rfleine le droit d'aliéner ses héritages  à la chargé seulement de lui en transporter des siens  a titré de récompense  il ne serait pas  ( 4 )  permis d'en conclure qu'en aucnn tems   et surtout pendant le cours d'une action intentée par la femme  pour faire prononcer sa séparation de corps  le mari fût le maître de dégrader méchamment les biens de sa femme  et que sa qualité de mari fût suffisante pour écarter l'idée d'un délit en pareil cas  qu'elle pourrait tout au plus lé mettre à l'abri des poursuites Criminelles  à cause de l'honneur du mariage  mais que ses complices n'en seraient pas moins dans le cas d'être poursuivis criminellement  si le cas le requérait    Rejette  etc   ; 26 pluviose an 13. ; Section criminelle. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f10.image;180510
180511;11;La Cour  après un long délibéré dans la chambre du conseil    «attendu que l'édit de 1771 n'a pas été reçu dans toutes les anciennes Cours   qu'il n'a été enregistré dans plusieurs que sous différentes modifications  qu'il n'était point une règle générale do l'état  et que l'exécution uniforme ne pouvait pas en être exigée dans tous les tribunaux  qu'il est attesté par le jugement attaqué que  suivant la jurisprudence constante du ci devant parlement de Toulouse  l'article 32 dudit  édit a toujours été entendu et appliqué dans le sens que les hypothèques des femmes  sur les biens de leurs maris  pendant la vie de leurs maris  pour leurs dots  comme pour l'augment de dot  étaient dans l'exception  et que pour icélles  il n'était pas nécessaire de former opposition    Rejette  »  ; 25 prairial an 13. ; Section civile.;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f11.image;180511
180512;12;  « Vu les art  2 et 4  titre 1er  et article 39  titre 3 de la loi du 11 brumaire an 7   sur le régime hypothécaire   portant     art  2    L'hypothèque existe  mais à la charge de l'inscription       art  4     Quant aux hypothèques que les femmes ont droit d'exercer sur les biens de leurs maris  et à toutes autres hypothèques légales  elles frappent  au moment même de l'inscription  sur  tous les biens appartenons au débiteur  et situés dans l'arrondissement du bureau où se fait l'inscription    Le créancier peut aussi  par des inscriptions ultérieures  mais sans préjudice de celles antérieures à la sienne  faire porter son hypothèque sur les biens qui écherraient à son débiteur ou qu'il acquerrait par la suite    art  39    Les hypothèques qui n'auraient pas été inscrites avant l'expiration des trois mois  n'auront effet qu'à compter du jour de l'inscription qui en serait requise postérieurement    dans le même cas  les privilèges dégénéreront en simple hypothèque  et n'auront rang que du jour de leur inscription    CONSIDÉRANT en droit qu'il résulte de ces dispositions  1° que tout privilège qui n'a pas été conservé au désir et dans le délai prescrit par cette loi   dégénère en simple hypothèque   2° que cette hypothèque ne prend rang et n'acquiert d'effet que du jour de son inscription  nonobstant tous statuts locaux  lesquels sont formellement abrogés par l'art  56 de la même loi  3° que les femmes en puissance de mari ont le droit de conserver leurs hypothèques par la voie de l'inscription  sans distinction  si elles sont communes ou séparées de biens  ni si leurs inscriptions portent sur des biens personnels du mari ou sur des conquêts de communauté   4° qu'il ne peut être préjudicié au rang que l'inscription assure à leur hypothèque par aucune créance postérieurement inscrite  ce qui est en parfaite harmonie avec les dispositions du code civil  et notamment avec le §   3 de l'art  2195    CONSIDÉRANT en fait que la régularité et l'antériorité de l'inscription  de la demanderesse sur celle du défendeur  n'étaient pas contestées  que néanmoins  par l'arrêt attaqué  la priorité d'effet et la préférence de rang ont été accordées au défendeur    casse  etc  »  ; 16 fructidor an 11. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f12.image;180512
180513;13;La cour    attendu qu'il est reconnu en fait  qu'il n'y a pas d'autre immeuble dans là succession de Thérèse Massa   que celui dont elle a légué  l'usufruit  à Jean Joseph Guigo   et que d'ailleurs ledit Guigo est en même tems légataire de la propriété de tout le mobilier de cette succession    que l'art  612 du code civil assimile l'usufruitier universel  quoique à titre particulier  au légataire d'usufruit à titre universel    que la cour d'appel s'est conformée à cette disposition de la loi  en autorisant JeanBaptiste Massa  en sa qualité d'héritier  à faire vendre une portion de l'immeuble sujet à l'usufruit légué audit Guigo  jusqu'à concurrence des dettes réclamées   si mieux ledit Guigo n'aime lui même payer le créancier  sauf répétition contre  l'héritier  après cessation de l'usufruit    rejette  étc   ; 4 fructidor an 13. ; Section des requêtes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f13.image;180513
180514;14;   « Considérant que le douaire de la dame d'Héricy était ouvert par la séparation de biens prononcée entr'elle et son mari  dès 1791  que dès cette époque  elle en a été saisie  puisque son contrat de mariage porte qu'il courra à son profit  du jour que le douaire a lieu  sans être obligée d'en faire demande en justice    Considérant qu'elle s'est trouvée dès lors co propriétaire avec son mari en usufruit  et que sa propriété n'a pu être compromise  quoique la sentence de séparation n'ait pas été immédiatement suivie de la formation des lots à douaire  l'exercice du droit ne devant pas être confondu avec le droit même  et le partage ou confection des lots à douaire étant déclaratif et non attributif de propriété    d'où il suit que les dispositions de la loi de brumaire an 7  concernant l'inscription des créances ou droits d'hypothèque ou privilégiés  sont inapplicables à l'espèce actuelle  où il s'agit d'une co propriété pour laquelle la même loi établit l'action en revendication  au lieu de la soumettre aux formalités du régime hypothécaire   Considérant que ce motif est suffisant pour justifier l'arrêt attaqué  et qu'il serait superflu d'examiner les autres questions à la décision desquelles il s'est surabondamment livré     rejette  etc  » ; 25 thermidor an XIII. ; Section des requêtes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f14.image;180514
180516;19;La Cour    àlttendu que la cour d'appel d'Angers n'a vu dans l'acte du 2 mai 1801 (12 floréal an 9 )  rien qui caractérise un testament olographe   et qu'en jugeant que cet acte ne pouvait avoir l'effet d'un testament  elle n'a violé aucune loi    Rejette le pourvoi   ; 6 thermidor an i3. ; Sect. dès requêtes ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f19.image;180516
180517;19; après un long délibéré à la chambre du conseil   vu l'art  12 du titre 6 de la loi du 4 germinal an 2 sur les douanes  et l'article 12 du titre 4 de celle du 9 floréal an 7 sur la même matière    « et attendu que de la combinaison des lois précitées  il résulte  i° que la connaissance en premier ressort des saisies et contraventions en matière de douanes  appartient aux juges de paix des lieux   20 que l'inscription de faux incident  contre les procès verbaux de saisie des préposés des douanes  doit être suivie devant le juge saisi de la connaissance du fonds de la contestation} qu'il suit de là que lorsque  en matière de douanes  l'inscription de faux est incidente à une procédure de première instance  pendante devant le juge de paix  ce juge est compétent pour connaître de ce faux incident     que cette couse * quence ne saurait être atténuée par la disposition de l'art  15 de la loi du 9 mars 1791  qui  exclut les juges de paix de la connaissance de l'inscription de faux   par la raison que cet article étant uniquement relatif à la procédure devant la justice de paix proprement dite  ne saurait avoir d'application à la compétence de juge de paix considéré comme juge d'attribu   tion spéciale en matière de douanes  qu'ainsi  dans l'espèce  le juge de paix d'Ysendyke  saisi tout à la fois  et de la connaissance de la contravention qui lui a été déférée d'après le procès verbal des préposés des douanes  gfcde  l'inscription de faux incident intentée contre ce procès verbal par le sieur Geensen  devait connaître civilement de ce faux incident  au lieu d'en renvoyer  comme il l'a fait  la  connaissance à d'autres juges   que  de son côté  le tribunal de l'arrondissement d'Assenéde  au lieu de connaître de piano de l'inscription en faux dont il s'agit > avant qu'elle eût été suivie CU première instance devant lé juge de paix  ; i3 messidor an i3. ;Section civile.;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f19.image;180517
180518;24;Attendu qu'endéclarant légalement acquises  et en maintenant les hypothèques des créanciers de Belin Desmarets  sur les biens revendiqués par le demandeur  la cour d'appel de Caen n'est contrevenue à aucune loi  puisque par l'effet de sa déportation  de la confiscation qui s'en était suivie  et de la remise faite de ses biens à Belin Desmàrëts  par les lois de fructidor an 3 / les  créanciers de celui ci ont eu juste motif de* lé considérer comme propriétaire'desdits biens  et qu'on hé saurait les pri ver des    hypothèques qu'ils ont ^acquises   sans tromper la foi publique  ~~rejette  etc  j   h i  ; 5 messidor an 13. ;— Section des fequèrj tes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f24.image;180518
180519;27;"  faisant droit sur le réquisitoire du procureur gènéral impérial  et sur l'inter  vention des parties de Chabroud   sans avoir égard à l'ordonnance du directeur du jury de Saint Brieuc  du 3o vendémiaire dernier  qui ""est considérée comme nulle et non avenue  ordonne  quepar le même directeur de jury  et par le tribunal de première instanceduditlieu jugeant correctionnellement  il sera procédé à l'instruction entière  et au jugement du procès à eux renvoyé par l'arrêt de ladite cour de justice criminelle et spéciale d'ille et Vilaine  du 3o fructidor dernier  tant en ce qui concerne l'existence ou non existence du délit d'importation de marchandises anglaises  et là culpabilité ou non culpabilité des prévenus Brizoux  Belleville etfaurès  qu'en ce qui concerne l'application à faire  s'il y a lieu  des peines portées par la loi à qui il appartiendra   casse et annal le  pour excès de pouvoir  etdans l'intérêt de la loi  l'arrêt de ladite Cour de justice criminelle criminelle spéciale d'ille et Vilaine  du 3o frnctiv dor dernier   ordonne que le présent arrêt sera>  imprimé et transcrit sur les registres de ladite Cour   "; 16 pluviôse an 13.;Section des requêtes. Rapp. M. Chasles. v ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f27.image;180519
1805110;28;   tttendu que Jalouzot  commissau e priseur  n'a pas été mis en demeure de payer les sommes dont il était dépositaire avant le mois de prairial an 9    rejette le pour J voi  etc  ; 4 thermidor an i3. ; Section des requêtes. ~ Rappi M. Oudot. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802559w/f28.image;1805110
