id;page;arrêt;date;juridiction;lien;id
180500;7;Laure Sanino est elle recevable dans l'opposition par elle formée    En cas négatif   y a t il lieu aux dommagesintérêts  dommagesintérêts elle réclamés    La Cour     vu l'art  172 du code civil 5  Considérant que d'après une disposition si expresse de la loi  il est évident que Laure Sanino   qui n'allègue qu'une simple promesse de mariage   est dénuée de tout fondement dans son opposition   Sur la seconde question     considérant que  suivant le droit romain   il est permis à un des fiancés' de renoncer aux fiançailles   L  1  cod de Spons    et quoique sur les traces du droit ecclésiastique   et par principe d'équité  le fiancé réfractaire ait quelquefois été condamné à des dommage intérêts   cela n'a cependant eu lieu que très rarement et pour des causes très graves  et particulièrement lorsque les promesses ont été suivies de la cohabitation des fiancés'  ou d'autres faits éclatans qui ont pu causer du scandale au préjudice de la fiancée    Que cette jurisprudence n'est point applicable à l'espèce  puisqu'il s'agit d'une simple promesse   qui n'a pas été suivie d'aucun fait qui eût pu compromettre l'honnêteté de la demanderesse Laure Sanino    Qu'il s'agit d'un jeune homme   dont la minorité' pouvait lui servir d'excuse même pour un refus capricieux   à l'exemple de ce qui est établi à l'égard des   arrhes par la loi 5    cod  de Spons   Qu'enfin il s'agit d'un refus qui ne tient pas à la  7 Lois  et Décisions diverses   8  volonté de Ratti   qui est nécessité par la loi   et par une loi qui est survenue après sa promesse   ce qui est aussi à remarquer en faveur de Ratti   puisqu'on ne peut pas lui objecter d'avoir fait sa promesse au mépris d'une loi qui lui empêchât de tenir sa parole   on ne peut l'accuser de mauvaise foi à l'instant qu'il  prit ses engagemens   on ne peut l'en accuser dans à suite   puisque c'est par la loi   indépendamment de sa propre volonté   que Ratti est obligé de se refuser au désir de la demanderesse Laure Sanino   et que celle ci ne peut pas même se plaindre et s'opposer à un nouvel engagement de Ratti   que puisque Ratti n'a point  de sa volonté   causé aucun dommage à la demanderesse Sanino   et celle ci n'est point assistée en droit en sa demande principale  il est conséquent qu'elle soit aussi déboutée à l'égard de sa demande en dommages intérêts    Dit avoir été bien jugé au premier chef du jugement dont est appel  concernant l'opposition  et mal d'icelui appelé par les père et fille Sanino  •  Et mal jugé au second chef dudit jugement  concernant les dommages intérêts  et bien appelé par Ratti   émendant  déboute lesdits Sanino de leur demande en dommages intérêts  lés dépens pour une moitié à la charge des demandeurs Sanino  et pour l'autre moitié compensés   ; 14 floréal an 15. ; Cour d'appel de Turin. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f7.image;180500
180501;12;La Cour     Attendu que la disposition du jugement de première instance   qui ordonne à la femme de venir habiter avec son mari   sans mettre dans la main de celui ci aucun moyen coactif pour l'y contraindre  est illusoire    Qu'en droit   la séparation de biens   soit judiciaire   soit contractuelle   n'a jamais été pour une femme un motif de déserter  à sa volonté   le domicile de son mari   de convertir la séparation de biens en séparation d'habitation   Faisant droit sur l'appel  dit qu'il a été mal jugé   émendant   ordonne que   dans dans un mois   à compter de la signification du présent arrêt   la femme Pleumartin sera tenue de venir habiter avec son mari  dans l'appartement qu'il occupe rue de Caumartin  n°  733  ou dans tout autre qu'il pourra prendre dans la suite   sinon  et faute de ce faire  le délai passé  en vertu du présent arrêt   et sans qu'il en soit besoin d'autre   autorise Pleumartin à faire saisir les revenus de son épouse   pour iceux être versés et déposés entre les mains de Boulard   notaire à Paris   que la Cour nomme séquestre à cet effet  et sauf contre la dame Pleumartin   s'il y a lieu   tous moyens de contrainte ultérieure   ; 22 prairial an 13. ; Cour d'appel ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f12.image;180501
180502;13;Vu les art  845   919   920 et 926 du Code civil   Attendu  1°  que l'esprit et la lettre des nouvelles lois n'annullent point en entier les libéralités  par lesquelles un testateur ouun donateur aurait dépassé les bornes de la portion disponible   2°  qu'elles soutiennent au contraire ces libéralités jusqu'à concurrence de la portion disponible   en obligeant l'héritier   le donataire ou le légataire à rapporter l'excédant '  3°  que le vrai sens des art  843 et 919  c'est qu'il doit résulter évidemment de la volonté du donateur ou du testateur   tendante à ce que les légataires   les héritiers ou les donataires prélèvent les parts dont ils disposent en leur faveur   4°  que Diémoz père en ne léguant que 500 liv  à chacune de ses filles   et eu instituant ses enfans mâles dans toute l'hérédité  a évidemment manifesté son intention   qu'elle parvînt en entier à ces derniers   sous la distraction des legs faits aux filles   5°  que les premiers juges  loin d'avoir violé les lois nouvelles  s'y sont au contraire exactement conformés   car en ordonnant le prélèvement du quart de l'hoirie en faveur des défendeurs et le partage du surplus en cinq lots égaux   les der(1)  der(1) 1448   An XIV  1806  Sup   19 Lois  et Décisions diverses  20  niers seront tenus de rapporter nécessairement la portion indisponible   6°  que Diémoz n'était pas tenu de faire une nouvelle disposition  après la publication du Code   dès lors que son ancien testament prouvait évidemment qu'il  voulait favoriser les enfans mâles   70  que la seule conséquence qui résulte du défaut de disposition postérieur au Code   c'est que Diémoz a voulu que son testament fût exécuté dans toutes les parties conciliables avec la loi nouvelle   Dit avoir été bien jugé par le jugement dont est appel  etc   ; 7 prairial an 13 ; Cour d'appel de Turin;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f13.image;180502
180503;24;     Considérant qu'il est constant  10  que le sénatus consulte velléïen avait force de loi dans* toute la ci devant province de Normandie   avant la promulgation des lois des 17 et 24 pluviose an 12  qui ont abrogé cette partie de la législation  20  Que les obligations dont il s'agit  contractées par la partie de Sirey  ont pour date le 25 germinal an 11   et par conséquent sont antérieurs auxdites lois   à mis et met l'appellation et ce dont est appel au néant    Emendant  décharge la partie de Sirey des condamnations contre elle prononcées   au principal  déclare nuls et dé nul effet les traités et conventions dudit jour 25 germinal an 11  et tout ce qui a suivi  etc   ; 11 frimaire an XIV. '; Cour d'appel séant à Paris. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f24.image;180503
180504;25;"Considérant que l'article 121 de l'ordonnance de 1629 porte que les jugemens rendus   contrats ou obligations reçues dans les royaumes et souverainetés étrangères   pour quelque cause que ce soit  n'auront  aucune hypothèque ni  exécution dans le royaume de France   Considérant que l'art  2123 du code civil porte que l'hypothèque ne peut résulter des jugemens rendus en pays étranger   qu'autant qu'ils ont été déclarés exécutoires par un tribunal français   que la mesure  prescrite par ledit article n'est pas une simple formalité   et qu'il en résulte que les tribunaux ne doivent déclarer exécutoires les jugemens rendus en pays étrangers   qu'en connaissance de cause   et après un nouveau débat des questions devant eux   Considérant que   d'après l'article 14 du Code civil   l'étranger  même non résidant en France   pourra être traduit devant les tribunaux français pour les obligations par lui contractées en pays étranger envers un Français   Considérant que la disposition de cet article est) générale  et comprend tous les actes par lesquels un étranger a pu s'obliger en pays étranger envers un"" Français   La Cour  sans avoir égard à l'appel comme de juge incompétent  interjetté par le capitaine Hielsm Trom   ordonne que les parties plaideront devant elle   tant sur le mérite de le saisie faite par ledit Hielsm Trom du navire dont il s'agit   que sur la demande en dommages et intérêts formée par ledit Canier   les dépens réservés en définitif   "; 8 prairial an XIII. ; Cour d'appel séant à Poitiers. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f25.image;180504
180505;26;La cour   Considérant que le Code civil   promulguéantérieurement au nouveau système embrassé par l'appelant   a des dispositions qui expliquent  d'une manière positive  quels sont les chemins que l'on doit envisager comme des dépendances du domaine public   Considérant que l'article 538 lève tous les doutes qu'aurait pu présenter la loi de 1790   qu'il n'y a   en effet  d'après cet article  que les chemins  routes et rues à la charge de la nation   et autres objets qu'il détermine   qui doivent être considérés comme def  45  Lois  et Décisions diverses  46  dépendances du domaine public   les chemins vicinaux  à la charge des communes sont donc exceptés  Or   la difficulté portant sur une usurpation prétendue de la largeur d'un chemin vis à vis de la propriété de l'appelant  il a le droit incontestable et qualité pour réclamer par les voies judiciaires   et tout particulier pourrait même le faire  si l'usage de ce chemin lui était nécessaire pour aller sur ses propriétés 7 ou pour toutes autres communications relatives   à l'effet d'en user et profiter   La cour  sans s'arrêter à la fin de non recevoir proposée  met l'apellation au néant  avec amende et dépens  ; 28 thermidor an 13.;Cour d'appel séant à Metz. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f26.image;180505
180506;29;Attendu que quoique le Code civil  qui a) introduit un droit nouveau concernant les enfans naturels reconnus  semble  par l'article 383   les avoir assimilés   quant à la jouissance paternelle   aux enfans nés d'un légitime mariage  d'où il faudrait conclure qu'en cas pareil  la préférence semblerait due au père   néanmoins il a paru à la Cour que le procès présentait moins à décider à qui des deux de Jean Laperche ou de Marie Mensac le Code civil attribue la garde de Louis Alexandre Laperche   que de savoir si le plus grand avantage de cet enfant ne lui impose pas l'obligation de décider que Marie Mensac doit en demeurer chargée   que le silence de la loi et la diversité des arrêts rendus sur cette matière font voir assez que la justice n'a de règle immuable à suivre que celle qui lui fait un devoir d'adopter le parti qui présente un plus grand avantage pour l'enfant   An XIV  1806   IIe  Part   D  51  Lois  et Décisions diverses  52  Attendu qu'il demeure pour constant aux yeux de la Cour  que la tendresse de Marie Mensac pour Louis Alexandre Laperche son fils  loin qu'elle se soit affaiblie  semble au contraire s'être accrue avec le tems  que les infirmités dont elle a soutenu  à l'appui de certains certificats d'officiers de santé  qu'il est atteint  ont été pour elle l'occasion de déployer à son égard tous les secours dont une mère tendre et éclairée est capable  et que ces infirmités de l'enfant n'ont pas empêché cette mère de commencer heureusement son éducation   Attendu que non seulement il ne parait pas que Jean Laperche ait  en aucun tems  rivalisé avec Marie Mensac d'attention et d'amour pour LouisAlexandre  son fils   mais qu'il ne paraît même pas qu'il s'en soit occupé à une seule époque de sa vie   si l'on en excepte sa citation en bureau de paix  du 30 germinal an 13  qui serait au reste un témoignage bien tardif de la tendresse paternelle  que la vérité de cette observation résulte de la lenteur   ou plutôt du refus de payer lapension de 806 francs qui fut réglée par des personnes auxquelles Jean Laperche avait donné sa confiance  qu'il résulte de l'ensemble de ces faits que Marie Mensac n'a pas mérité que la garde de son fils et la charge de surveiller son éducation lui fussent enlevées   qu'ils sont au contraire pour la Cour un motif puissant de décider qu'elle doit être maintenue dans lesdites garde et surveillances  Attendu enfin que les garanties que la conduite de la mère  à l'égard de l'enfant  présente à la justice  sont de nature à lui faire penser qu'en le laissant confié à ses soins   elle fait le plus grand avantage de cet enfant   Par ces motifs   La Cour  sans s'arrêter  à 1'appel interjetté par Jean Laperche   du jugement rendu par le tribunal de Marmande  le 5 thermidor an 13  dit qu'il a été bien jugé  ordonne que ce dont est appel sortira son plein et entier effet  etc   16 frimaire an 14    Cour d'appel séant à Agen   CONDITION  VIDUI TÉ   Décidé que la condition de viduité   insérée dans un contrat de mariage' fait en 1789   est obligatoire   et que la veuve dont le mari est décédé en l'an 5 a perdu la pension conditionnelle'  en se mariant à la fin d l'an 6   ; 20 janvier 1806. ;Arrêt de cassation;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f29.image;180506
180507;32;"La Cour     Considérant  1'  que la loi qui accorde une pension alimentaire à l'époux divorcé indigent   est une suite du bénéfice de compéttnce   d'après lequel le mari poursuivi en restitution de dot   était autorisé  par les anciennes lois   à prendre sur les biens qui la composaient   de quoi pourvoir à sa subsistance   d'où il résulte que   de même que ledit bénéfice  de compétence  la ""pension dont il s'agit doit être réglée suivant l'état des parties lors de la dissolution du mariage   et sans égard à l'accroissement survenu depuis dans la fortune dePe^ poux chargé de la pension   2°  Que"" les principes en matière d'alimens   ne sont point applicables aux époux divorcés   parce que   si des alimens que se doivent mutuellement des parens   sont essentiellement provisoires   et doivent être toujours proportionnés aux besoins de l'un et à la fortune de l'autre   c'est parce qu'entre parens les mêmes liens subsistent toujours    tandis qu'au contiaire tout lien est   rompu par le divorce entre les époux   qui deviennent étrangers l'un à l'autre     3°  Que   dans le cas particulier  la pension due à l'intimé a été réglée entre les parties par la sen   tence du tribunal de famille  du 12 vehtdse an 2   suivant l'état de la fortune de l'appelante à cette époque   que par conséquent le règlement qui en a été fait alors   doit être maintenu   4°  Que ce règlement est d'autant plus irrévocable  quvilpeutêtre considéré comme une transaction  puisqu'il a eu lieu ensuite des demande  soumission et consentement respectifs des parties  qui ont même prévu l'avenir  l'appelante s'étant obligée de payer la pension et de fournir le logement spécifiés   jusqu'au décès de son mari   et ayant renqncé au bénéfice de l'art  9 du § 3 de la loi du 20 septembre  •792Par ces motifs     La Cour   ■  réformant le ju   57 Lois  et Décisions diverses   58  gement de Vésoul  a débouté Pathiot de ses fins et conclusions originaires   tant par fins de non recevoir qu'autrement  etc   "; 20 brumaire an 14» ; Cour d'appel séant à Besancon. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f32.image;180507
180508;37;   Ouï M  Calpozzo  substitut de M  le procureur général impérial       » Vu les art  971   973   974 du Code civil  et la  loi du a5 ventôse an 11     An XIV  1806   E  67 Lois  et Décisions diverses  68    Considérant que la loi exige   à peire de nullité  la mention expresse que le notaire a lu le testament au testeur   que cette mention expresse n'existe nulle part dans l'acte   que les mots fui reçu  lu et publié le testament en présence de témoins   prouvent bien que le notaire a fait/lecture de l'acte aux témoins  mais non pas au testateur 5  qn en joignant les susditsmots à ceux qui existent au commencement de l'acte  desquels il résulte que le testateuretles témoins s'étaient réunis devant le notaire  il en résulte bien une conjecture que le testateur apu entendre la publication de l'acte  mais non pas cette preuve évidente exigée par la loi  que le notaire a lu l'acte  au testateur luimême   que e'est4àune formalité qui  intéresse bien plus essentiellement le testateur que les  témoins   car si la loi a voulu que la lecture fût faite directement à la personne du prédécédé   c'est pour lui fournir le moyen de changer ses dispositions  ou d'y ajouter    Considérant que la loi prononce la nullité du testament par acte public  lorsque le notaire ne fait pas mention expresse qu'il a été écrit par lui   que cette mention doit être faite dans l'acte même en présence du testateur et des témoins  et avant leur signature   qu'il suffit pour s'en convaincre de suivre l'ordre dans lequel sont placés les art  971   972   973 et Q74   puisque l'on y verra que l'obligation imposée au notaire de déclarer qu'il a écrit le testament   précède celle de la signature du testateur et des témoins   Que cela est d'ailleurs cônformeàl'ésprit de la loi  puisque tout le contenu dans l'acte public dénommé au testament devant être connu du testateur et attesté par les témoins  il s'ensuit nécessairement que tout ce qui forme l'acte doit être rédigé avant leur signature   afin que l'on acquière par là la certitude îque le tout a été fait et écrit en présence du testateur et des témoins^ certitude qui manque dans l'espèce   dès lors que le notaire a fait sa déclaration après la signature dont il  s'agit  que le testament par acte public étant un acte notarié  les dispositions de la loi du 26 ventôse an 1 1   concernant l'organisation du notariat lui sont applicables  que cette loi auxart  i3  1 4 j '5 et 68   exige que les actes notariés ordinaires  soient reçus par deuxnotairesoupar un notaire en'préseiice de deux témoins  que les actes faits en contravention de cette disposition sont*huls   comme actes publics   et ne peuvent valoir que comme des actes   sous signature privée   si les parties y ont signé   que ces actes seront signés par les parties   les témoins et les notaires  qu'ils soient écrits dans un seul et même contexte   que les renvois et apostilles écrits en marge soient signés et paraphés tant par les notaires que par les autres signataires   à peine de nullité des' renvois et apostilles   qu'il ne doit y avoir ni surcharges   ni interlignes  ni additions dans le corps de l'acte  et que les mots surchargés   interlignés   ou   ajoutés   seront nuls   qu'enfin s'il y a des mot rayés  le nombre doit en être constaté et approuvé de la même manière que les renvois 5  Considérant que de l'ensemble de ces dispositions  il résulte bien évidemment que la présence des témoins est nécessaire  non seulement pour le fond de la disposition de Pacte   mais encore pour tout son contenu  que le ministère du notaire ne donne  le caractère d'authentièite^ i un acte notarié qu'autant que la présence des  témoins y concourt  présence toujours nécessaire 1 quand il s'agit de testament  que dans un acte notarié  et par conséquent dans le testament public   il ne dcit y avoir rien qui ne soit signé par le testateur et les témoins   à l'exception de la signature simple du notaire  qui est la dernière en ordre   qite si quelque 1 partie de l'acte n'est pas signée par le testateur et les témoins  elle ne peut jouir de la foi due à un acte authentique  conséqûemment  que la mention faite par le notaire   dans le testament en question  après la signature des témoins  d'avoir écrit lui même   doit  être envisagée comme ayant été faite hors de l'acte   et comme une attestation privée de sa part  < que  les mots italiens   ho ricevuto il testamento   placés avant la signature en question  ne peuvent point suppléer à l'omission dont il s'agit  car il est bien évident qu'un notaire peut avoir reçu un testament sans qu'il en résulte qu'il l'ait écrit de sa main   et il n'en serait pas moins reçu par lui  quand bien même il l'eût fait écrire de la main d'un de ses clercs   que tout ce qui a été dit par les appelans relativement à l'inscription en faux contre le notaire est étranger à la question sur la validité ou nullité du testament  car s'agissant ici d'une forme qui est de rigueur  la déclaration du notaire n'a pu faire preuve  qu'autant qu'elle a été insérée dans l'acte   d'où il faut conclure que  vraie ou fausse  la déclaration du notaire ne peut  dans l'espèce  influer sur le jugement de la Cour   Dit avoir été bien jugé par le jugement dont est appel  etc   ; 3o frimaire an 14. ; Cour d'appel séant à Turin. Av. MM. Pean et Paoletti. ;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f37.image;180508
180509;39;La Cour     Attendu que   dans l'esprit  comme dans l'expression de l'article 8    J 3 de la loi du 20 septembre 1792  la demande en alimens à former par l'un des époux Contre l'autre  doit l'être à l'instant même de la prononciation du divorce  et qu'il n'y est plus admissible pour cause  d'indigence survenue après la dissolution du mariage    Rejette  etc   ; 8 janvier 1806. ; Section dés requêtes;https://gallica.bnf.fr/ark:/12148/bpt6k5802646m/f39.image;180509
