id;page;arrêt;date;juridiction;lien;id
180810;16;Attendu que   d'après l'article 10 de la loi du 29 septembre 1791  les actes passés en pays étrangers ou dans les colonies  sont sujets  sujets la formalité de l'enregistrement  dans tous les cas où les actes sous signature privée y sont assujétis  et dans les mêmes délais et sous les mêmes peines   Attendu que la loi du 5 décembre 1790 porte  Les actes des notaires et les exploits des huissiers seront assujétis   dans toute l'étendue du royaume  à un enregistrement  pour assurer leur existance} et constater leurs dates   et que l'article 9 de la même loi porte   A défaut d'enregistrement dans les délais fixés par l'article précédent  un acte passé par devant notaire ne pourra valoir que comme acte sous signature privée     d'où il suit qu'à défaut d'enregistrement  le contrat passé par devant notaires au Cap  île Saint Domingue   le 7 pluviose an 5   n'a pu être considéré en France que comme un acte sous signature privée   et qu'en jugeant qu'une inscription prise en France sur un tel contrat était nulle  la cour d'appel séante à Poitiers s'est conformée aux lois ci dessus citées   la cour  rejette la requête  ; 7 décembre 1807. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f16.image;180810
180811;17;Vu les articles 1  2 et 6 du décret du 17 juillet 1993   et les décrets d'ordre du jour des 2 octobre  même année  et 7 ventose an 2    Considérant que la rente établie par le contrat du 4 juin 1769  fut imposée à titre de fief en faveur du comte de Mesplès  seigneur de Vives et autres lieux   Qu'il fut convenu que la rente imposée serait portable au château seigneurial d'Esquile    Que le comte de Mesplès déclara agir  dans ce contrat  tant en son nom qu'au nom du marquis de Mesplès  son père  seigneur dudit lieu d'Esquile    Considérant que la rente établie par le contrat du 30 décembre 1779 fut imposée à titre de cens et fief  par le marquis de Mesplès  seigneur dudit lieu d'Esquile   Qu'il fut également convenu que cette rente serait portable au château seigneurial d'Esquile    Qu'il fut convenu  en outre  que Lafeuillade paierait au marquis de Mesplès la dîme des fruits qu'il récolterait  sur le fonds cédé dès la première année de l'exploitation    Considérant que les rentes créées par les deux contrats ci dessus énoncés  bien loin d'être purement foncières  sont  au contraire  évidemment féodales  soit d'après le cens et le fief qui en forment l'essence  soit d'après les qualités des individus  en faveur desquels elles furent imposées  soit d'après  la condition de portabilité exprimée dans les contrats   ( 14 )  Considérant que la cour dont l'arrêt est attaqué  en ordonnant la prestation de ces deux renies  a formellement violé l'article 1er de ladite loi  et fait une fausse application de l'article 2 qui ne concerne que les rentes purement foncières    Considérant que ladite cour  en ordonnant le paiement des arrérages de la dîme dont il s'agit jusqu'au 1er janvier 1791  a violé l'article 6 de la même loi  et les décrets d'ordre du jour des 1 octobre 1793 et 7 ventose au 2    Qu'il suffisait  en effet  que la stipulation de la dîme dont il s'agit fût établie par le même contrat  pour qu'il y eût lieu   d'après les lois   à en prononcer la suppression  par rapport au mélange de cens  de la seigneurie et de la féodalité    La Cour casse  etc   ; 19 janvier 1807.; Section civile.;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f17.image;180811
180812;18;Vu la loi du 23 septembre 1793  qui avait attribué à la régie de l'enregistrement les fonctions de commissaires receveurs aux saisies réelles    Attendu que  d'après cette loi et les règlemens relatifs aux fonctions des commissaires aux saisies réelles  les fermiers judiciaires étaient tenus de payer entre les mains de ces commissaires le prix échu de leurs baux  en deniers ou quittances valables  que le tribunal de l'arrondissement d'Uzès  en dispensant Lamblard de déposer ou le prix de son bail   ou les quittances valables qui pouvaient en constater le légitime emploi  et de prendre de la régie de l'enregistrement  après la remise des pièces ou des deniers  la quittance définitive qui pouvait seule opérer sa libération   a violé les lois ci dessus citées    Par ces motifs   la Cour casse   etc   ; 14 janvier 1807. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f18.image;180812
180813;20;LA COUR    considérant que chaque bureau de la régie doit recevoir la déclaration des biens situés sous son arrondissement  et que les droits et les obligations respectifs de la régie et des héritiers peuvent varier pour les délais   suivant la position des choses sur  l'arrondissement de chaque bureau  Casse  etc   ; 7 avril 1807.;Sections réunies.;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f20.image;180813
180814;28;« Attendu que les présomptions tirées par les juges d'appel  des diverses circonstances consignées dans l'arrêt  étant venues à l'appui des dispositions de l'art  23 du titre 5 de l'ordonnance de 1673  il n'y a eu aucune atteinte au sens dans lequel le rapprochement des art  24  25 et 26 du même titre   peut faire entendre cet article 23   la Cour rejette     »  ; 25 novembre 1807.;Section des requêtes.;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f28.image;180814
180815;30;« Attendu que la Cour de justice criminelle du département du Cher n'a rejeté l'excuse fondée sur l'ivresse  proposée par François Chiguin   que sur le motif que cette circonstance n'avait pas été prouvée  que ce motif établit que la preuve de l'ivresse l'eut fait admettre comme excuse   que néanmoins  l'ivresse étant un fait volontaire et repréhensible  ne peut jamais constituer une excuse que la morale et la loi permettent d'accueillir  la Cour improuve le motif donné par la Cour de justice criminelle du département du Cher  au rejet qu'elle a prononcé sur l'excuse proposée  par François Chiguin   etc   ; 15 octobre 1807. ; Section criminelle. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f30.image;180815
180816;31;« Attendu   en ce qui concerne Marguerite  Werner   femme Goffer   que si le sieur D  vivait encore  et qu'il fût convaincu d'avoir reçu de l'argent des conscrits   si les faits articulés contre lui étaient déclarés constans  constans ce médecin serait punissable   que son décès qui empêche toute poursuite contre lui  n'en affranchit pas ceux qui peuvent avoir été ses complices  et que l'arrêt attaqué déclare que la femme Goffer a reçu et rendu de l'argent qui était destiné à des gratifications qu'on  payait au sieur D à raison de la visite des  conscrits dont il était chargé  qu'il paraît même  ajoute l'arrêt  qu'elle n'ignorait pas l'objet de ces présens  et qu'elle recevait  de son côté  une petite portion de ces sommes  de la part de son maître  ou de ceux qui imploraient ses bons offices     Que cependant  la Cour de justice criminelle a cru que l'état de dépendance et de domesticité dans lequel était la femme Goffer à l'égard dusieur D      a pu ôter aux actions de cette femme le caractère de délit  comme si l'obéissance qu'un domestique doit à son maître   pouvait s'étendre jusqu'à ce qui blesse les lois et l'ordre public   qu'ainsi la Cour de justice criminelle  d'après les faits reconnus par elle  a encore violé la loi en acquittant la femme Goffer  »   La Cour casse   etc   ; 14 août 1807. ; Section criminelle. Rapp. M. Seignette. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f31.image;180816
180817;35;(De l'avis de M  Daniels  S  p  g  i )   « Vu l'art  36 du lit  2 de la loi du 22 juillet 1791   et l'art  456 du Code des délits et des peines   du 3 brumaire an 4    Attendu  1° que la Cour investie du droit de juger si les lois pénales ont été bien appliquées  ne peut en apprécier l'application que d'après les faits sur lesquels elle a été prononcée     Que les arrêts des Cours de justice criminelle doivent donc contenir la fixation précise des faits dont l'instruction a produit la conviction  que ces faits seuls peuvent servir de règle à la délibération de la Cour  qui ne pouvant juger de l'application de la loi sur une déclaration vague de circonstances et de présomptions  indéterminées  ne doit y avoir aucun égard     Que ce principe s'applique au délit moral et complexe d'escroquerie  comme aux délits qui se forment par des faits simples et matériels   que la loi ayant fixé les faits moraux qui peuvent constituer l'escroquerie  les faits simples qui peuvent être les élémens  de ces faits moraux doivent être articulés dans les arrêts   et que la Cour a caractère pour juger de la conséquence qui en a été déduite  puisque cette conséquence  qui n'est que la qualification des faits  est la base de l'application de la loi pénale  et le lien qui la rattache aux faits simples  dont la déclaration  plus ou moins exacte  est seulement hors des attributions de la Cour     Attendu en second lieu  que si la Cour de justice criminelle du département du Loiret a déclaré qu'il était constant que C    avait  par dol  par fraude  vaines espérances  fausse entreprise et craintes chimériques   chimériques  de la crédulité de L  D  L   escroqué une partie de sa fortune  et tenté de lui en escroquer la totalité  cette déclaration n'étant pas une déclaration de fait   mais une   appréciation morale  une qualification donnée aux faits que ladite Cour  avait reconnus constans pour en déduire l'application de l'art  35 du titre 2 de la loi du 22 juillet 1791  il rentre dans les attributions de la Cour de juger si ces faits ont dû être ainsi qualifiés   et s'ils avaient véritablement  véritablement caractère de dol  de fraude   de vaines espérances  de fausse entreprise  de craintes chimériques  et tout à la fois l'objet et l'effet d'abuser de la crédulité et d'escroquer tout on partie de la fortune de L  D  L      Que relativement aux faits antérieurs à l'acte du bail du 1er mars 1806  ils se réduisent à des actes de prêts qui intéressaient nécessairement C      à la conservation de la fortune de L  D  L    son emprunteur   que s'ils ont contenu des intérêts onéreux  la stipulation de ces intérêts ne saurait avoir aucun rapport avec l'appli   ( 32)  cation dudit art  35 de la loi du 22  juillet 1791     Que relativement à l'acte du bail du 1er mars 1806  et aux faits qui l'ont accompagné   ce bail a été provoqué par les demandes pressantes et réitérées de secours faites par L  D  L  à C         que s'il a été la  condition que C a exigée pour satisfaire  L  D  L   il n'en a pas moins été un acte libre  qu'il ne présente qu'un contrat civil  dont les clauses peuvent être préjudiciables à L  D  L    mais dont la lésion ne peut avoir aucun des caractères qui constituent l'escroquerie telle qu'elle est définie par la loi   qu'il ne donnait à L  D  L  aucun moyen   même apparent  d'opérer sa libération  qu'il n'a donc pu abuser sa prudence  ni surprendre sa crédulité    Que ce bail  considéré respectivement à la contre lettre dont il peut avoir été suivi  et aux faits qui lui ont été postérieurs  ne pourrait être réputé avoir été un moyen frauduleux d'escroquerie par abus de crédulité et par des espérances chimériques  qu'au cas qu'il eût été reconnu par la Cour de justice criminelle du Loiret  que la contre lettre avait été   non pas seulement déniée   mais soustraite on détournée   et qu'au moyen de cette soustraction   ou de ce détournement  C se serait  affranchi des obligations qu'il pouvait y avoir contractées   pour exercer des droits qui ne lui auraient été donnés que fictivement et par des clauses simulées   mais qu'un pareil fait n'a point été déclaré par ladite Cour    Que si cette Cour a déclaré que la contrelettre avait été  par le fait de C      soustraite  détournée ou cachée   celte déclaration présentant l'alternative de faits absolument différens   n'en décide aucun particulièrement   et qu'en réalité   il ne résulte de l'instruction qu'une simple dénégation de la contre   lettre     Que cette dénégation pourrait peut être être considérée comme un moyen d'arriver à une escroquerie  mais que cette intention n'a été prouvée  d'aucune manière   que  d'ailleurs  l'article 35 du titre 2 de la loi du 22 juillet 1791 ne s'applique qu'à l'escroquerie consommée  et non pas au projet  ni même à la tentative d'escroquerie   Que les différens actes qui ont existé entre les parties  et les faits reconnus par la Cour de justice criminelle du département du Loiret  qui ont précédé   accompagné ou suivi ces actes  considérés aussi dans leurs rapports et leur ensemble  ne présentent pas davantage les caractères déterminés par l'article 35 du titre 2 de la loi du 22 juillet 1791  pour constituer l'escroquerie  que la Cour de justice criminelle du Loiret a donc faussement appliqué cet article et par suite en a commis violation    Par ces motifs  la Cour casse  etc   ; 3 décembre 1807. ; Section criminelle. Rap. M. Busschop. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f35.image;180817
180818;37;« Attendu que  d'après l'article 42 du titre 2 de la loi du 22 juillet 1791  les amendes de la police correctionnelle sont solidaires entre les complices   que la cour dont l'arrêt est attaqué a fait  par conséquent  une juste application de cette loi  en condamnant les réclamans solidairement au paiement des amendes respectivement prononcées contre eux    Rejette le pourvoi  etc   ; 11 septembre 1807. ; Section criminelle. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f37.image;180818
180819;39;Attendu qu'en décidant que l'acte du 26 brumaire an 13 ne devait pas être considéré tomme un acte public   dès lors qu'il était dénué de la signature de l'officier  public chargé de le recevoir  signataire  qui seule pouvait  constater  légalement l'intervention de cet officier  officier le tribunal civil de Sarlat n'est contrevenu à aucune loi   La cour rejette   etc   ; 2 novembre 1807. ; Section civile. ;https://gallica.bnf.fr/ark:/12148/bpt6k5529817k/f39.image;180819
