id;page;arrêt;date;juridiction;lien;id
181400;6;Attendu que l'acte de naissance du 2 nivose an 13  extrait des registres de l'état civil de Salmbach   porte que Jean N  N  est né ledit jour   et qu'il est fils de Marie Anne Müssel   l'intimée   le père n'y est pas dénommé   mais il se trouve signé ainsi   CASIMIR GILLMANN père  c'est l'apelant    Attendu que par son testament du 10 février 1806  ledit appelant assure la propriété de tous ses biens à Jean Gillmann   fils de Marie Anne Müssel  et l'usufruit à celle ci  dont elle jouira jusqu'à ce que cet enfant ait atteint dix huit ans  à charge de l'entretenir jusques là  à la vérité par ce testament l'appelant ne dit pas que ledit enfant soit son fils   mais le jugement dont est appel porte qu'il en a fait l'aveu à l'audience même   qu'il n'est pas disconvenu des  faits posés par l'intimée   ni contesté les pièces par elle produites pour les constater  reconnaissant qu'il lui doit une indemnité  et qu'il est dans l'obligation de pourvoir à l'entretien de l'enfant  provoquant  à cet égard   à une délibération de famille pour régler l'indemnité et la pension   etc     Attendu que si l'art  334 du Code Napoléon veut que la reconnaissance d'un enfant naturel soit faite par acte authentique  lorsqu'elle ne l'aura pas été par son acte de naissance  le législateur n'a cependant pas donné de formulaire de cette déclaration     or  dans l'espèce  la reconnaissance est géminée  puisqu'elle résulte  1°  de l'acte de naissance même  que l'appelant a signé comme PÈRE  signature qu'il n'a pas déniée   et encore moins a t il osé provoquer à la rectification de cet acte  2°  de son aveu judiciaire consigné dans le jugement même  qui équivaut bien  sans doute à l'acte authentique dont parle l'art  354 du Code cité   joint encore à cela la circonstance du testament   Attendu que c'est mal à propos  dès lors  qu'il a prétendu   en appel  que la demande originaire était inadmissible  ayant pour objet la recherche de la paternité interdite par l'art  340  ce qui  si le fait était vrai  eût présenté à la décision des juges une question d'état  Et Décisions diverses  5  tandis qu'au contraire cette demande n'avait eu pour objet d'une part  qu'une indemnité à l'intimée à raison de l'état humiliant dans lequel l'appelant l'a mise pour l'avoir séduite  et faute d'avoir voulu exécuter les promesses de mariage qu'il lui avait faites   et d'autre part la pension due à l'enfant par lui reconnu authentiquement à plusieurs reprises   Mais la condamnation à 800 fr  d'indemnité  et à 100 fr  de pension pour l'enfant est elle juridique   ou est elle exagérée   comme l'a soutenu l'appelant subsidiaireinent    Attendu que  suivant l'art  1142 du Code Napoléon  toute obligation de faire ou de ne pas faire se résout en dommages intérêts   en  cas d'inexécution de la part du débiteur   que d'après l'art  1382   tout fait quelconque de l'homme qui cause à autrui un dommage   oblige celui par la faute duquel il est arrivé à le réparer    Attendu qu'en appliquant ces principes à l'espèce   l'outrage fait par l'appelant à l'intimée étant constant  et même avoué par lui  et les premiers juges attestant que la fortune de celui ci est assez considérable   la condamnation à 800 fr  d'indemnité est juridique   qu il en est de même de la pension de 100 fr  pour l'enfant reconnu   et suffisamment représenté dan» la cause par l'intimée  sa mère et tutrice naturelle  pension d'ailleurs modique  or  le père doit des alimens à son enfant naturel   même incestueux   suivant l'art  762 du Code Napoléon   ainsi il y a lieu de confirmer à tous égards    Par ces motifs  la Cour  prononçant sur l'appel du jugement rendu entre les parties  par le tribunal civil de Wissembourg   le 2 juillet 1812   met l'appellation au néant  avec amende et dépens   ; 24 mars 1813. ; Cour imp. de Colmar. ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f6.image;181400
181401;7;Attendu   pour ce qui regarde les effets de l'adoption   qu'ils sont  réglés par l'article 4 de la loi du 13 avril 1803  combiné avec l'article 350 du Code Napoléon   et qu'ils consistent en ce que l'adopté Adam Théobald peut exercer   sur la succession de son père adoptant   tous les droits accordés à un enfant naturel et légitime  l'adoptant ne les ayant pas restreints à une moindre portion par une affirmation faite devant le juge de paix    Attendu que le testateur étant décédé sans postérité naturelle et légitime  sa succession entière est échue à Adam Théobald  son fils adoptif  sauf la portion disponible    Qu'ainsi  sous ce rapport  les premiers juges ont bien jugé en réduisant la totalité de l'usufruit des biens délaissés par le testateur  dont il a disposé en faveur de son épouse   à la moitié seulement de l'usufruit de ces mêmes biens   l'article 1094 du Code Napoléon ne permettant pas à un époux avec enfans ou descendans d'excéder cette quotité au profit de l'autre époux   qu'il y a donc lieu de confirmer le jugement dont est appel    La Cour met l'appellation au néant   avec amenda et dépens   ; 22 janvier 1813. ;Cour impériale de Trêves. Pl. MM. Ruppenthal et Papé.. (P.) ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f7.image;181401
181402;8;LA COUR    Vu l'arrêt du 27 janvier de cette année  rendu entre l'appelant et le nommé C     vu les articles 1268  1270 du Cod  Nap  905  C  pr  civ   et 575 du Code de commerce    Attendu que l'action qui dérive du stellionat est une action purement civile et personnelle  et que conséquemment elle ne peut appartenir ni produire d'effet que dans l'intérêt de celui envers lequel le stellionat a été commis   et que ce serait en altérer essentiellement la nature et le caractère   que de l'envisager comme une action publique et profitable à tout créancier quelconque d'un débiteur qui n'a été stellionataire qu'à l'encontre d'un seul   que c'est d'après ces principes et dans ce sens que les commentateurs les plus célèbres attestent que doivent être entendus les termes généraux des articles 905 du Code de procédure cirile  et 575 du Code de commerce    Attendu qu'en appliquant ces principes à l'espace  il est évident que l'intimé   qui ne justifie aucunement' que l'appelant ait commis le stellionat à son préjudice   Et Décisions diverses  5  ne peut se prévaloir de l'arrêt qui a été rendu entre l'appelant et C     par lequel l'appelant a été déclaré stelliorataire  et qu'il peut d'autant moins fonder ses oppositions à l'admission au bénéfice de la cession de biens réclamé par l'appelant  sur ledit arrêt  que celui au profit duquel il a été rendu   aurait  par acte de conclusions prises à l'audience et signé de lui   déclaré consentir que  dans son intérèt   l'arrêt susdit soit regardé comme non avenu   et sa créance envers l'appelant envisagée comme et inte  et l'appelant admis à jouir du bénéfice que le jugement du tribunal de première instance de cette ville  du 5 janvier 1811   lui avait accordé   '  Attendu que l'intimé ne peut avec plus de succès écarter l'appelant d'un tel bénéfice en soutenant qu'il ne peut être rangé dans la classe des débiteurs malheureux et de bonne foi  auxquels seuls le Code Napoléon  en l'art  1268  permet de faire la cession de biens  car il suffit de remarquer à cet égard que l'appelant  dans sa requête au tribunal de première instance  sur laquelle intervint le jugement ci devant énoncé  a fait un récit très détaillé de tous les accidens malheureux qui l'avaient réduit dans l'état de détresse dans lequel il se trouvait  sans qu'il résulte qu'il ait été  dans cette partie  démenti en aucune matière   Par ces motifs  met ce dont est appel au néant  émendant  sans s'arrêter aux oppositions et conclusions de l'intimé  dit que le jugement du tribunal de première instance de cette ville  du 5 janvier 1811   sortira si pleine et entière exécution   condamne l'intimé aux dépens   ordonne la restitution de l'amende   ; 21 décembre 1812. ; Cour impériale de Turin. ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f8.image;181402
181403;10;Attendu qu'il est acquis en fait que le moulin de l'intimé et les prés de l'appelant appartenaient jadis au prince de Porrentrui   que le canal du moulin aboutissait   par une pente assez forte   à la rivière où il se déchargeait   tel était l'ancien état des lieux   ainsi établi par destination du père de famille   lorsque l'appelant l'a interverti  en faisant construire une scierie   à environ deux cents pas au bas du moulin   en pratiquant un canal qui   par une ouverture   se réunit au canal du moulin pour en recevoir les eaux   et en fai     Et Décisions diverses  7  sant établir un barrage en pierres  depuis le déchargeoir du canal du moulin   ce qui force les eaux dudit canal à s'élever à la hauteur de celles du canal de l'appelant   et les fait refluer sous les roues du moulin au préjudice de son roulement   or   le canal du moulin   étant un ouvrage fait de main d'homme   son lit est censé être la propriété de l'intimé   comme faisant une partie intégrante et nécessaire de son moulin  ainsi   quoique ce canal traverse la propriété de l'appelant   celui ci n'a pas été en droit de rien interposer  ou de faire aucun établissement dans l'intérieur du canal du moulin   ni d'y faire aucune prise d'eau   dès lors l'article 644 du Code Napoléon   invoqué par l'appelant   devient sans application   puisque sa disposition n'est relative qu'aux eaux courantes établies par la nature   sans avoir eu besoin de la main de l'homme   c'est donc avec raison que les premiers juges ont condamné l'appelant à faire enlever le barrage en pierres qu'il a établi au mois de septembre 1811  à travers le canal de fuite du moulin de l'intimé  à l'extrémité dé son déchargeoir   et il y a lieu de confirmer cette décision   Par ces motifs  la Cour met l'appellation au néant avec amende et dépens   ; 12 juillet 1812.;Courimpériale de Colmar.;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f10.image;181403
181404;11;Attendu que par contrat notarié du 24 avril i8o5   Balthasar Koeser et sa femme ont vendu à quatre vingthuit individus de Roppenheim   professant le culte protestant  une maison  jardin et dépendances audit Roppenheim   que les acquéreurs destinèrent  y est il dit  à servir de logement à leur pasteur  ledit immeuble   porte le contrat  devant rester affecté à cette destination tant que les contractans ne lui en auront pas  d'un avis unanime  assigné une autre   et à cet égard il échet de remarquer que Koeser  vendeur  pour contribuer de sa part à cette oeuvre pie   a voulu aussi être coacquéreur    Attendu que le sieur Rehm   auquel plus d'une vingtaine de ces acquéreurs ont cédé leurs parts   demanda et obtint  par le jugement dont est appel  que la maison serait partagée ou licitée à l'effet de lui en être attribué le quart   jugement qui   sur l'appel  a été infirmé par arrêt par défaut  auquel le fiiew Rehm est opposant   Attendu qu'à la vérité il est de principe   consacré par l'article 815 du Code Napoléon  invoquépar le sieur Rehm   que nul ne peut être contraint à demeurer dans l'indivision   et que le partage peut être toujours demandé   mais cette disposition n'est nullement applicable à l'espèce   puisque les quatre vingt individus qui figurent au contrat de 1806  n'ont pas   conjointement avec le vendeur lui même   voulu acquérir la maison en question pour en jouir en commun   qu'ils se sont interdit au contraire toute jouissance en la destinant à l'usage du pasteur protestant   que le procès est l'unique cause pour laquelle celui ci ne se trouva pas encore en possession   et que sans cela la donation eût pu en être faite il y a long temps   et présentée à l'acceptation du Gouvernement   et qu'à défaut d'acceptation   la vente de 1806 se trouverait résiliée de plein droit d'après la stipulation expresse y portée  Il est donc évident dès lors que le jugement du tribunal civil de Strasbourg   du 28 juillet 1810   a été mal rendu   que c'est avec raison qu'il a été infirmé sur l'appel par l'arrêt par défaut du 11 août 1812   et qu'ainsi l'opposition du sieur Rehm à cet arrêt est mal fondée   Attendu que   dès qu'il échet de débouter de cette opposition   il n'y a plus à s'occuper de la demanda incidente de Balthasar Koeser   vendeur originaire et coacquéreur  tendante à faire déclarer le contrat résolu  faute par le sieur Rehm de vouloir en remplir les conditions    Par ces motifs  la Cour déboute le demandeur de son opposition et le condamne aux dépens   ; 20 mars 1813. ;Cour impériale de Colmar.;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f11.image;181404
181406;14;Attendu que les articles i 3 et 174 du Code Napoléon désignent les ascendans et les collatéraux qui peuvent former opposition au mariage d'un de leurs parens   que ces articles sont limitatifs  et que tous les individus qui ne se trouvent pas daris l'un des degrés y énoncés   ne sont pas reccvables à former opposition   d'où la  conséquence que celle d'un fils et d'une petite nièce ne peut être admise   Par ces motifs   la Cour dit très bien jugé   etc   ; 16 mars 1813. ; Cour impériale d'Aix. ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f14.image;181406
181407;14;Attendu qu'il est constant  dans le fait  que le couvent de la testatrice   Marie Christine Goerres   a été supprimé en 1806   par une ordonnance du prince de Nassau Weilbourg   souverain du pays   et que la testatrice a fait son testament en 1812   dans la ville de Coblentz    Et dans le droit   que   par l'effet de cette suppression ou sécularisation   qui a rendu la testatrice à la  Et Décisions diverses   vie séculière   qu'elle n'a plus quittée jusqu'à sa mort  elle a recouvré les droits civils qu'elle avait perdus pendant qu'elle vivait dans le couvent  encore qu'elle eût continué de rester saumise aux devoirs spirituels de son ordre   l'incapacité d'un religieux de rester cessant naturellement avec la cessation de l'existence de sa corporation monastique   en faveur de laquelle elle était introduite  d'où il suit que  quand même l'autorité Spirituelle n'aurait pas concouru à la suppression du couvent de la testatrice   en dégageant les religieuses de leurs voeux   cette circonstance n'empêcherait pas la suppression prononcée par le prince de produire ses effets civils  à l'égard des religieusesséculariséees    Qu'il importe peu d'examiner si la testatrice  quoique née sur la rive gauche du Rhin   et y étant décédée après six ans de domicile   devait néanmoins être considérée comme étrangère)  puisque tout en la considérant comme telle   et en supposant même que les traités invoqués par les intimés  portant abolition du droit d'aubaine entre l'ancien Gouvernement français et le prince de Nassau Weilbourg n'eus ent plus de force aujourd'hui  elle aurait toujours pu tester en faveur de sujets Français  les art  726 et 912 du Code Nap  déclarant seulement les étrangers incapables de succéder à des Français  lorsque ceux ci ne sont pas admis à succéder à ceux là dans leur pays   d'où il s'infère que lés appelans   qui sont Français eux   mêmes  ne sont pas recevables à attaquer le testament de MarieChristine Goerres fait au profit des intimés  également sujets de l'Empire français  et que les premiers juges ont de même bien jugé en validant ce testament  sous le rapport de la capacité de la testatrice    Par ces motifs   la Cour met l'appel au néant  avec amende et dépens   ; 13 août 18l3. ; Cour imp. de Trêves. ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f14.image;181407
181408;15;"Attendu que   par la clause insérée à l'obligation notariée du 22 thermidor an 11  1e créancier Adolphe Martini n'a pas été autorisé 4 s'approprier les biens donnés en hypothèque pour sûreté de sa créance  ou à eu disposer autrement à son gré   mais seulement à vendre ces biens publiquement et sans formalités  pour être remboursé du prix de la vente  au cas que les débiteurs resteraient en retard de payer au terme convenu  sur la sommation qui leur en serait faite  d'où il suit que cette clause ne peut pas être considérée comme un pacte commissoire prohibé par les lois  et qu'en conséquence le motif qui a servi de base au jugement dont est appel était inapplicable à l'espèce  quand même les premiers juges ne se seraient pas trompés   en croyant que la prohibition des clauses  commissoires ne regarde pas les hypothèques   mais le gage proprement dit   Attendu qu'il n'existe point de loi ancienne ou nouvelle qui défende à un créancier et à son débiteur  lorsqu'ils sont maîtres de leurs droits   de convenir d'un mode qui leur parait le plus avantageux pour la vente du gage ou de l'hypothèque en cas de non paiement aux termes fixés par le contrat   et qu'il y a lieu de maintenir leurs stipulations chaque fois que le mode de vente qu'ils ont choissi exclut toute possibilité   toute idés même de dol et de fraude de la part du créancier   en mettant  comme dans l'espèce   le débiteur à même de veiller à ses intérêts et d'obtenir le prix réel de la chose donnée en gags ou hypothèque  par le concours d'enchérisseurs qu'amène nécessairement une adjudication publique faite sur les lieux mêmes    Que la circonstance que le créancier Martini a été autorisé de vendre sans formalités les biens hyp( thé   qués   ne peut pas vicier cette clause de nullité   lors2  lors2  12 Lois  qu'on considère que la vente n'en devait pas moins être faite publiquement  et par""conséquent précédée d'affichés de publications pour lui donner un caractère de ■publicité  de façon que la dispense des forrrfalités ne peut s'entendre  dans l'espèce  que de celles qui sont prescrites pour les ventes judiciaires    Enfin que   de l'acte que les intimés ont fait signifier le 15 juin 1811 aux débiteurs  il résulte assez que c'est dans ce jens qu'ils ont entendu exécuter la clause portée au contrat obligatoire du 22 thermidor an 1 1   puisqu'au lieu d'exclure ceux ci de participer à la vente  ils leur ont  au contraire   indiqué que  faute par eux de payer dans les trois mois   ils feraient   le 17 septembre de la même année  à deux heures de relevée   procéder à la vente des biens dans la maison commune de Veldentz   lieu de leur situation  et pardevant un notaire public à ce requis  d'où il s'infère que les débiteurs n'avaient pas seulement un délai suffisant pour se procurer des moyens de paiement  mais aussi le loisir de concourir à la vente et de soigner leurs intérêts  et qu'en conséquence il y a lieu de confirmer le dispositif du jugement dont est appel      Par ces motifs    la Cour met l'appel au néant   avec amende et dépens   "; 15 avril 1813. ; Cour imp. de Trêves. ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f15.image;181408
181409;16;    Considérant que l'article 872 du Code de procédure contient une dérogation implicite à l'article 1444   Code Napoléon   que la femme peut bien   si elle veut  commencer ses poursuites avant le délai de l'année   mais qu'elle n'est pas tenue de le faire   Considérant que l'article 273 donnant le délai d'un an aux créanciers pour former tierce opposition au jugement de séparation   il est évident que l'article précédenî n'a pas voulu astreindre la femme à exécuter le jugement avant ce délai   parce qu'autrement les poursuites de la femme deviendraient souvent sans utilité pour le succès de la tierce opposition   a mis l'appellation au néant   émendant  etc   ; 24 décembre 181 1. ; Cour imp. de Limoges;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f16.image;181409
1814010;16;Attendu qu'aux termes de l'art  556 du Code de proc  civile  un pouvoir spécial était nécessaire à l'huissier pour l'autoriser à exercer son ministère   à l'effet de la saisie immobilière dont il s'agit  que celui qui a été rapporté  daté du 25 janvier 1812  étant sous seing privé  et n'étant enregistré que le 16 avril 1812  n'est censé avoir de date certaine qu'à cette dernière époqne  d'agrès l'art  1328 du Cod  Nap    d'où il suit que la saisie immobilière en question doit être considérée comme ayant été faite sans le pouvoir exigé impérativement par l'art  556 précité   et qu'elle est par conséquent viciée de nullité   ce qui dispense d'examiner les autres moyens allégués par l'appelant   Par ces motifs      La Cour   met l'appelation et  Et Décisions diverses  13  ce dont est appel au néant   émendant  et faisant ce que les premiers juges auraient dû faire   déclare la saisie immobilière faite au préjudice de l'appelant   avec tout ce q ui s'en est suivi  nulle et de nul effet  avec dommages intérêts fixés à dix fr  et dépens  tant de première instance que d'appel   ordonne la restitution de l'amende consignée  ; 23 décembre 1812. ;Cour impériale de Trêves ;https://gallica.bnf.fr/ark:/12148/bpt6k5548362x/f16.image;1814010
