id;page;arrêt;date;juridiction;lien;id
182510;6;LA COUR    Attendu que chacun a le droit de réclamer l'usage d'un chemin public  que si ce droit appartenait exclusivement au fonctionnaire chargé de l'administration de la commune  il s'ensuivrait que celui qui aboutirait à un chemin public pourrait être enclavé dans sa propriété par lu fait de son voisin  sans avoir une action directe pour faire réprimer une semblable entreprise  ce qui est évidemment contraire au droit inviolable et sacré de la jouissance de la propriété  Sans avoir égard à la fin de non valoir articulée par le sieur Darnaud et la rejetant  surseoit à prononcer sur l'appel jusqu'à ce  que le tribunal de Lombez ait statué sur la demande formée par le maire de Sauvimont  etc   etc   ; 30 mars 1824. ; Cour royale d'Agen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f6.image;182510
182513;12;LA COUR    Attendu  sur la fin de non recevoir articulée par le  sieur S  prise de ce  qu'il ne pouvait etre considéré comme ayant tenu une concubine dans la maison commune  puisqu'il est notoire que la dames  habitait depuis longues années dans la maison de son père  qu'elle ne peut être accueillie puisque cet le lin de non recevoir  proscrite par le jugement du 10 mai 1820  a été écartée par l'arrêt de défaut du 1er août 1820  qui n'a point été attaqué dans le délai de la loi par la voie de l'opposition   attendu  au fond  que la femme n'a de domicile légal que celui de son époux  attendu      sans s'arrêter à la fin de non recevoir a démis et démet le sieur S  de son appel avec amende cl dépens   ordonne que la séparation de corps prononcée par le tribunal sortira son effet   ; 27 janvier. ; Cour royale d'Agen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f12.image;182513
182515;15;LA COUR   En ce qui touche l'appel interjeté par la femme Dyvrande à l'égard de Delondre      Considérant que l'art  2186 du Code civil  en prononçant la libération de plein droit de l'acquéreur  à l'égard des créanciers ayant privilège ou hypothèque sur l'immeuble  par le seul fait de l'expiration du délai de la surenchère  et à la seule condition  soit de payer le prix stipulé au contrat entre les mains des créanciers qui seront en ordre de recevoir  soit de le consigner  n'a déterminé aucune procédure applicable à celte consignation   ce qui exclut toute nécessité d'offres réelles on de sommation à faire   soit au vendeur  soit aux créanciers  sous peine de nullité  Que la consignation faite par Delondre n'est contestée sous aucun rapport  et qu'elle est intégrale      Met l'appellation au néant  ordonne que ce dont est appel sortira son plein et entier effet  etc    Et en ce qui touche l'appel interjeté par la dame Oriot de Saint Marc et par le sieur Champfort  à l'égard d'Hervieux   Considérant que la demande d'Hervieux à fin de reprise  sur la collocation hypothécaire de la dame Oriot de Saint Marc  des sommes par elle touchées dans la distribution mobilière  et susceptibles de rétablissement dans celte masse  au cas prévu par la loi  n'était pas une difficulté sur l'ordre même  mais une demande qui  pouvant faire la matière d'une action principale  pouvait  à plus forte raison  être formée incidemment à l'ordre  et  dans tous les cas  n'exigeait pas de contestation sur le procès verbal    Que dès lors la forclusion prononcée par l'art  756 du Code de procédure civile ne peut pas y être applicable   Considérant  au fond  que la disposition dont est appel n'est que la judicieuse application de l'art  542 du Code de commerce    Considérant toutefois que cette demande d'Hervieux contre la dame Oriot de Saint Marc n'a pas été régulièrement introduite devant les premiers juges   Déclare le jugement du 31 août 1822 nul et de nul effet au regard de la dame Oriot de Saint Marc  dans la disposition relative au rétablissement dans la masse chirographaire des sommes par elle touchées dans la distribution mobilière    Met l'appellation et ce dont est appel au néant révoquant le principal et y faisant droit  en conformité de Part  473 du Code de procédure civile  ordonne que la masse chirographaire dé la faillite Dyvrande reprendra sur la collocation actuelle de la dame Oriot de Saint Marc l'excédant du dividende qu'elle se trouvera avoir louché de trop  eu égard à sa collocation hypothécaire  mais toutefois en rétablissant sa portion contributoire dans ladite masse chirographaire  et en calculant le capital de sa rente sur vingt fois le montant annuel d'icelle  etc   ; 5 janvier 1824. ; Cour royale de Paris. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f15.image;182515
182516;16;   Attendu qu'un acte judiciaire qui ne fait que concéder acte de l'aveu de la signature apposée au bas d'une obligation  ne donne pas titre exécutoire pour en poursuivre le paiement  puisque la partie pourrait avoir ou la quittance ou un terme pour payer  qu'il faut  outre l'aveu   une condamnation pour qu'on puisse agir par voie parée  Attendu que  dans l'espèce  non seulement l'acte dont il s'agit ne contient pas de condamnation   suais encore en est négatif  puisqu'il réserve aux parties tous leurs droits et exceptions  et réserve même les dépens   D'où il suit que la partie de Bourdelles a fait à celle de Labie un commandement sans titre  ce qui le rend nul ainsi que tout l'ensuivi   Disant droit de l'appel  a cassé et casse le commandement dont il s'agit et tout l'ensuiviDu  l'ensuivi; décembre 1823. ; Cour royale d'Agen.;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f16.image;182516
182517;17;LA COUR    Considérant que le sieur Désormeaux a été constitué en état de faillite  qu'un agent et un syndic provisoires ont été nommés     Considérant  (1 ) V  tome 20 2  321   tom  15  2  56   14  Lois  qu'aux termes de la loi  un créancier ne peut être préféré à aucun autre des créanciers d'un failli  et que dés lors la règle est générale pour tous les créanciers chirographaires    Et vu les art  455  466 et 494 du Code de commerce   met l'appellation au néant   ; 26 avril 1824. ; Cour royale de Rouen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f17.image;182517
182518;24;LA COUR    Attendu que la dame Vernay  mariée en 1807  sous l'empire du Code civil  a adopté le régime dotal    Qu'après sa séparation civile  elle a fait liquider ses droits   que cette liquidation n'est pas attaquée  et que pour la remplir de sa dot  une délivrance d'immeubles jusqu'à due concurrence et sans fraude  lui a été faite par son mari    Attendu que la dot mobilière d'une femme mariée sons le régime dotal est frappée de la même inaliénabilité que la dot immobilière    Qu'ainsi  l'obligation solidaire  contractée par les deux époux mariés sous ce régime  ne peut  après la séparation de biens  être poursuivie sur la dot de la femme  quoique cette dot ne consiste qu'en une somme d'argent ( Cass    1er février 1819  ( 1)   Que dès lors Nourry Vallée   qui ne pouvait exercer aucuns droits sur la dot mobilière de la dame Vernay  ne peut pas davantage exproprier les immeubles qui sont la représentation de cette dot    Que l'article 1444 du Code civil déclare nulle la séparation de biens  quoique prononcée en justice  lorsqu'elle n'a pas été exécutée par le paiement réel des droits et reprises de la femme  effectué par acte authentique   jusqu'à coucurrenoe des biens du mari     Que le législateur n'a pas pu vouloir que les biens délaissés par le mari  pour remplir sa femme de ses droits et reprises fussent d'une nature différente de ces mêmes droits  puisque autrement  en perdant le caractère de dotalité  la femme ne trouverait qu'un remède inefficace dans la séparation de biens   Qu'ainsi  les articles du Code civil  relatifs au remplacement des deniers dotaux  sont inapplicables dans le cas de la séparation de biens  et que par suite les créanciers qui n'ont pas attaqué la liquidation ne peuvent exproprier les biens délaissés par le mari à sa femme   pour la remplir de ses créances dotales     Qu'il ne s'agit pas   dans la cause  de moyens de nullité  ni contre la procédure d'expropriation   ni contre le titre de l'ex(1)  l'ex(1) t  19  1  146   et Décisions diverses   21  propriant  mais de la nature des biens mis en expropriation    Qu'ainsi  on ne peut invoquer  dans l'espèce   ni les articles 733 et 735 du Code de procédure civile  ni le décret du 2 février 1811   ni les arrêts de la cour de cassation relatifs à l'application de ces articles et de ce décret     Que la dame Vernay n'attaque pas le titre de Nourry Vallée   mais qu'elle soutient que ce titre  quelque valable qu'il soit  ne peut frapper sur ces biens dotaux     Qu'elle ne vient pas former sa demande après l'adjudication définitive de ces biens  mais que cette demande tend à les soustraire à cette adjudication    Qu'elle a le même droit qu'un tiers qui se présenterait avant l'adjudication consommée    Qu'il serait dérisoire d'ordonner provisoirement l'adjudication définitive  sauf à la femme à exercer ses droits contre le poursuivant qui pourrait devenir insolvable    Qu'il serait d'ailleurs contradictoire de décider que le poursuivant peut passer outre à l'adjudication définitive et de réserver à la femme   contre lui  un recours à raison du préjudice  qu'elle aurait éprouvé    Qu'admettre le système de Nourry Vallée  ce serait porter atteinte au principe de l'inaliénabilité de la dot  pour s'arrêter à quelques dispositions du Code de  procédure civile  évidemment inapplicables à l'espèce et qui ne concernent que les moyens de nullité soit contre la procédure en expropriation   soit contre le titre de l'expropriant  sans s'occuper de la nature des biens  s'ils sont ou non inaliénables  si l'on peut ou non les soustraire à l'expropriation  lorsque la demande en est formée avant l'adjudication définitive   Confirme   etc   ; 26 juin 1824. ; Cour royale de Rouen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f24.image;182518
182519;26;LA COUR  adopte les motifs qui ont déterminé les premiers juges  et néanmoins  attendu que les intimés ont offert  en première instance  la preuve que depuis quarante ans   et même de temps immémorial   avant la demande de Depin  ils ont constamment exercé  soit par eux  soit parleurs auteurs  un passage à tout usage sur le pré de Depin  pour la dessorte de leur prairie  et que cette preuve  qui embrasse nécessairement la possession trentenaire  devait être principalement admise   Met l'appellation et ce dont est appel au néant  entendant  admet les intimés à prouver  suivant leur offre  pardevant le tribunal de Trévoux   tant par titres que par témoins  que  depuis quarante ans avant la demande de Depin  et même de temps immémorial  ils ont constamment exercé  soit par eux  soit par leurs auteurs  un passage à tout usage sur le pré de Depin   pour la desserte de leur prairie   ; 12 juin 1824 ; Cour royale de Lyon 2° ch. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f26.image;182519
1825110;27;LA COUR  Considérant qu'il peut être fait distinction entre Julien et Georges Cardin  parce  que le paiement des droits de mutation de la succession de la mère commune  n'étant que de ce dernier  peut être considéré comme étranger à Julien     En ce qui concerne Georges Cardin  considérant qu'il paya au bureau de Brecey les droits de mutation de la succession de sa mère le premier décembre 181 5  qu'on ne peut pas concevoir que ce paiement ait été fait dans une autre qualité et avec autre intention que de se rendre héritier de sa mère  qu'en effet  ce droit est assis sur la mutation qui se fait des biens des mains du défunt dans celle de l'héritier  qu'il n'est pas dû à un autre titre  qu'on ne peut supposer que Georges Cardin ait été surpris ni qu'il ait entendu payer ce droit officieusement pour la succession   1° parce qu'il n'a fait ce paiement qu'après l'expiration des délais accordés pour faire inventaire et délibérer  2° parce que si la succession devait rester abandonnée  elle appartenait au fisc et ne devait aucon droit  et que si elle devait aller aux collatéraux   il ne payait pas un droit suffisant en ne payant que celui du lorsque la succession est échue eu ligne directe   Infirme le jugement du 4 novembre 1810   au respect de Julien Cardin personnellement  ce faisant  le décharge des demandes et prétentions de Jean Cardin   confirme ledit jugement à l'égard de Georges Cardin   ; 17 janvier 1824. ; Cour royale de Caen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f27.image;1825110
1825111;29;LA COUR    Adoptant les motifs des premiers juges  démet M  Simil de son appel  avec amende •et dépens   ; 26 mai 1824. ; Cour royale de Nîmes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f29.image;1825111
1825112;29;LA COUR     Vu les mémoires respectifs  et après en avoir délibéré  conformément à la loi   faisant droit sur l'appel interjeté etc     et adoptant les motifs des premiers juges   a mis et met l'appellation au néant   ordonne que ce dont est appel sortira son plein et entier effet  etc   ; 16 février 1824. ; Cour royale de Paris. ;https://gallica.bnf.fr/ark:/12148/bpt6k5754732p/f29.image;1825112
