id;page;arrêt;date;juridiction;lien;id
182610;5;     Vu la requête présentée par le syndic de la faillite do Jean Baptiste Demé  boulanger  demeurant à Fontenay le Comte   agissant dans l'intérêt de la niasse des créanciers de ladite faillite   tendant à ce que le jugement dont est appel soit infirmé   et a ce que le concordai intervenu entre le failli  ses créanciers et la veuve Boucaud   soit homologué pour être exécuté selon sa forme et teneur   Vu les articles 521 et 526 du Code de commerce    Considérant que  si le sieur Demé était en prévention  comme banqueroutier frauduleux  le 16 septembre 1824  date de son concordat avec ses créanciers  il a depuis été acquitté par un arrêt de la Cour d'assises du département de la Veudée   du 12 avril 1825   que cet arrêt ayant dissipé toute présomption de banqueroute à la charge du sieur Demé   a détriut par là même  la cause de la nullité de sou concordat  résultant de l'article 521 précité  que dès lors la circonstance que cet acte a été signé le 16 septembre 1824 ne peut être un obstacle à son homologation    Considérant que le concordat dont il s'agit est régulier en la forme  et qu'il ne paraît point que dans le délai lise par la loi il y ait été fait opposition    Par ces motifs met l'appellation et le jugement dont est appel au néant   émendant et fesant ce que les premiers juges auraient dû faire  homologue le coucordit intervenu le 16 septembre 1824 entre le sieur Demé et ses créanciers   ordonne qu'il sortira son plein et entier effet  tant à l'égard de ses créanciers qu'à' l'égard du sieur Demé et de la veuve Boucoud  sa caution  et déclare le sieur Demé excusable et susceptible d'être réhabilité aux conditions exprimées par la loi   etc   etc   ; 21 juillet 1825. ; Cour royale de Poitiers. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f5.image;182610
182611;5;LA COUR     Attendu que   dans l'ancienne législation   les enfans adultérins n'avaient droit qu'à des alimens   que la législation intermédiaire  si favorable d'ailleurs aux enfans naturels  n'a également accordé aux enfans adultérins que  Lois  des droits à des alimens   qu'il est dès lors impossible d'admettre que les enfans adultérins  exclus de tout droit de successibilité  pussent acquérir ce droit en vertu de l'adoption  que la loi du 25 germinal an 12  en validant les adoptions qui n'auraient pas été accompagnées d'aucune des conditions prescrites postérieurement par le Code civil  pour adopter ou être adopté  n'a pas fait cesser les incapacités et les nullités absolues  prononcées par toutes les législations   que l'incapacité résultant  des lois   quant aux droits de filiation et de successibilité dont sont exclus les enfans adultérins   vicie leur adoption dans l'on essence  et s'oppose à ce qu'elle puisse produire aucun effet  qu'il ne s'agit pas dans la cause des conditions de l'adoption  mais d'une incapacité absolue   que la loi du 25 germinal an 11 laisse dans les termes du droit commun  que si quelques arrêts ont validé de telles adoptions   ce n'a été que dans le cas du concours des enfans adultérins adoptés   avec des collatéraux qui leur disputaient la succession de leur père  mais jamais lorsque le concours avait lieu avec des enfans légitimes    A déclaré nulle et de nul effet l'adoption consentie par Laurent Coupier  le 24 messidor an 8   eu faveur d'Etienne Laurent et Marguerite Coupier  ses enfans adultérins reconnus   ; 27 avril 1825.;Cour royale de Grenoble;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f5.image;182611
182612;6;LA COUR    Vu les art  079  401 et 52 du Code  pén    Considérant qu'il résulte de l'instruction  1° que le 24 août dernier   le sieur Touvard perdit un manteau près du fort Barraux  et que ce manteau fut trouvé par Jean Valentin     2° que Valentin est resté détenteur du dit mauteau  malgré les diverses réclamations du sieur Touvard  faites envers lui Valentin   et malgré que ce dernier sût que ce manteau était la propriété de Thouvard    Considérant que dans de pareilles circonstances la rétention du manteau de Thouvard par Valentin a constitué la soustraction frauduleuse prévue par les art  379 et 401 du Code pénal   La cour confirme le jugement   ; 2 juin 1824. ; Cour royale de Grenoble. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f6.image;182612
182613;7;LA COUR     Considérant en droit  qu'aux termes de l'art  1326 du Codé civil  le billet ou la promesse sous seing privé  s'il n'est pas écrit en entier de la main de celui qui le souscrit  doit au moins   outre la signature  contenir un bon ou un approuvé portant en toutes lettres la somme ou la quantité de la chose   Qu'il n'y a d'exception à ce principe  que dans le cas où l'acte émane de marchands  artisans  laboureurs  vignerons  gens de journée et de services   En fait  que la veuve Douessay ne justifie point que Hauger doive être compris dans l'exception  quelle articule bien à la vérité que ledit Hauger a exercé jusqu'à l'âge de 40 ans la profession de cordonnier  mais qu'elle n'apporte pas et n'offre pas d'apporter la preuve qu'à l'époque du prétendu billet  ou au moins à une époque peu éloignée de sa date   le susdit Hauger exerçait encore cette profession   tandis que Belliard articule  avec offre de preuve  qu'à la même époque Hauger avait cessé d'exercer cette profession  depuis près de 15 ans  Que dans l'esprit du législateur  l'exception n'a pu être introduite qu'en considération de l'état ou de la profession actuelle de la personne qui s'engageait par billet ou par promisse sous seing privé   qu'ainsi  dans l'espèce de la cause  du moment où Hauger n'exerçait plus depuis longtemps la profession de cordonnier   le billet dont il s'agit n'étant pas écrit de sa main   ni souscrit d'un bon ou approuvé portant en toutes lettres la somme énoncée dans ledit billet ne peut être déclaré valable   d'où suit qu'il est inutile de s'arrêter aux divers faits   circonstances et présomptions qui peuvent se réunir contre la sincérité dudit billet      Infirme le jugement du tribunal de Mortain   déclare nul le billet de  3 000 francs  etc  ; 15 Décembre 1824.; Cour royale de Caen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f7.image;182613
182614;7;LA COUR     Attendu que la déclaration souscrite par le sieur Rotis  le 14 juin 1822  est régulière dans la forme  qu'elle n'a rien de contraire aux lois et qu'il était libre de s'obliger de fournir à l'entretien de l'enfant de la Dlle  S    M      d'où il suit qu'il ne peut se dégager de satisfaire à l'obligation qu'il a contractée  et bien que tous dommages et intérêts pour  Lois  faits de séduction soient aujourd'hui interdits  cependant celui qui s'est engagé de nourrir un enfant naturel est tenu d'exécuter sou engagement  principe consacré par l'arrêt de la Cour de cassation du 10 mars 1808   a démis de l'appel   etc   ; 9 novembre 1825, ; Cour royale d'Agen. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f7.image;182614
182615;8;LA COUR     Attendu que si la péremption des jugemens dont il s'agit   était enconnue   c'était alors seulement qu'on voudrait les mettre à exécution  qu'il importait de se prévaloir contr'eux de ce moyen qui les anéantissait   que dès lors il était frustratoire et absolument inutile que cette péremption fut prononcée  et   que dans tous les cas  elle ne pouvait l'être par le tribunal de commerce   ceci tombant en exécution   et les juges commerciaux ne pouvant connaître de celle de leurs jugemens      annule comme incompétemment rendu   ; 12 mars 1825. ; Cour royale d'Aix. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f8.image;182615
182616;8;LA COUR     Attendu qu'il résulte de la procédure   que le 21 juillet dernier  à neuf heures du matin  un incendie considérable se manifesta sur la montagne des Androus   distante d'un quart de lieue environ de la forêt royale de Sarrouge   que le garde forestier Cassan   demeurants Goulier  se transporta aussitôt sur les lieux avec main forte  pour empêcher que le feu ne se communiquât des bruyères  genévriers  genêts et autres arbustes où il était allumé  à la forêt susdite  et qu'il y parvint en faisant une coupure considérable entre la montagne incendiée et la même forêt   Attendu qu'il est suffisamment établi que les nommés Jacques Labat  dit Lastourelle  et Jean Baptiste Dejean  dit Brouchon  prévenus  ont mis volontairement le feu aux bruyères  genevriers  genêts  etc   existans sur ladite montagne  mais que rien n'annonce que leur intention fût d'incendier la forêt  qu'ils pouvaient croire à l'abri de l'incendie a raison de la distance qui la sépare de la montagne  qu'ils paraissent exempts de tout sentiment d'animosité  de haine et de vengeance  que le seul motif qu'on puisse leur supposer dans l'action coupable qu'ils ont commise   est d'avoir voulu étendre et bonifier les pâturages qui servaient à la dépaissance des troupeaux dont ils ne sont pas propriétaires   mais simples gardiens  et que c'est en plein jour  et non dans les ténèbres  qu'ils ont commis ladite action   comme s'ils avaient connu qu'elle n'était pas de nature à les conduire à l'échafaud   qu'on ne saurait penser que l'incendie dont ils paraissent les auteurs volontaires  tombe dans la classe des crimes prévus dans l'art  434 du Code pénal  et punis de la peine capitale  que pour être passibles de celle peine  il faudrait qu'ils eussent eu la volonté d'incendier  non seulement les bruyères   genêts   genévriers et autres arbustes dont est complautée la montagne des Androus  mais encore la forêt royale qui en est voisine   que le but du législateur  en prononçant la peine de mort contre les incendiaires  a été a atteindre ceux qui  volontairement  emploieraient un moyen aussi rapide et aussi terrible que le feu   pour détruire les choses précieuses mentionnées dans la première partie de l'art  434   mais que la possibilité de la communication du feu à ces mêmes choses   ne doit pas suffire pour rendre cet article applicable à ceux qui se bornent à incendier des combustibles placés dans le voisinage des objets indiqués  lorsqu'il n'existe chez eux aucune volonté d'incendier ces objets   Qu'il suit de là  que les premiers juges ont mal appliqué la loi  en qualifiant l'action imputée à Denjean et Labat  d'après l'art  434  Cod  pén   et que l'ordonnance qu'ils ont rendue doit être annulée    Attendu  néanmoins  qu'il n'a pu entrer dans l'esprit du législateur de laisser impunie une action aussi repréhensible que celle des prévenus  et que les magistrats doivent sévèrement réprimer les atteintes portées aux propriétés publique ) et privées   que la dévastation par la voie de l'incendie  comme par toute autre  des plants excrus naturellement  est un délit grave prévu par l'art  444  Cod  pén   et que le  bruyères  genévriers  genêts et autres arbustes incendiés volontairement par les prévenus   sont compris dans les plants dont parle cet article    Par ces motifs   a annulé et annule l'ordonnance a cpnse de corps rendue le 18 septembre dernier par le tribuna civil de Foix et la chambre du conseil  contre Jacquet Lapat et Baptiste Denjean  déclare n'y avoir lieu a poursuivre contre lesdits prévenus  en vertu de l'art  434  Cod  pén   renvoie  et Décisions diverses   néanmoins lesdits Labat et Denjean en état de mandat de dépôt devant le tribunal civil séant à Pamiers  pour y être jugés en séance de police correctionnelle  relativement au' délit de dévastation volontaire de plants excrus naturellement  prévu par l'art  444   Cod  pén   dont ils demeurent  prévenus conformément à la lui   ; 10 novembre 1824, ; Cour royale de Toulouse. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f8.image;182616
182617;9;LA COUR    Attendu  sur le mérite de la demande de ladite partie de Touzet (Lalanne )  que le préjudice qu'elle aurait souffert  bien qu'il ait eu lieu par ordre de l'autorit administrative qui jugea ces dégradations indispensables pour arrêter les progrès de l'incendie qui s'était déclaré dans la maison de la partie de Sicabaig ( Lamorière )  aurait eu toujours pour cause cet incendie  et  par conséquent  le fait de ladite partie de Sicabaig  que cette conséquence est d'autant plus exacte  qu'il est constaté dans un certificat du maire de la ville de Hagetman  qu'on fut obligé de découvrir une partie de la maison de la partie de Touzet pour enlever à la violence des flammes un nouvel aliment  et que  sans cette sage précaution  l'incendie se serait beaucoup plus étendu   qu'ainsi  la partie de Sicabaig serait passible du préjudice éprouvé par celle de Touzet  tout comme s'il n'eût été produit que par la communication du feu  si toutefois elle doit en être déclarée responsable   Attendu   à cet égard   que les lois romaines paraissaient avoir admis la présomption légale  que les incendies étaient censées avoir eu pour cause la faute ou l'imprudence des habitans   habitans  le contraire n'étaitpar eux établi  que telles sont les dispositions de la loi 3  §  I  D  de oficio prafecti vigilum   lot de la loi 11   ff  de periculo et commodo rei vendiloe  quoique les termes restrictifs de cette dernière loi fussent propres  à apporter quelque modification à ce principe général   que les anciens auteurs  eu plus grand nombre  avaient admis cette présomption de droit  et enseignaient que les cas fortuits et de force majeure constituaient une exception dont la preuve était à la charge des personnes responsables qui occupaient la maison où l'incendie avait éclaté  que néanmoins celle entente  aussi absolue des lois romaines  avait été repoussée par des auteurs très recommandables  par Voutte le Digeste   liv  9   lit  2  n° 20  et par Henrys  tome 2  liv  4  chap  6  quest  87   Que le Code civil contient des règles générales et particulières à cet égard  qui seules doivent être prises en considération pour la solution de cette difficulté de savoir si  dans le cas où un incendie a occasioné un préjudice dans une maisonvoisine  de propriétaire de la maison où le feu a pris naissance est constitue  par cela seul  en état de faute ou de négligence  sauf à lui à justtifie le cas fortuit  ou bien si cette faute ou cette négligence de sa part doivent être prouvées par le demandeur en dommages intérêts   Qu'il est de règle générale   que la justification de toute demande est à la charge de celui qui l'a formée  et que faute de cette justification   le défendeur est absous  que cette règle devrait  sans doute  cesser d'être appliquée dans le cas où une présomption légale  établie en faveur du demandeur  le dispenserait de toute preuve   mais qu'une telle présomption ne pourrait résulter que des termes exprès de la loi  et ne saurait être suppléée   Que c'est uniquement sur les art  1382 et 1385 du Code  civil   que la partie de Touzet fonde et peut seulement fonder sa demande en dommages intérêts   que   d'après ces artiticles   artiticles  est responsable du dommage causé par son fait   et par sa négligence ou son imprudence  qu'il s'ensuit que le fait  la négligence ou l'imprudence  doivent être prouves par tout demandeur  à ce titre  en dommages intérêts   qu'on ne peut prétendre que le fait de  l'incendie n'étant pas contesté   il n'y a pas d'autre preuve à la charge de la partie de  Touzet  que  d'après l'art  1383  on est sans doute responsable  responsable dommage que l'on cause par son propre fait  mais que  du moins  on doit fournir la preuve que c'est le fait personnel du défendeur  ou de ceux dont il est tenu  qui a  occasioné ce dommage  qu'il ne suffit donc pas de dire qu'il n'est pas contesté que l'incendie a commencé dans la maison de la partie de Sicabaig  mais qu'il faudrait encore prouver que c'est par sou fait  ou plutôt par sa faute  sa négligence ou son imprudence  que cet incendie a eu lieu    Que le Code civil a seulement introduit une exception à ce principe général  en faveur du propriétaire contre ses locataires  dans les art  1733 et 1784   que ceux ci  qui peuvent ne pas apporter les mêmes soins à la conservation de là chose qui ne leur appartient pas  sont réputés être en état de faute ou de négligence  à moins que le contraire ne soit' par eux démontré  qu'il est de la nature de toute exception d'être restreinte au cas qui lui est propre  et de ne pas être étendue à un tout autre cas    Qu'une telle disposition exceptionnelle de la part du nouveau législateur  démontre son intention de ne pas l'ad   Lois  mettre indifféremment dans tous les cas  et de s'en référer  au contraire  aux règles du droit commun    Qu'on ne saurait admettre de présomption légale que celle établie par une disposition formelle  et que le Code civil n'en renferme aucune pour le cas de la cause   Que  sans doute  il peut exister des inconvéniens à imposer au demandeur en dommages intérêts   la preuve d'établir la faute ou la négligence du propriétaire occupant la maison où l'incendiea commencé  mais qu'aussi une présomption absolue qui déclarerait en faute ce propriétaire   serait de nature à donner lieu à de très graves injustices  que celuici peut facilement ignorer la cause fortuite du déplorable accident qui a pu dévorer la plus grande partie de sa fortune  et qu'on ne peut  sans un texte très précis de la loi  aggraver sa malheureuse position   et le rendre passible des suites d'un tel événement  que dans celte situation  et lorsque la cause de l'incendie est absolument ignorée  il est conforme à l'équité  que le propriétaire voisin  qui  dans un cas pareil devrait jouir du même avantage   supporte sa part d'un malheur commun  et l'un des inconvéniens du voisinage    Attendu que la partie de Touzet n'offre pas de prouver  et ne prétend même pas que ce soit par la faute  la négligence ou l'imprudence de la partie de Sicabaig   que l'incendie a été occasioné  et qu'elle conclut purement et simplement au paiement d'une indemnité à fixer par experts  que le seul fait que cet incendie a commencé dans la maison de ladite partie de Sicabaig  ne saurait être suffisant pour justifier sa demande   que   dès lors  c'est le cas  tout en annulant le jugement attaqué  de relaxer la partie de Sicabaig des demandes contre elle formées  et des conclusions contre elle prises par celle de Touzet  etc   ; 6 juillet 1825.; Cour royale de Pau. ;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f9.image;182617
182618;11;LA COUR    Attendu qu'il est constant et reconnu en fait entre toutes les parties  que les billets confectionnés ou endossés par le comte Begouen et la dame veuve Foache au profit de la dame veuve Le Couteulx  sont tous causés valeur en compte  et que cette énonciation de valeur est l'une de celles qui sont formellement autorisées par l'art  110  Cod  de com    Qu'il est incontestable que les tiers porteurs de ces effets ne sont pas tenus d'attendre la liquidation d'un compte  pour en exiger le paiement des confectionnantes et endosseurs  et que la prétention des comte Begouen et veuve Foache n'a pas été de les soumettre à cette épreuve  puisqu'ils en ont déjà payé une grande partie et se disposent à solder le reste     Que ce qui vient d'être dit des tiers porteurs  ne peut s'appliquer indistinctement à la cause d'entre les confectionnaires ou endosseurs et le bénéficiaire   qu'en ce qui les concerne   l'enonciation de la valeur en compte produit la nécessité de la vérification des opérations qui se sont faites entre eux  et l'exercice d'un compte pour savoir lequel  en définitive  se trouvera le créancier ou le débiteur de l'autre    Que c'est ainsi que dans les usages de toutes les places du royaume   l'expression valeur en compte a toujours été entendue et pratiquée du capitaliste au banquier et dans les rapports des commerçans  que c'est précisément parce qu'il n'y a pas eu d'arrêtés de situation pris entre les contractans  qu'ils stipulent dans leurs négociations d'effets commerciaux la valeur en compte  qu'autrement ils y emploieraient toujours une valeur déterminée  et que si on admettait le système des appelans  il faudrait rejeter de la circulation une masse considérable de billets qui se font de celte manière   Que  pour établir la réalité de leurs créances   les intimés sont tout aussi bien fondés que tous autres créanciers à invoquer la tenue des livres de la dame Le Couteulx  que tout ce qui résulte de ce qu'ils ne sont ni cotés ni paraphés   c'est qu'elle ne peut en argumenter elle même en justice ( Cod  de com    art  13 )   mais ils n'en font pas moins foi à l'égard de ceux qui ont traité avec elle ( ibid  et Code civil  art  1330 )   Qu'il est résulté de la vérification des livres de commerce de la dame Le Couteulx  contradictoirement faite avec toutes les parties intéressées  que la dame Le Couteulx n'a réellement fourni ancunes valeurs au comte Begouen et à la dame Foache   qu'ils y sont reconnus créanciers de toutes les sommes portées aux billets qu'ils lui ont fournis   qu'ainsi ce sont de véritables effets de crédit qu'ils lui ont procurés  qu'il ne faut pas confondre avec ce qu'on appelle billets de circulation  qui ne sont que des chiffons sans valeur  mais des effets de crédit dont la dame Le Couteulx a seule retiré l'avantage  puisque par l'effet de la négociation   elle en a louché le montant aux propres dépens des intimés qui se voient aujourd'hui dans la nécessité de les solder    Attendu que les appelans ne pourraient écarter l'autorité des registres représentés  qu'autant qu'ils établiraient que les énonciations qu'ils contiennent  seraient le résultat d'un concert frauduleux entre les intimés et la dame Le Couteulx    Que  sous ce point de vue  les appelans se sont bornés à des insinuations captieuses  à des allégations sans preuve  et que l'allégation de fraude qui se repousse d'ellemême  d'ellemême la loyauté  la moralité et la bonne renommée des maisons Begouen et Foache  se trouve positivement détruite par l'inspection des livres produits  où l'on voit une correspondance parfaite entre les énonciations et les dates des billets fournis  et un ordre tel que les appelans n'ont pas trouvé prise à la moindre critique sur la tenue de ces mêmes livres  qui   avec les autres faits et circonstances de la cause  donnent la preuve la plus satisfaisante de la sincérité des  créances réclamées Confirme   etc   ; 23 mai 1825. ; Cour royale de l'ouen;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f11.image;182618
1826111;14;LA COUR    Considérant  quant à la retenue du cinquième sur les intérêts  que si l'on se reporte au contrat d'acquisition de Michel de Loucy  en date du 4 février 1793  on voit que la rente foncière de 1 000 livres au capital de 20 000 livres  à laquelle il s'était obligé envers son vendeur  n'était sujette à aucune retenue  mais que les dispositions de ce contrat ne pouvaient être invoquées qu'autant qu'il n'y aurait point été postérieurement dérogé    Que par sa signification du 12 ventose an 6  de Loucy a déclaré vouloir profiter du bénéfice de la loi du 16 nivose précédent  laquelle l'autorisait à demander une réduction de prix   que par suite de cette demande  le prix originaire a été réduit et fixé à la somme de 12 000 livres  mais qu'au lieu d'être constitué en rente   comme l'était le principal primitif de 20 000 livres   ce nouveau prix a été exigible et devait être payé sans délai   que conséquemment la convention première qui stipulait une rente  c'est à dire  la prestation annuelle et perpétuelle des intérêts d'un capital non exigible   a été anéantie   non seulement quant à la fixation de ce capital  nuis encore eu tout ce qui concerne la prestation des intérêts  puisque la nouvelle convention exigeant que le capital fût immédiatement payé   elle ne pouvait avoir en vue les intérêts à échoir    Que si le payement de ce capital a été différé  cette morosité n'est ni une exécution  ni une suite de la convention première   mais une infraction à celle qui lui avait été substituée  que conséquemment les intérêts qui peuvent être dus à partir de cette seconde convention  sont des intérêts moratoires   dont la seule cause est dans le retard que de Loucy a mis à exécuter son engagement     Que si alors l'intérêt légal eût été au dessous du denier vingt  à 8 ou 10 pour 100  par exemple   il est manifeste que de Loucy n'aurait pu invoquer le contrat de 1793  pour soutenir qu'il ne serait tenu de payer les intérêts de son retord que sur le taux fixé par ce contrat  qu'avec raison on lui eût répondu que la peine encourue par l'inexécution d'une convention   ne peut être réglée que par les termes de cette convention même  ou   à défaut de stipulation  par les dispositions générales de la loi   que ce principe dont la vérité est frappante   et à la rigueur duquel dans le cas posé  de Loucy eût été forcé de se soumettre  n'est pas moins incontestable lorsqu'il est invoqué par lui  attendu que l'intérêt légal est inférieur au taux de la rente créée par le contrat de 1793  Que l'intérêt légal du prix d'unimmeuble était dé 5 pour 100  déduction faite du cinquième pour les impositions  et que cet état de choses a duré jusqu'à la loi du 3 septembre 1807  laquelle a fixé l'intérêt  de l'argent au denier vingt  sans retenue  que conséquemment de Loucy est bien fondé à vouloir exercer cette retenue pour les intérêts échus antérieurement au 5 septembre 1807  mais que   pour ceux qui sont postérieurs à cette loi  sa prétention ne peut être accueillie    En effet  que l'intérêt légal résultant du retard  est nécessairement celui de la loi durant l'existence de laquelle le retard a eu lieu  et que de Loucy ne pourrait échapper à l'application de ce principe qu'autant qu'il prouverait que les intérêts dont il est débiteur  ne sont point purement légaux   mais conventionnels     Qu'à la vé   rité il prétend que cette convention a été écrite pour lui dans la loi du 16 nivose an 6  qui l'autorisait à demander une réduction du prix de sou contrat  celte loi disant que les intérêts du prix réduit seraient payés sur le taux de 5 pour 100  avec retenue du cinquième  mais que dans le cas où s'est trouvé de Loucy  celte disposition ne pourrait s'appliquer qu'aux intérêts déjà échus au moment où la réduction a été déterminée  puisque pour profiter du bénéfice de la loi  il a dû offrir un capital immédiatement exigible   que conséquemment ne faisant point suivre cette offre d'un payement effectif  loin de rentrer dans les dispositions de la loi  il les a enfreintes   et le retard par lui apporté à l'exécution de son obligation a donné naissance à des intérêts moratoires qui n'ayant été réglés par aucune convention   sont restés soumis à l'autorité des diverses lois sur lesquelles le retard s'est prolongé      confirme   »  ; 3 avril 1824, ; Cour royale de Caen;https://gallica.bnf.fr/ark:/12148/bpt6k5551147n/f14.image;1826111
