id;page;arrêt;date;juridiction;lien;id
182830;3;   Attendu que ce n'est pas par voie d'intervention que Testart figure dans la sion ci dessus ne contrarie nullement la principe  que nul ne plaide par procureur  à cet égard  Liège  15 flor  au 11  et la note  cause  mais bien commesubsiiluéàllébert Beaupré  à qui il avait passé par endossement la lettre change dont il s'agit  etqu'il s'en est formellement expliqué dans son acte de constitution d'avoué  Attendu que la rectification du jugement du 9 mars  au désir de la loi de 1815  ne pouvait être exigée que dans le cas où il eût fallu mettre ce jugement à exécution par voie de contrainte et de saisie  et que  dans l'espèce  il ne s'agissait que de prouver  dans un état d'ordre  que Testait ou Beaupré était créancier de Desmonts   Rejette  etc   ; 2 janv. 1828.; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f3.image;182830
182831;4;    Vu l'art  21 du Code de proc  civ    Attendu qu'il est constant au procès 1° que la femme de Thomas Lemoine n'avait pas reçu de son mari postérieurement au jugement du 19 nov  de procuration pour interjeter appel dudit jugement  2° Que la prorogation de délai pour former opposition à ce jugement  n'avait été ni accordée d'office par le juge  ni demandée par Thomas Lemoine ou quelqu'un chargé pour lui de la demander qu'ainsi les héritiers Lemoine se trouvaient dans le cas prévu par le deuxième paragraphe de l'art  21 du Code de proc  aux termes duquel « le juge de paix peut relever le défaillant de la rigueur du délai et l'admettre à opposition  en justifiant qu'à raison de maladie grave  la pas été instruit de la procédure »   Qu'il suit de là  qu'en autorisant les héritiers Lemoine  demandeurs en opposition au jugement par défaut rendu contre leur père le 19 nov  1823  à prouver par témoins que ledit Thomas Lemoine père  frappé de la paralysie qui a causé sa mort  était privé de ses facultés intellectuelles à l'époque de la significalion qui lui a été faite dudit jugement le 7 janv  1823  et n'avait par conséquent pas pu en avoir connaissance  le juge de paix n'est pas sorti des limites de ses attributions  et qu'en annulant ce jugement interlocutoire pour excès de pouvoir  le tribunal civil de Bernay a expressément violé l'art  21 du Code de proc  civ    Casse  etc  ; 2janv. 1S2S.; Ch.Civ.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f4.image;182831
182832;5; Sur le moyen de nullité    Attendu que la Cour royale appréciant et interprétant  comme elle en avait le droit  renoncialion contenue au jugement du 20 mai 1&23  et portant que les avoués et avocats des parties ont été ouïs  a pu  sans violer aucune loi  en déduire la conséquence que c'était à cette même audience du 20  et devant les deux nouveaux juges  que les défenseurs des parties avaient été entendus  ce qui détruisait  en fait  le moyen de nullité proposé  Sur le moyen relatif à la distraction des dépens  Attendu que les avoués  par des conclusions formelles insérées dans l'arrêt attaqué  ont requis la distraction des dépens  avec offre d'affirmer qu'ils en avaient fait les avances que l'arrêt la leur accorde  ainsi qu'ils l'ont requis  à la ebarge par conséquent de ladite affirmation « dont le demandeur avait le droit d'exiger qu'il lui fùt justifié  avant d'être contraint a payer  Altendu d'ailleurs  qu'il n'allègue même pas qu'il en résulte pour lui aucun préjudice  d'ou il suit qu'il est sans intérêt à proposer ce moyen   ̃ Rejette ces deux moyens   Mais sur le moyen qui concerne le rejet du serment décisoire  Vu l'art  7 de la loi du 20 avril 1810  et l'art  141 du Code de proc  eiv    Attendu que l'arrêt attaqué constate que le sieur Secondé  après avoir conclu à la nullité du jugement  a pris sur la barre des conclusions subsidiaires tendantes à ce qu'il lui fût donné acte de ce qu'il déférait à ses vendeurs le serment dé  cisoire  sur deux fails personnels par lui articulés   Que l'arrêt pose également la question s'il y a lieu de s'arrêter à ces conclusions et qun  cependant  après avoir donné un motif uniquement relatif aux conclusions principales  en nullité du jugement  la Cour s'est bornée à dire Adoptant les motifs des premiers juges  sans s'arrêter aux conclusions principales et subsidi&ires  a mis et met l'appellation au nénnl   Attendu que les motifs donnés par les premiersjugesne peuvent  dans l'espèce  s'appliquer à la demande du serment décisoire formée pour la première fois devant la Cour royale  que si les premiers juges ont rejeté la comparution personnelle des parties  qui leur était demandée  ils ont aussi reconnu formellement que le demandent aurait pu recourir à la voie légale qui lui restait ouverte de l'interrogatoire sur les faits et articles  d'après l'art  324 du Code de proc  civ   Qu'une pareille reconnaissance loin d'être exclusive  serait ou contraire un préjugé de l'admissibilité du serment décisoire  qui est (t) r <Untl« même sens  Casa  lîjuill  1819  33 mai 1821 12 a«ùi 1822  files renvois qui y sont faits aux auteurs et à la jurisprudence  aussi un moyen légal de preuve  formellement autorisé par les art  I3o7 et suiv  du Code civil  il  en termes bien plus énergiques et bien plus étendus que ceux de l'art  324 dit Code de proe  civ   que le rejet dn ce moyen ne peut donc trouver sa justification dans le jugement du tribunal de première instance  qu'il a été dès lors prononcé sans motifs  et en contravention à l'art  7 de la loi du 20 avril 1810  et de l'art  141 du Code de proc  civ  Far ees motifs  casse et annuité l'arrêt de la Cour royale de Paris  du 28 février 1824  au chef seulement de l'action récusoire en garantie elc   ; 4 janv. 18;28. Ch. civ. PL;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f5.image;182832
182833;5;LA COUR    Attendu qu'il est reconnu que l'acte du 27 brum  an la contient une aliénation régie par l'art  918 du Code civ   et qu'elle est à l'abri de toute critique de la part des successibles qui sont intervenus audit acte pour y donner leur consentement   Attendu que la rente viagère de 300 fr  est le véritable prix de l'aliénation dont il s'agit  et que la somme de 200 fr   dont Joseph Vedel s est réservé la disposition  ne peut être considérée comme le prix de celte aliénation   Rejette  etc  ; 2 janv. 1828.;Ch. req. Pris.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f5.image;182833
182834;6;  Attendu que la procédure est régulière dans la forme  que le demandeur ne serait pas recevable à se plaiudredes erreurs qui se rencontrent dans la position des questions et l'application qui lui a été faite de la loi pénale  puisque ces erreurs ont déterminé à lui appliquer une peine moindre que celle qu il avait encourue Rejette le pourvoi de François Gabriel Statuant sur les réquisitions du procureur générat du roi   Vules art  632 du Codedecornmerce et 147 du Code de peu   Attendu que la Cour d'assises n'aurait pas dû soumettre au jury la question de savoir si l'effet négociable  fabriqué par l'accusé  constituait ou non un faux en écriture de commerce  que c'était ià une question de droit que la Cour d'assises était seule compétente pour décider  Attendu qu'il résultait de la déclaration du jury que l'effet dont il s'agit établissait le fait d'une remise d'argent de place en place  qu'encore bien que ce fait ne fut que supposé  que le titre qui le constatait fut faux  il n'en constituait pas moins un faux en écriture de commerce  puisque l'art  632 du Code de commerce réputé actes de commerce les remises d'argent faites de place en place  et que le faux avait pour objet de faire croire à l'existence d'une pareille remise  d'où résulte que l'arrêt attaqué aurait dit appliquer au condamné les peines émises par l'art  \il du Code pénal   Casse dans l'intérêt de la loi seulement  etc   ; 3 jiinv, 1828. ; Ch. crim.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f6.image;182834
182835;6;  Attendu que la récidive n'est point une circonstance qui constitue un délit ou qui puisse modifier les circonstances d'un délit que la récidive est un fait moral dont la loi déduit simplement la preuve d'une perversité qui nécessite un châtiment plus sévère Qu'ainsi l'état de récidive ou un accusé peut se trouver ne doit être apprécié et décidé que par la Cour d'assises  Attendu que l'état de récidive du demandeur était suffisamment établi  qu'il est d'ailleurs prouvé par la représentation de l'arrêt de condamnation précédemment intervenu Rejette  etc  ; 3 janv. 1828. ;Ch. crim.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f6.image;182835
182837;7;LA COUR  Altendu  sur le premier moyen  que lors des jugemens des 1er fruct  ait 10 et 29 prair  ait 11  il n'avait pas été prétendu que lors des comptes à rendre par Demondesir  l'on ne pourrait avoir égard aux inventaires arrêtés et signés par les associés  tels qu'ils étaient prescrits par l'art  11 de l'acte de société du 28 fév  1786  et qu'en interprétant ces mêmes jugemens comme n'excluant pas par leurs dispositions l'examen et l'effet desdits l'arrêt attaqué n'a pas contrevenu à l'autorité de la chose jugée   Attendu  sur le deuxième moyen  fondé sur U contravention à l'art  541 dit Code de proc  civ   concernant les erreurs  faux ou doubles emplois  que l'arrêt attaqué n'a pas méconnu les dispositions de cet article  mais que dans l'espèce particulière  sur la foi de l'art  11 de l'acte de société et des inventaires signés et arrêtés doubles entre les parties  Demondesir s'était dessaisi de toutes les pièces relatives auxdits comptes sur lesquels on revenait après un long espace de temps  et qu'en combinant l'art  H dont il s'agit avec les faits et circonstances de la cause  l'arrêt attaqué n'a pas violé la loi invoquée  Attendu  sur le troisième moyen  que l'arrêt attaqué a statué sur des questions (préjudicielles  et que les motifs et le dispositif sont clairement développés sous ce double rapport Rejette  etc   ; 3 janv. 1828.; Cb. req.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f7.image;182837
182838;8;   Vu l'art  40  tit  2 de la loi du 6 oct  1791  et l'art  6 de la loi du 9 vent  an 13   Attendu que  si  aux termes de l'art  précité  de la loi du 9 vent  an 13  et des lois précédemment portées en celle matière  il appartient à l'administration publique de rechercher et de reconnaître l'existence et les anciennes limites des chemins  vicinaux  cette attribution est une conséquence nécessaire du pouvoir et de la surveillance congés exclusivement à l'administration  en tout ce qui intéresse l'existence  l'ouverture  la sûreté et la viabilité des chemins pubics destinés à faciliter les communications et les déhouchés qui donnent la vie à l'agriculture et au commerce*   Attendu que cette attribution  qui a pour unique objet l'intérêt public et général  ne fait nul obstacle  alors surtout que l'administration n'en réclame pas l'exercice  à ce que les tribunaux répressifs  dans le cas où la publicité d'un chemin  sur lequel un crime ou un délit a été commis  forme l'une des circonstances caractéristiques ou aggravantes de l'infraction  prononcent eux mêmes sur l'existence et la réalité de cette circonstance que  dans ces cas  les magistrats appelés à juger le mérite de l'action publique sont juges naturels et compélens de leiception tendant à faire disparaître l'infraction  ou à en écarter la circonstance aggravante de la publicité du lieu qu'ainsi qu'au grand criminel  dans le cas prévu par l'art  483 du Code pénal  lorsqu'il s'agit d'une accusation de vol commis sur un chemin public  l'appréciation de la circonstance aggravante de la publicité du chemin qui a été le théâtre du vol  appartient exclusivement aux jurés et à la Cour d'assises de même  en matiére correctionnelle  l'examen du fait allégué par le prévenu  de la non publicité du chemin sur lequel le délit a eu lieu  est uniquement dévolu aux magistrats chargés de prononcer sur l'action et sur l'exception qui lui est opposée  sans que  dans l'un ou l'autre cas  l'administration publique doive être consultée sur une question purement judiciaire  donl le résultat ne peut être qu'une condamnation ou une absolution que les tribunaux seuls peuvent prononcer Qu'au surplus  les tribunaux  en pareille circonstance  peuvent et doivenluserde tous les modes d'Instruction qui sont à leur disposition pour parvenir à la connaissance de vérité  que la publicité d'un chemin  en cas d'absence d'une déclaration de l'administration à cet égard  peut être appréciée par des titres  cadastres  rapports d'experts  et tous autres élémcns de prouve que les tribunaux croient devoir admettre   Attendu  dans l'espèce  que l'exception proposée par Rémond de la non publicité du chemin sur lequel il reconnaît lui même L'anticipation ou usurpation  qui est l'objet de la prévention  devait  comme l'action elle même intentés par le ministère public sur la demande et réquisition de l'adjoint au maire de la commune decry  être soumise exclusivement à l'investigation et à l'examen du tribunal d'Auxerre  Que  d'ailleurs  la vicinalité du chemin n'était pas même alléguée  et que s'il appartient aux préfets seuls de déclarer l'existence de celle vicinal ilé  parce qu'elle est le résultat d'une opération administrative à laquelle concourt le conseil municipal (1) Y  Cass  26 aoi1U825  ; 4 janv. 1828.; Ch. crira.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f8.image;182838
182839;9;LA COCR    Attendu  en fait  que  mariée sous le régime dotal  Rosalie Lhermite  mère des défendeurs éventuels  se fit séparer de biens et obtint t'autorisation de vendre ses biens dotaux l'adjudication en fut consentie au demandeur en cassation  le 19 juin 1813 et il fut dit que le prix serait payé aux créanciers inscrits  sans li's désigner  ni par leurs noms  ni par l'indication de la nature et de la date des titres  il fut même stipulé que l'excédant serait retenu par l'acquéreur jusqu'à l'emploi qiivn ferait la venderesse en immeubles ou pour l'établissement de sesenfans  Sur la demande en nullité de la vente et de la séparation subsidiairement des paiemens faits par l'acquéreur  formée à la requête des enfans et héritiers de la dame Lherrnite  le 12 sept  1823  c'est à dire plus de dix ans après l'adjudication  la Cour royale de Nlmes a  par son arrêt du 19 juill  1326  admis l'exception de prescription contre la demande en nullité de la séparation et de la vente  prononçant sur la demande en nullité des paiemens  la Courde Mîmes a maintenu les paiemens faits aux créanciers du père de la venderesse et à ses créanciers personnels porteurs d'obligations judiciairement autorisées  elle a annulé les paiement faits aux créanciers de la femme porteurs d'obligations non autorisées et condamné l'acquéreur au paiementde la somme de 6 328 fr   montant de ces obligations  avec intérêts du jour da la vente  Attendu  sur le premier moyen  que la vente du bien dolal a été autorisée sans rien dire de la destination du prix  et qu'elle a été faite sans indiquer  a 2  les créanciers  ni par leurs noms ni par leurs litres  le droit d examiner et de critiquer les prétentions tic chacun n'a reçu aucune atteinte  et ce droit n'a été soumis qu'à la prescription ordinaire des actions  la Cour de Nîmes a donc pu déclarer non recevable la demande en nullité de la vente formée pins de 10 ans après sa date  et néanmoins admettre la demande en nullité des paiemrns faitspar l'acquéreur   Attendu  sùrledeuxiènu1 moyen  que d'après la loi 29 au Code  de Jure dotium  dont les principes ont été renouvelés et consacrés par les art  H49 et 1fiS4 du Code civ   la femme séparée de biens reprend seulement de ses biens avec lafne ulté de disposer de son mobilier  mais cl c ne peut  ni aliéner ses immeubles  ni les hypothéquer  Le prix de  la vente du bien dotal ne peut donc pas être détourné de la desiination qui a rendu la vente nécessaire et qui a pu en légitimer l'autorisation  d'où il résulte que la Cour royale de Nîmes a fait une juste application des lois en annulant le paiement fait indûment par l'acquéreur  d'obligations non autorisées d'une femme mariée sous le régime dotal  Attendu  sur le fie moyen  qu'il s'agissait du prix de la vente d'un immeuble  et qu'en adjugeant les intérêts du jour dt  la venir  l'arrêt attaqué a fait une juste application de l'art  1W>2 du Code civ   Attendu  sur le £* moyen  que l'acquéreur n'avait pas conclu formellement a être déclaré subrogé aux droits des créanciers payés par lui  et que  dès lors  l'arrêt ne porte aucune atteinte aux droits qu'il peut avoir à cet égard   Attendu  sur le 5' moyen  que le demandeur n'a pas proposé  devant la Cour de ISîiiifî s  la compensation des piticmens faits par lui avec les intérêts de la portion du prix à laquelle il est condamné d'où résulte que l'arrêt n'a fait aucun préjudice aux droits et exceptions des parties sur ce point   Rejette  etc   ; 9 janv. 1828; Cb. req.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f9.image;182839
1828311;11;    Sur le premier et le deuxième moyen     Considérant quoi a été reconnu en fait que Bouillet fils et compagnie  inventeurs des (l)Cela est conforme à la jurisprudence  y Casa  la fruct  an 9  et la note   aussi Cass  2 août 1826  (2) II toutefois d'un arrêt de la Cour de cassation dii 21 1 nov  1827 V  à celte date)  que s'il est vrai que l'inscription d'une hypothèque jadiciaire prise sur les immeubles possédés par le dé  dessins  en avaient la propriété lorsque  pour la conserver ils ont fait  le 3 octobre 1822  le dépôt prescrit par la loi du 18 mars 1S06  ait secrétariat des prud'hommes de Lyon  Que lors de la saisie faite postérieurement  le 1 6 novembre 1829  il a été trouvé sur le métier dtuix pièces commencées  et que les prudhommes ont reconnues identiques avec l'échantillon déposé  dont ils étaient porteurs qu'ensuite il est intervenu  le 21 novembre  au conseil des prud'hommes  devant le l'affaire a été portée  une décision d'après laquelle le tribunal de commerce etla la Cour royale ontjugé qu'il était inutile d'ordonner un rapport d'experts   Qu'ayant ainsi reconnu suffisantes les preuves acquises dans la cause et résultant des faits et circonstances par eux appréciés  ils ont pu se dispenser d'admettre la preuve testimoniale qui était offerte par les demandeurs qu'ainsi l'arrêt attaqué n'a fait qu'une juste application de l'art  15 de la loi du 18 mars 1806  et n'a point commis d'excès de pouvoir   Rejetie le premier et le second moyen  commerce   Mais vu l'art  648 du Code de commerce   Considérant que l'arrêt attaqué prononce la condamnation des dépens ̃ lesquels seront taxés comme en matière ordinaire»    Que ni le désistement signifié par les défendeurs  après l'admission du pourvoi  ni les observations par eux ajou  tées à l'audience  ne peuvent dispenser de reformer une disposition aussi contraire à la loi Casse (parte in quâ)  etc   ; 14 janv. 1828. ; Ch. civ. Prés.;https://gallica.bnf.fr/ark:/12148/bpt6k4542136/f11.image;1828311
