id;page;arrêt;date;juridiction;lien;id
184101;2;  Considérant que la dame Trubert a eu la jouissance des biens de ses enfans  depuis le 11 mars 1820 jusqu'au 9 avril 1821  époque où elle a convolé avec l'appelant  que  parmi les charges de cette jouissance  spécifiées par l'art  385  Cod  civ   figurent les frais de dernière maladie    Que  conséquemment  sans avoir égard à l'allocation du tribunal  il y a lieu de rejeter les 81 fr  payés aux médecins  pour visites faites dans le cours de la dernière maladie de Postel père  Infirme  etc  ; 20 déc. 1810.;Cour roy. de Caen.;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f2.image;184101
184102;2;LA COUR  Attendu que l'art  1444  Cod  civ   prononce  d'une manière absolue  que toute séparation volontaire est nulle  d'où il suit que la séparation de biens  lorsqu'elle a été prononcée  doit être rigoureusement exécutée  conformément à la loi qui veut que cette exécution ait lieu par le paiement réel des droits et reprises de la femme  consommé par acte authentique  jusques à concurrence des biens du mari  ou du moins par des poursuites commencées dans la quinzaine qui a suivi le jugement  et non interrompues depuis    • Attendu que non seulement les tiers  mais le mari lui même  ont qualité pour se prévaloir de ces dispositions    Attendu que la convention qui est intervenue le 28 déc  1837  entre les époux Desjadeaux  est contraire à la disposition de la loi  puisque la séparation de biens n'aurait pas son effet  qu'elle n'aurait point été exécutée par le paiement des droits de la dame Desjadeaux  et que les poursuites pour parvenir au paiement définitif auraient été interrompues et renvoyées à une époque indéterminée    Met l'appel au néant  etc   ; 11 août 1810. ; Cour roy. de Bordeaux. ;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f2.image;184102
184103;3;  Attendu que le procès verbal d'emprisonnement constate que Triboulet a été arrêté dans la prison de Romans  où il se trouvait casuellement  que ce procès verbal fait foi des faits qu'il constate jusqu'à inscription de faux  que des certificats qui attesteraient des faits contraires ne pourraient prévaloir contre cet acte  que  dès lors  il n'y a lieu de s'arrêter à l'allégation de Triboulet  que l'arrestation aurait eu lieu dans l'habitation du concierge de la prison  Attendu que l'art  781  Cod  proc  en interdisant l'arrestation d'un débiteur dans une maison quelconque  même dans son domicile  n'a eu évidemment en vue que de faire respecter le domicile des citoyens   que le domicile  dans le sens de la loi  est le lieu où un citoyen a une habitation volontaire  son établissement  son foyer domestique   c'est un asile où personne ne peut pénétrer sans la volonté de ceux qui l'occupent  tandis qu'une prison est un établissement public   c'est un lieu de contrainte et d'expiation   les détenus y sont soumis à une surveillance de tous les instans   aucun des avantages du domicile ne se rattache donc à la prison  et l'on ne peut dire que le domicile d'un citoyen se trouve violé par l'arrestation d'un débiteur dans une prison   Par ces motifs  confirme  etc  ; 30 août 1839. ; Cour roy. de Qrenoble. ;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f3.image;184103
184104;3;LA COUR    Considérant que la donation du 2 juin 1830 ne contient aucune stipulation qui impose soif explicitement  soit implicitement aux donataires l'obligation de faire  pendant la durée de l'usufruit dont l'abbé Boulard s'était réservé le droit de disposer  les réparations qui pourraient devenir nécessaires aux objets soumis à cet usufruit  qu'à la vérité  les maisons données étaient destinées à servir de presbytère au desservant de la commune d'Avenay  mais qu'en supposant que cette destination s'appliquât aux objets particuliers dont le donateur avait retenu l'usufruit  et indépendamment desquels il restait un logement complet pour le curé  cette circonstance ne changerait rien aux droits de la demoiselle Regnault  comme usufruitière en vertu d'un testament particulier     Considérant que la loi  pas plus que l'acte de donation  ne justifie l'action de la demoiselle Regnault   que la seule disposition par elle invoquée est celle de l'art  605  Cod  civ   mais que cet article  placé sous la rubrique des obligations de l'usufruitier  n'a eu pour but direct que d'indiquer quelles réparations étaient à la charge de ce dernier  ainsi  il a déclaré que l'usufruitier serait toujours tenu des réparations d'entretien   que quant aux grosses réparations  il en serait tenu seulement quand elles auraient été occasionnées par le défaut de réparations d'entretien  les autres demeurent par conséquent à la charge du propriétaire   mais aucun texte n'impose à celui ci l'obligation de les faire à telle ou telle époque     Considérant qu'il faudrait une disposition plus claire et plus formelle que celle de l'art  605 pour créer une semblable obligation  qui répugnerait aux principes généraux et à la nature particulière du droit d'usufruit  qu'en effet  l'usufruit est une espèce de servitude qui  par exception à l'art  686  Cod  civ   est établie au profit d'une personne   or  il est de principe que le propriétaire du fonds grevé n'est jamais tenu qu'à souffi ir et non à faire  principe respecté par le Code dans tout le titre de l'usufruit où l'on ne rencontre aucune obligation personnelle de faire imposée directement au nu propriétaire envers l'usufruitier    Considérant que l'équité est d'accord avec la loi   car s'il y a quelque inconvénient à ce que l'usufruitier puisse se trouver privé d'une partie de sa jouissance  s'il ne veut faire l'avance de certains frais de réparation  il y aurait un plus  1   1 Lois et Décisions diverses   8  grand inconvénient encore à contraindre le nu propriétaire à débourser des sommes plus ou moins considérables dans l'intérêt d'un usufruit dont il sera peut être privé toute sa vie  et pour un immeuble qu'il n'a peut être pas même intérêt à conserver    Infirme   etc   ; 7 nov. 1840.;Cour roy. de Caen.;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f3.image;184104
184105;4;LA COUR   Attendu  quant à la compétence  que  lorsqu'une contestation subit les deux degrés de juridiction  et que la décision des premiers juges est confirmée par le tribunal supérieur  on ne peut pas dire qu'elle appartient entièrement au premier tribunal  qu'il est certain qu'elle est l'oeuvre de l'un et de l'autre  puisque la  question est jugée par le juge d'appel  après l'avoir été par celui de première instance   que la conformité des deux décisions ne prive pas de son autorité le tribunal supérieur  Attendu que se pourvoir par tierce opposition devant le tribunal civil contre un jugement confirmé par un arrêt de la Cour  ce serait faire réformer le juge supérieur par l'inférieur  ce qui est inadmissible   qu'il est rationnel que dans ce cas la tierce opposition soit formée contre l'arrêt et portée devant la Cour    Attendu  quant à la fin de non recevoir  que le tiers acquéreur qui est en possession  a des droits particuliers  à raison desquels il ne peut être représenté par son vendeur  d'où il suit que Perrocheau n'a pas été représenté par Pierre Beau  et qu'il est recevable dans sa tierce opposition     Sans s'arrêter à l'exception d'incompétence ni à la fin de non recevoir  et statuant au fond  etc   ; 19 août 1810. ; Cour roy. de Bordeaux. ;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f4.image;184105
184106;5;LA COUR     Attendu que la clause du partage du 8 août 1818  qui a donné lieu au procès  constitue  de la part de Malterre  une convention unilatérale   qu'en lisant cette clause avec attention  on y voit que Malterre contracte seul l'obligation  dans le cas où il vendrait le pré Giraud  de l'échanger contre le pré Négadis  sans que pour cela ses soeurs se soient obligées à l'échange  si telle n'était leur volonlé     Qu'ainsi cette clause ne contient aucun lien synallagmatique   qu'il n'a pu en résulter pour l'appelante un droit réel  mais bien une action purement personnelle contre Malterre  qui  aux termes de l'art  1152  Cod  civ   doit se résoudre en dommages intérêts  pour le cas où celui ci ne voudrait pas exécuter son engagement  ou se serait mis dans l'impossibilité de le faire    Attendu que cette clause du partage  tout insolite qu'elle puisse paraître  et l'engagement contracté par Malterre  n'ont rien d'illicite   que  s'il est vrai que  aux termes de l'art  541  Cod  civ   le droit de propriété emporte celui de disposer et de jouir de sa chose de la manière la plus absolue  il est incontestable aussi que ce droit peut être restreint  dans beaucoup de cas  par des conventions qui toutes gênent plus ou moins la liberté et la volonté  mais n'emportent pas pour cela la nullité de la convention     Attendu que c'est dans ce sens qu'il faut entendre la clause qu'il s'agit d'apprécier  qu'on y voit bien l'obligation pour Malterre  lorsqu'il voudra aliéner Son pré Giraud  de proposer  préalablement et par préférence  à ses soeurs  d'en faire l'échange avec leur pacage de Négadis  qu'un pareil engagement gêne et restreint le droit de propriété de Malterre  mais n'en détruit pas l'exercice d'une manière aussi absolue que l'ont prétendu les premiers juges   qu'il n'est pas exact non plus de dire que  par le résultat de la clause  le pré Giraud de Malterre est mis hors du commerce  et que c'est un engagement illimité qui  blesse essentiellement le libre exercice du droit de propriété  puisque celui ci peut toujours en disposer  à une condition toutefois  à laquelle il lui était libre de refuser de se soumettre  celle d'en proposer préalablement l'échange à ses soeurs avec un autre pacage désigné d'avance  Attendu qu'il n'est pas non plus vrai de prétendre que le pré Giraud était  par l'effet de la clause  frappé de stérilité dans les mains de Malterre  qui  exposé  dans un temps plus ou moins éloigne  à voir passer cet immeuble dans des mains étrangères  ne se livrerait à aucune amélioration    Qu'en effet  rien n'empêchait Malterre de provoquer l'échange  et qu'au surplus  nul ne pouvant s'enrichir aux dépens d'autrui  il était de droit entre les parties  sans qu'il fût besoin de l'exprimer  que  le cas d'échange arrivant  chacun serait tenu de se faire compte réciproquement des améliorations ou dégradations survenues depuis le partage   que c'était là une règle de droit et d'équité qui n'avait pas besoin d'être exprimée dans le contrat    Attendu que  par la vente que Malterre a faite à Blaise Poulignac du pré Giraud  il a donné ouverture au droit résultant du contrat    Que celte violation de la convention  donnant naissance contre Malterre à une action purement personnelle  devrait  aux ternies de l'art  1112  Cod  civ   se résoudre en dommages inlérêls  Mais  attendu que Blaise Poulignac av ant revendu à Malterre le pré Giraud  par acte authentique du 21 janv  1824  celui ci se trouve aujourd'hui en mesure de réaliser la convention  sans préjudice toutefois des droits qui pourraient avoir été acquis de bonne foi par des tiers   Que cependant il y a lieu de prévoir le cas où  par suite de droits acquis à des tiers  ou par le refus de Malterre  l'échange prévu ne pourrait avoir lieu   que  dans ce cas  l'inexécution de la convention devrait se résoudre en dommages intérêts    Met l'appellation et ce dont est appel au néant   réformant  et faisant ce que les premiers juges auraient dû faire  dit que la convention qui fait l'objet du procès était valable   que la vente consentie par Malterre à Blaise Poulignac du pré Giraud a donné ouverture à une action personnelle contre Malterre  pour le contraindre à exécuter la convention  ou obtenir contre lui des dommages intérêts pour son inexécution   ordonne que Malterre  en possession du pré Giraud par l'effet de la revente que lui a faite Blaise Poulignac  sera tenu de délivrer à la dame Gouyon  le pré Giraud  s'il est encore libre entre ses mains  en recevant en échange le _pré Négadis  et  en cas d'inexécution de cette disposition du présent arrêt  condamne Malterre à payer à la dame Gouyon la somme de 300 fr  à litre de dommages intérêts  etc   ; 1er juill. 1810. ; Cour roy. de Limoges. ;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f5.image;184106
184107;6;LA COUR    Considérant que les deux jugemens du tribunal de commerce de Lisieux  en date des 7 déc  1838 et 21 juin 1839  dont Clouet est appelant  le condamnent conjointement avec Saffrey au paiement envers Lefrançois de la somme principale de 1 000 fr   montant d'une lettre de change du 28 déc  1836  plus aux intérêts à dater du jour du protêt et aux dépens dans lesquels doivent entrer les frais du compte de retour par suite du protêt    Considérant que les intérêts courus depuis le protêt  les frais de protêt et ceux détaillés dans le compte de retour  ne foimeut que des accessoires dus par suite du refus de paiement que constate ledit protêt  et ne doivent pas dès lors être joints au principal pour la fixation du dernier ressort   que dès lors  d'après les art  639 et 616  Cod  connu   les jugemens dont Clouet est appelant  n'accordant condamnation que de la somme principale de 1 000 fr   sont rendus en dernier ressort  quoiqu'ils énoncent le contraire   Déclare l'appel non recevable  etc   ; 5 fév. 1840.;Cour roy. de Caen.;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f6.image;184107
184108;6;  Attendu que  si l'art  1395  Cod  civ   interdit aux époux la faculté d'apporter après la célébration de leur mariage aucun changement à leurs conventions matrimoniales  et par conséquent de modifier en rien les rapports d'intérêt qui doivent exister entre eux  aucune disposition législative n'empêche que des tiers étrangers aux conventions ne changent la position respective des époux par des dons faits à l'un d'eux après leur mariage     Que chacun a la faculté de mettre à sa libéralité telle condition qu'il lui plaît  pourvu qu'elle n'ait rien de contraire aux lois et aux moeurs     Qu'on ne peut pas considérer comme ayant ce caractère la condition par laquelle un donateur indique que le don qu'il fait à une femme mariée sous le régime de la communauté lui sera propre  même pour les revenus qu'il veut par exprès qu'elle reçoive ellemême    Qu'on doit remarquer que l'art  1405  Cod  civ   exige une stipulation formelle de la part du donateur  pour que l'immeuble qu'il donne à l'un des époux pendant leur mariage appartienne à la communauté  etque si l'art  1401 compose l'actif de cette communauté de tous les fruits et revenus échus aux époux à quelque titre que ce soit  il ne faut pas en conclure qu'aucune modification ne puisse pas être apportée à celte règle   Que le contraire résulte des disposilions combinées des ait  1527  1387 et 1388  qui permettent de modifier le régime de la communauté par lotîtes les conventions qui ne sont pas contraires aux bonnes moeurs  et qui ne portent aucune atteinte aux droits de la puissance maritale    Que la faculté donnée à la femme d'administrer en tout ou en partie ses biens  meubles et immeubles  et de conserver la jouissance libre de ses revenus  ne peut pas évidemment être considérée comme produisant un de ces effets  puisque l'art  1536  Cod  civ   laisse nommément cette faculté à la femme  pour le cas où les époux ont stipulé la séparation des biens     Qu'il suit de ces principes que la femme Bernard aurait pu  en se mariant sous le régime de la communauté conventionnelle  stipuler qu'elle conserverait l'administration des biens qui lui adviendraient  et qu'à son défaut  lorsqu'elle s'est trouvée placée sous le régime de la communauté légale  rien n'a pu empêcher la veuve Borel  sa tante  qui a voulu la gratifier de ses dons  de mettre un complément à ses libéralités  en stipulant que les sommes par elle données n'entreraient point dans la communauté  mais seraient propres à sa donataire  pour  être régies  administrées  et leurs revenus perçus par elle    Que  par conséquent  cette condition insérée dans les donations dont il s'agit  et qui ont été acceptées par ladite dame Bernard  avec l'autorisation et le consentement exprès de son mari  doit être exécutée    Par ces motifs  démet de l'appel  etc   ; 18 juin 1840. ; Cour roy. de Nîmes. ;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f6.image;184108
184109;6;lre Espèce  (Raoult C  Destrais ) ARRÊT  LA COUR    Considérant que  le 15 juill  présent mois  les époux Raoult ont déclaré par acte d'avoué à avoué se désister purement et simplement de l'appel qu'ils avaient interjeté par exploit du 24 nov  1834  d'un jugement rendu par le tribunal de commerce d'Isigny le 18 du même mois  et ont obéi payer les dépens que cet appel avait occasionnés sur la simple représentation du mémoire de l'avoué de Destrais     Considérant que le même jour 15 juill   Destrais et Me Trochon  son avoué  ont déclaré qu'ils n'acceptaient le désistement des époux Raoult qu'à la condition que les frais dont Me Trochon affirmait avoir fait les avances pour son client  lui seraient pay és sur la représentation de son mémoire  ainsi qu'on obéissait le faire par le désistement   Considérant que l'état des dépens dus à Me Trochon ayant été remis à Me Desmares  avoué des époux Raoult  celui ci a déclaré qu'il n'avait reçu de ses cliens aucuns fonds pour en solder le montant    Considérant que l'avoué qui affirme avoir fait les avances des frais pour son client a le droit incontestable de demander la distraction des dépens adjugés à ce dernier  et qu'un arrêt est le seul moyen légal d'obtenir cette distraclion   Accorde acte à Destrais du désistement signifié par les époux Raoult   les condamne à tous les dépens occasionnés par leur appel  y compris ceux du présent arrêt  et vu l'affirmation passée par Me Trochon d'en avoir fait les avances pour son client  lui accorde distraction des dépens d'appel adjugés à ce dernier  ; 22 juill. 1810.;Gour roy. de Caen.;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f6.image;184109
1841012;7;    Attendu que l'art  634  God  comm   attribue aux tribunaux de commerce la connaissance des actions contre les facteurs  commis des marchands ou leurs serviteurs  pour ne fait seulement du trafic du marchand auquel ils sont attachés   Attendu que cet article énonce d'une manière claire que c'est à raison des affaires dont ils sont chargés que les commis sont justiciables des tribunaux de commerce   que si  à raison de ces affaires  ils peuvent être cités par les négocians qui les emploient  il y a même raison de décider pour qu'ils puissent traduire ces négocians devant les tribunaux de commerce   qu'en le décidant ainsi  c'est se conformer à l'esprit de la loi     Met au néant l'appel interjeté par Maréchal du jugement du tribunal de commerce de Bordeaux du 21 mai 1840  etc   ; 4 août 1840. ; Cour roy. de Bordeaux. ;https://gallica.bnf.fr/ark:/12148/bpt6k5558917f/f7.image;1841012
