id;page;arrêt;date;juridiction;lien;id
184401;4;    Sur la non recevabilité du pourvoi    Attendu que si l'arrêt attaqué a prononcé sûr deux difficultés distinctes  cependant comme elles étaient de même nature  qu'elles avaient le même objet  que les demandeurs avaient le même intérêt à faire annuler l'arrêt attaqué  qu'ils l'attaquaient par les mêmes moyens  et qu'enfin leur pourvoi a été collectif  il a pu leur suffire de consigner une seule amende   Rejette cette fin de non recevoir  Au fond     Attendu que le législateur  en réglant par les art  644 et 645  Cod  civ   les cours d'eau qui bordent ou traversent les héritages  n'a porté aucune atteinte aux droits déjà légalement acquis sur ces mêmes cours d'eau  en vertu de titres particuliers    Attendu que l'arrêt attaqué  appréciant les titres produits par les parties  a jugé que ceux de Cavalier lui donnaient des droits à l'usage des eaux du val de Font Fassot pour l'irrigation des propriétés désignées dans ces titres   que Drulhon avait perdu ceux qu'il réclamait par le non usage pendant trente ans  et qu'Amat n'en avait acquis aucun par possession suffisante    Attendu qu'il importe peu que les titres de Cavalier aient émané de l'ancien seigneur  que sous l'empire de la législation féodale la propriété des petites rivières non navigables appartenait aux ci devant seigneurs  et que les lois abolitives de la féodalité n'ont pu porter  9 Jurisprudence de la Cour de cassation   10  atteinte aux droits antérieurement acquis en vertu et sous l'empire des lois existantes    D'où il suit que la Cour royale qui  adoptant les motifs des premiers juges  a condamné Amat et Drulhon à détruire leurs prises sur le val de Font Fassot  et leur a fait défense d'user de ses eaux  n'a violé aucune loi   Sur le défaut de motifs    Attendu que ce fut en appel seulement qu'il fut pris des conclusions subsidiaires tendantes à ce que l'interdiction d'user des eaux du val de Font Fassot ne fût prononcée dans tous les cas  au préjudice d'Amat et Drulhon  que pour l'irrigation des propriétés de Cavalier dénommées dans les actes de 1684 et 1745     Que si la Cour royale de Nîmes  adoptant les motifs des premiers juges  a ordonné que leur jugement sortirait son plein et entier effet  et si elle a par là implicitement rejeté les conclusions subsidiaires d'Amat et Drulhon  ce rejet se trouve suffisamment motivé par la décision des premiers juges qui ont décidé que Cavalier avait droit aux eaux du val de Font Fassot  pour l'irrigation des propriétés désignées dans les titres par lui produits  et déclaré en fait qu'elles ne pouvaient fournir même aux besoins individuels de Cavalier  ce qui repousse l'idée qu'elles pussent servir à d'autres usages qu'à ceux indiqués dans son acte de concession    Rejetie  etc   ; 9 août 1843.; Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f4.image;184401
184402;7;LA COUR     Attendu  en droit  qu'après avoir consacré  par l'art  1421  le pouvoir absolu du mari à titre onéreux sur les biens de la communauté  en loi permettant de les vendre  aliéner et hypothéquer sans le concours de la femme  le législateur astatué  par Fart  1422  que le mari ne peut disposer entre vifs à titre gratuit des immeubles de la communauté  ni de l'universalité ou d'une quotité du mobilier  si ce n'est pour l'établissement des enfans communs   d'où il résulte évidemment que le pouvoir du mari à titre gratuit entre vifs n'est pas moins absolu que le pouvoir à titre onéreux conféré par l'art  1421  pourvu que les enfans communs soient seuls appelés à profiter de la disposition     Attendu que le sens littéral de l'art  1422 est confirmé soit par le § 2 de cet article  qui permet la disposition entre vifs des effets mobiliers à titre gratuit et particulier an profit de toutes personnes  pourvu que le mari ne s'en réserve pas l'usufruit  soit par Fart  1423 qui  s'occupant de la disposition testamentaire  porte qu'elle ne peut excéder la part du mari dans la communauté    Attendu  dès lors  que le mari qui dispose entre vifs à titre gratuit de toute la communauté en faveur des enfans communs et pour leur établissement  use d'un pouvoir légal  et que la question relative à l'étendue de cet usage n'est qu'une question de fait soumise à l'interprétation des Cours royales   Attendu  en fait  que  par l'arrêt dénoncé  la Cour royale de Montpellier a déclaré que la donation faite par le sieur Constant Lamilhade à sa fille unique  en faveur de son mariage  comprend dans sa généralité et dans ses effets soit les biens propres du donateur  soit les biens dépendant de la communauté des père et mère de la donataire  et que celte interprétation étant dans les attributions exclusives de la Cour royale  elle ne peut pas être soumise à la censure de la Coar de cassation    Rejette  etc   ; 2 janv. 1844.; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f7.image;184402
184403;8;LA COUR     Sur le moyen tiré de ce que l'arrêt attaque a donné un effet légal à des actes de libéralité reconnus simulés  bien  qu'ils ne portassent pas la dispense de rapport     Attendu que l'arrêt attaqué n'a donné d'autre effet à ces titres qu'en donnant    acte à Honoré Boudon de St Amans de ce qu'il déclarait que ces actes se confondaient avec la donation du 18 juill  1834 qui  elle  était bien réellement faite par préciput et hors part   qu'il renonçait à se prévaloir de ces titres pour s'en tenir à la quotité disponible   et que par là l'arrêt attaqué n'a pu violer aucune loi    Sur la nullité de la donation   Attendu que la loi du 21 juin 1843  tant par son texte que par son objet  est une loi interprétative de celle du 25 vent  an 11  et qu'elle porte en termes exprès qu'à  l'avenir aucune donation faite depuis ledit jour 25 vent  an 11 jusqu'à la publication de la susdite loi  ne pourra être déclarée nulle à défaut de la présence du second notaire à la rédaction de l'acte  ce qui valide tous les actes de cette nature faits jusqu'alors  et surtout ceux qui ont reçu la sanction d'un jugement rendu en dernier ressort    Rejette  etc   ; 20 déc. 1843.;Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f8.image;184403
184404;9;LA COUR   Attendu que  dans l'espèce  s'agissant d'une action possessoire  il fallait justifier d'une possession paisible remontant au moins à une année   que  dans l'espèce  la prise de possession de la part de la commune avait eu lieu en vertu d'actes administratifs  qui n'avaient point été attaqués devant l'autorité compétente  que cette dépossession qui  aux termes de la loi de 1836  peut s'effectuer sans indemnité préalable  remontait à plus d'une année   et qu'ainsi les demandeurs ne pouvant justifier d'aucune possession  étaient non recevables à agir au possessoire    Rejette  etc   ; 27 nov. 1843.;Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f9.image;184404
184405;11;LA COUR    Sur le 1er moyen    Attendu  en droit  qu'une transaction qui  sur l'appel d'un jugement  transporte à l'une des parties des droits de propriété qui  d'après le jugement  reposaient sur la tête de l'autre partie  ne doit pas  quant à la perception du droit d'enregistrement  être complètement assimilée à une décision judiciaire  et par suite être considérée comme simplement déclarative de droits préexistans   qu'elle est  au contraire  attributive en tant qu'elle opère un déplacement de propriété produit par la seule volonté des parties   que ce déplacement doit  en conséquence  donner ouverture à un droit proportionnel en sus du droit fixe dû pour la transaction     Attendu  en fait  qu'un jugement du 3 mai 1839  donnant effet aux conventions matrimoniales des époux Schault  avait déclaré que l'hôtel de la rue de l'Héronnière  construit pendant le mariage  appartenait pour une moitié aux héritiers du mari  et pour l'autre moitié aux héritiers de la femme     Attendu que  par l'acte du 30 nov  1840 et actes successifs d'adhésion  les héritiers de la dame Scheult ont déclaré n'avoir aucun droit à prétendre sur l'hôtel rue de l'Héronnière    Attendu que cette déclaration a eu pour effet de transporter sur la tête des héritiers du mari  la moitié  de la propriété de cet hôtel qui  aux termes du jugement précité  était fixée sur la tête des héritiers de  la dame Scheult   qu'elle renfermait donc une transmission consensuelle qui devait donner lieu à la perception d'un droit proportionnel   et  qu'en le décidant ainsi  le jugement attaqué a fait une juste application des dispositions de la loi du 22 frim  an 7    Sur le 2e moyen     Attendu que la cession faite par les divers cohéritiers de la dame Scheult de leurs droits sur l'hôtel rue de l'Héronnière  a été réalisée par cinq actes successifs  aux dates des 30 nov   1 8 17 et 22 déc  1840   que le dernier de ces actes ayant seul fait cesser l'indivision  le tribunal en a justement déduit qu'il était le seul qui pût être considéré comme une licitation  et que les quatre premiers renfermaient des cessions immobilières soumises au droit proportionnel de 5 fr  50 c  qu'il n'a donc pas violé les lois citées    Sur le 3e moyen     Attendu  quant à la partie du mobilier inventoriée lors du décès'de la dame Scheult  que  d'après le contrat de mariage et le jugement du 3 mai 1839  les héritiers du mari étaient tenus de le rendre en nature  que  cependant  ils ont été admis par la transaction à en payer la valeur fixée à 23 550 fr  74 c     Que le tribunal a jugé avec raison que cette substitution de la valeur pécuniaire à la chose même  renfermait une vente passible du droit proportionnel    Attendu  quant à la partie du mobilier non représentée au moment du décès de la dame Scheult  que l'obligation par les héritiers du mari d'en payer la valeur fixée à 2 430 fr   résultait du jugement du 3 mai 1839  et que la transaction intervenue postérieurement n'a fait que constatenteur libération  moyennant le paiement qu'ils ont effectue de la ditesomme   Attendu que celte libération d'une dette précédelunimt déclarée  rentrait dans les dispositions du n° 11  § 2  de l'aVt  W de la loi du 22 frim  an 7  et que le n° 8 de l'art  43 de la loi du 28 avr  1816  qui ne parle que des décharges pures et simples  et des récépissés de pièces  était inapplicable    Rejette  etc   ; 2 janv. 1844. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f11.image;184405
184406;14;LA COUR     Attendu que l'arrêt attaqué  par appréciation de l'intention des parties et des clauses constitutives de la société qu'elles ont consentie  décide formellement qu'elles ont renoncé à la faculté accordée par la loi à chaque associé d'une société dont la durée est illimitée  d'en opérer la dissolution  par la seule manifestation de la volonté de cesser d'en faire partie  et que le droit de vendre les actions qui en représentent le capital  a remplacé pour chacune d'elles celui de réclamer cette dissolution    Attendu que si la loi  afin de ne pas perpétuer l'engagement contracté entre les membres d'une société illimitée dans son cours   les a admis à la faire dissoudre par le seul effet de leur volonté exprimée de bonne foi et en temps opportun  la faculté qu'elle leur accorde  ne peut s'exercer lorsqu'ils ont consenti dans les stipulations de la convention sociale  à substituer à ce moyen légal d'autres moyens de s'affranchir des obligations qui leur étaient imposées     Que c'est  en effet  la prolongation indéfinie de l'association et les dangers qui peuvent en résulter pour les associés  que le législateur a voulu prévenir  et que  dès lors  les motifs qui l'ont déterminé  ne trouvent plus d'application lorsqu'il a été pourvu à ce danger par la convention des parties    Attendu  dans l'espèce  qu'il est déclaré constant que les demandeurs avaient été mis à même de disposer de leurs parts sans recourir à un partage ni à une licitation  et sans pouvoir contraindre leurs coactionnaires à vendre simultanément les leurs en même temps   Attendu qu'en décidant dans un pareil état de choses qui les laissait parfaitement libres de se dégager des liens sociaux  par la transmission de leurs titres  qu'ils avaient pu valablement renoncer à la faculté établie en leur faveur par les art  1865  n° 5  et 1869  C  civ   l'arrêt attaqué n'a violé ni les dispositions de ces articles  ni aucune autre loi  Rejette  etc   ; 6 déc. 1843.; Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f14.image;184406
184407;16;   Sur le premier moyen     Attendu que si les lois des 13 janv  et 19 juill  1791 ont fixé à cinq années après le décès des auteurs des pièces de théâtre  les droits des héritiers ou cessionnaires  il a été dérogé à ces dispositions par d'autres lois postérieures   Qu'en effet  la loi du 19 juill  1793  relative  d'après son ' titre  aux droits de propriété des auteurs d'écrits en tout genre  porte  art  2   « que les héritiers ou cessionnaires de ces écrits « jouiront du même droit de propriété durant l'espace de dix ans  « après la mort des auteurs »     Que l'art  7 de la même loi étend cette disposition à tous les genres de composition  en prescrivant « que les héritiers de l'auteur d'un ouvrage de littérature ou de « gravure  ou de toute autre production de l'esprit ou du génie « qui appartiennent aux beaux arts  en auront la propriété exclu« sive pendant dix années »   Que la généralité de ces termes ne permet pas de douter que l'intention du législateur n'ait été d'y comprendre les héritiers des auteurs des pièces de théâtre    Attendu que la loi du 1er sept  1793  en rapportant la loi du 30 août 1792  relative aux conventions faites entre les auteurs et les  directeurs de spectacle  pour les pièces jouées et mises en vente avant la loi du 13 janv  1791  a ordonné que non seulement cette dernière loi et celle du 19 juill  même année  mais encore celle du 19 juill 1793 seraient appliquées dans toutes leurs dispositions aux ouvrages dramatiques   Qu'évidemment  en ordonnant l'exécution de cette dernière loi  qui étendait à dix années le droit des héritiers  tandis qu'il n'était porté qu'à cinq par celles de janv  et juill  1791  elle a entendu  conformément aux principes sur la matière  que  dans la contrariété de ces lois  la dernière serait exécutée en cette partie de préférence aux précédentes  Attendu que c'est en ce sens que le décret du 8 juin 1806  concernant les théâtres  a interprété les lois des 19 juill  et 1er sept  1793   qu'en effet  ce décret déclare  art  12  « que les propriétaires d'ouvrages « dramatiques posthumes  avaient les mêmes droits que l'auteur  « et que les dispositions sur la propriété des auteurs et « sur sa  « durée  leur étaient applicables ainsi qu'il était dit au décret du « 1er germ  an 13 »   Attendu que ce dernier décret  relatif aux ouvrages posthumes  avait reconnu  dans son premier considérant  « que les lois sur les « propriétés littéraires déclaraient propriétés publiques les ouvra« ges des auteurs morts depuis plus de dix ans    Qu'il résulte incontestablement de ces textes et de leur relation  que la propriété des ouvrages dramatiques  comme celle de toutes les productions de l'esprit et du génie  appartiennent pendant dix années aux héritiers de leurs auteurs    Attendu  d'ailleurs  qu'il résulte des actes de l'administration et des discussions législatives  que c'est de cette manière que de 1793 à 1841 la loi du 19 juill  1793 a été interprétée et entendue    Sur le deuxième moyen   Attendu qu'aux termes de l'art  473  Cod  proc  les Cours royales  lorsqu'elles infirment des jugemens définitifs  soit pour vice de forme  soit pour toule autre cause  et lorsque la matière estdisposéeà recevoir une décision définitive  peuvent statuer en même temps sur le fond par uu seul et même jugement    Attendu que  devant le tribunal de la Seine comme devant la Cour royale  il s'est agi des droits d'auteur réclamés par Troupenas   que les conclusions du demandeur tendaient au paiement de ces droits que ledit Troupenas fixait à 14 1/2 p  100 des recettes  et que les conclusions du défendeur tendaient au rejet de la demande    Que  dès lors  la Cour royale de Paris  reconnaissant en principe les droits de Troupenas  et ayant les élémens nécessaires pour déterminer la quotité de sa réclamation  a pu  en infirmant le jugement  la fixer elle même  ce que faisant ladite Cour n'a violé aucune loi  Rejette  etc   ; 5 déc. 1843.; Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f16.image;184407
184408;16;     Attendu que Ricard  failli  ayant adhéré aux conclusions prises par Quillou  créancier intervenant  il en est résulté qu'à part la recevabilité de l'opposition  question spéciale à Quillou  et qui a été l'objet d'un motif particulier de l'arrêt  il y avait identité parfaite entre les conclusions de Quillou et de Rioard  qui formaient tous deux opposition à l'homologation de la transaction passée avec Cardon   que les motifs donnés par l'arrêt pour justifier le maintien de la transaction sont donc communs aux deux opposans  ainsi que l'arrêt l'a formellement exprimé  que parla se trouve justifié le rejet de leur opposition  suite nécessaire du maintien de la transaction  sans que la Cour royale ait été tenue de s'expliquer spécialement sur l'offre de surenchère qui ne constituait pas un chef de demande  mais seulement un moyen pour faire rejeter l'homologation de la transaction   qu'il a donc été satisfait par l'arrêt au voeu de l'art  7 de la loi du 20 avril 1810   Rejette  etc  ; 13 juillet 1843.;Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f16.image;184408
184409;17;LA COUR     Attendu  en droit  que  pour qu'un endossement irrégulier puisse valoir comme mandat pour recevoir le montant d'un effet de commerce et en transmettre la propriété  il faut que l'existence de ce mandat ne soit pas douteuse  et que la preuve en soit établie par quelqu'un des moyens autorisés par la loi    Attendu  en fait  que l'arrêt attaqué a décidé que l'effet de commerce dont il s'agit faisait partie des biens et effets de la communauté des sieur et dame d'Ancla  dont le mari était le seul maître et avait seul le droit de disposer  et que la dame d'Ancla   qui a signé l'endossement annulé   n'avait reçu de son mari aucun mandat de transmettre  par la voie de l'ordre  ledit effet    Attendu que l'arrêt attaqué a encore décidé que tous les endosseurs successifs avaient eu connaissance de l'état de femme mariée de la dame d'Ancla  et  par conséquent  de son incapacité de disposer du billet appartenant à la communauté  sans un mandat spécial du sieur d'Ancla   et qu'en le jugeant ainsi  l'arrêt attaqué a pu  comme il l'a fait  déclarer la nullité dudit endossement  sans contrevenir à aucune loi    Rejette  etc   ; 7 août 1843.; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f17.image;184409
1844010;18;LA COUR  r Vu les art  113 631 et 632  Cod  comm    Attendu qu'en règle générale  et d'après les art  631 et 632  Cod  comm   les tribunaux de commerce connaissent  entre toutes personnes  des contestations relatives aux lettres de change  ou remises d'argent faites de place en place    Attendu qu'en exceptant de la compétence commerciale les prétendues lettres de change auxquelles l'art  112 refuse ce caractère  et qu'il répute simples promesses parce qu'elles ne proviennent pas d'une remise d'argent réellement  faite de place en place et régulièrement attestée  l'art  636  même Code  garde le silence sur tes lettres de change qui  bien que provenant d'un véritable contrat de change  sont signées seulement par des femmes et des filles non négociantes ou marchandes publiques  et ne valent à leur égard que comme simples promesses  es vertu de l'art  113    Attendu qu'il résulte de ce silence que la loi n'a pas voulu déroger dans les cas dont parle L'art  113  aux principes généraux de la compétence  ni étendre à cet article la disposition que l'art  636 a limitée aux cas de l'art  112     Attendu  en fait  que les demanderesses en cassation on tété assignées devant le tribunal civil du Puy  tant en reconnaissance des écritures qui auraient été apposées par elles au bas de deux lettres de change  qu'en condamnation du montant desdites lettres de change  avec intérêts et frais    Attendu que l'arrêt attaqué  en rejetant le déclinatoire opposé par elles  tant en première instance qu'en appel  et en confirmant la condamnation au paiement des lettres de change prononcée par le tribunal civil de première instance  a méconnu les règles de la compétence et expressément violé les lois précitées    Casse  etc   ; 6 nov. 1843.; Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546725d/f18.image;1844010
