id;arrêt;date;juridiction;lien;id
187201010;"« La Cour,  « Considérant que Peut et consorts demandent terme   « Considérant que la disposition de l'article 1244 du  Code civil, qui laisse aux Tribunaux la faculté d'accor- der aux débiteurs des délais pour le paiement des dettes  par eux contractées, ne saurait être étendue au cas où le  créancier a obtenu un jugement qui détermine l'échéance   « Considérant que la sentence arbitrale rendue, le 21   décembre 1868, entre Hardou, d'une part, et Peut et con- sorts, d'autre part, § qui est aujourd'hui passée en force  de chose jugée, a eu notamment pour objet de fixer l'é- poque où les sommes du& à Hardou seraient payées, et  que l'article 122 du Code de procédure civile s'oppose  à ce que les Tribunaux accordent aux débiteurs, par un  deuxième jugement, un délai pour l'exécution d'une con-  damnation antérieurement prononcée ;   « Par ces motifs,  « Reçoit Hardou appelant, et faisant droit sur l'appel,   j met l'appellation et ce dont est appel au néant ;  J . « Emendant, décharge l'appelant des condamnations   l prononcées contre lui, et statuant à nouveau,   3 « Déclare Peut et consc-rts non reccvables en leur de-  ! mande; . ""  ] « Donne acte aux parties des conclusions déposées par   ( Hardou ;  \ « Ordonne la restitution de l'amende;  S « Condamne Peut et consorts aux dépens. »";2 décembre, ;COUR D'APPEL DE, PARIS 5* ch;http://www.enap.justice.fr/ARCHIVE/18720101.pdf;187201010
187201040;"« Le Tribunal,  « Attendu que Halphen et Ce revendiquent la propriété   d'un certificat d'addition pris par Chéron et Duperrier à  la date du 18 août 1862 a un brevet d'invention du 1er  août 1861, ledit certificat ayant pour objet l'ébarbage  mécanique des couverts, et, subsidiairement, arguent le  certificat de nullité ;   « Attendu que la question préalable consiste à savoir   si ce système d'ébawmoirs faisant l'objet du certificat  d'addition est dans le domaine public ; que Halphen et  Ce soutiennent qu'antérieurement au certificat du 18 août  1862, alors que Duperrier, l'un des défendeurs, était em- ployé dans leurs ateliers, ce perfectionnement était déjà  connu et employé dans leur maison ; que les parties sont  contraires en fait ;   « Par ces motifs ,  « Avant faire droit,  « Ordonne que par Paul Jousselin, seul expert que le   Tribunal commet d'office, et qui prêtera serment devant  le président de cette chambre, et, en cas d'empêchement,  par tout autre expert qui sera nommé par ordonnance  du président de cette chambre, sur simple requête, il  sera procédé à l'examen et comparaison du système fai- sant l'objet du certificat d'addition du 18 août 1862 et  des procédés opposés comme antériorité ; dira, notam- ment, si, avant le 18 août 1862, l'ébarbage mécanique des  couverts avait été conçu et réalisé par Halphen et C° dans  des conditions absolument identiques à celles décrites au  certificat d'addition dont la nullité est demandée ; dira,  au contraire, si le système objet du certificat est nouveau,  en quoi il ressemblé aux procédés antérieurs et en quoi  il diffère ; donnera son avis sur toutes les questions exis- tant dans la-mission qui lui est confiée ; l'autorise ~à   prendre auprès de toutes personnes les renseignements  qu'il jugera utiles et à faire toutes les expériences pro- pres à l'éclairer ; de tout quoi il dressera procès-verbal  et..., dépens réservés. »";27 décembre;COUR DlAPPEL DE PARIS 4° ch;http://www.enap.justice.fr/ARCHIVE/18720104.pdf;187201040
187201041;"« La Cour,   ordonnée en vertu de la loi ou demandée par les parties;  que le premier juge a simplement et d'office ordonné une  mesure de vérification en vue de se procurer les rensei- gnements qui lui manquent encore ; qu'il avait la faculté  de-régler le mode et les conditions de cette vérification,  et notamment de la confier à un seul expert ;   « Considérant, en fait, que la recherche ordonnée n'a   trait qu'à l'examen d'un outil peu compliqué et à une  question d'antériorité facile à apprécier;   « Adoptant au surplus les motifs des premiers juges;  « Confirme, etc. »";27 décembre;COUR DlAPPEL DE PARIS 4° ch;http://www.enap.justice.fr/ARCHIVE/18720104.pdf;187201041
187201042;"« Le Tribunal,   ' « Sur la demande principale :   « Attendu que Détaille avait à son usage un chien mé-  chant qui a mordu la femme Laplanche, qui lui portait  à manger; qu'aucun tort ne saurait être imputé à la  femme Laplanche; que cette femme a éprouvé un pré- judice des suites de sa blessure; que Détaille en est   responsable et que le Tribunal a les éléments nécessaires  pour en fixer le montant ;   « En ce qui touche la demande en garantie :  « Attendu que le chien était sous la garde de Détaille ;   que lui seul en était responsable; qu'il ne s'était pas  plaint jusque là à Bordet, propriétaire de l'animal, et  qu'il ne lui avait pas proposé de le reprendre ;   « Par ces motifs,   sa demande mtrouuctive d instance.   M0 Jancourt a soutenu et développé les moyens   M° Baratin a défendu le jugement dans l'intérêt   de cet appel.   de M. Détaille.   Conformément aux conclusions de M. l'avocat gé-  néral Buffard, la Cour a rendu l'arrêt suivant :   « La Cour,  « Sur le principe de la responsabilité :  « Adoptant les motifs des premiers juges ; .  « Sur le chiffre de l'indemnité :  « Considérant que les premiers juges ne l'ont pas fixée   à un taux en rapport avec le préjudice souffert;   « Que, toutefois, il y a lieu aussi de tenir compte de l'im-  prudence de la femme Laplanche, imprudence qui a pu  amener l'aggravation des suites de ses blessures ;   « Infirme en ce qu'il n'a été alloué à l'appelante que   300 francs d'indemnité;   « Elève cette indemnité à 800 francs et condamne, en   conséquence, Détaille à payer à ladite appelante 300  francs en sus des 300 francs portés au jugement ;   « Le condamne enfin aux dépens d'appel.»";27 décembre;COUR DlAPPEL DE PARIS 4° ch;http://www.enap.justice.fr/ARCHIVE/18720104.pdf;187201042
187201050;"« La Cour,  « Statuant sur l'appel interjeté par Sajous do l'ordon-  nance de référé rendue par M. le président du Tribunal   civil de la Seine, le 23 novembre 1871, ensemble, sur   l'intervention à l'instance d'appel de la dame Sajous ;   « En ce qui touche l'intervention de la îemme Sajous:   « Considérant que la femme Sajous a un intérêt per-  sonnel et distinct de sa qualité de femme commune, puis- qu'elle a contracté et s'est obligée solitairement avec son   mari dans le bail à eux consenti par l'intimé ;   .« En ce qui touche l'appel de Sijous : '   « Considérant que la loi du 21 avril 1871, loi de se-  cours'pour les débiteurs de loyers, ne peut être supposée   avoir détruit la garantie de la justice régulière, en confé-  rant au juge du îéféré tous les pouvoirs de la juridiction  ordinaire statuant au principal ;   « Qu'au surplus, le législateur s'est clairement expliqué   à cet égard, en disant que la rentrée en possession du   propriétaire aura lieu en vertu d'une simple ordonnance   de référé, sans ajouter que le juge de référé statuera au   fond et d'une manière définitive ;   « Qu'il suit de là que, dans le cas prévu par l'article 7   de ladite loi, le juge du référé n'est appelé à statuer que   dans les conditions spéciales à cette juridiction;   « Qu'il lui appartient, dès lors, d'apprécier les motifs   d'urgence et considérations de natures diverses qui peu-  vent lui commander de statuer provisoirement ou de   s'abstenir ;   & Considérant qu'il est articulé par l'appetaflt^q-u'a l'é-  poque même du lo octobre, ou dans les jours qui l'ont   suivi, Pichenot aurait promis ou consenti à l'appelant des   facilités ou tempéraments impliquant l'abandon de son  droit rigoureux relativement à l'exigibilité de sa. créance   pour loyers arriérés ;   « Que, si les faits allégués par l'appelant ne sont pas   appuyés de preuves suffisantes, ils se présentent, dans   les circonstances de la cause, avec un caractère suffisam-  ment sérieux pour qu'il soit nécessaire que ces faits   soient appréciés avec les garanties de la juridiction régu-  lière statuant au principal ;   « Considérant, d'un autre côté, qu'il est justifié qu'à la   suite d'offres réelles faites par l'appelant de l'intégralité   des loyers par lui dus, lesdites offres réelles suivies de   consignation, il a été formé par ledit appelant contre   l'intimé, suivant exploit de Bourgcing, huissier, en date   du 28 novembre 1871, enregistré, une demande en vali-  dité d'offres dont !c Tribunal de première instance de la   Seine est saisi au principal ;   « Qu'en cet état il n'y a lieu à référé ;   « Par ces motifs,   JB VUE";16 décembre;COUR D'APPEL DE PARIS 3e ch;http://www.enap.justice.fr/ARCHIVE/18720105.pdf;187201050
187201051;"« Le Tribunal,  « Après avoir entendu' Mes Baufre et Lemenant des   Chesnais, avoués, pour leurs parties, en leurs conclusions   et plaidoiries respectives, et en avoir délibéré conformé-  ment à la loi, jugeant en premier ressort et en matière   ordinaire ; 1   « Attendu qu'en exécution d'un jugement de ce Tri-  ' bunal, rendu le 14 août dernier, enregistré, M. Buiss:)ii,   greffier de paix à Voves, expert nommé d'office, a pro-  cédé aux opérations qui leur ont été confiées, et dressé   son rapport en date, au commencement, du 26 octobre   1868, clos le 29 novembre suivant, enregistré à Chartres   le 12 décembre et déposé au greffe le même jetar ;   « Attendu que les conclusions Ile ce rapport sont   critiquées par les époux Lazare ;   « Attendu que lesdits époux Lazare, propriétaires d'un   corps de bâtiment dépendant de leur maison, prétendent   que Jumeau a pratiqué indûment des scellements dans   le mur mitoyen de leur propriété et a supprimé sans   droit des jours existants, puisque ce bâtiment, converti   récemment en écurie, servait dans le principe à l'habita-  tion et qu'il est bordé par une ruelle sur laquelle les de-  mandeurs versent leurs eaux;   « Attendu qu'ils concluent, en conséquence, au réta-  blissement des lieux dans leur état primitif ou à une en-  quête;   « Attendu que Jumeau invoque ses titres de 1833 et de   1861, desquels il résulte qn'il joint au fond de la cour la   propriété Lazare;   « Qu'aux termes de l'article 661 du Code civil, il a   « Qu'il serait tout au plus tenu de respecter la partie   nécessaire à l'exercice de la servitude de vue, si elle   existe ;   ' « Et que, sous ce rapport, il reste à apprécier par le   Tribunal, conformément à la jurisprudence, si les ouver-  tures, pratiquées en dehors des prescriptions des articles   676 et 677 du Code civil, ne sont pas sujettes ""a suppres-  sion ; que les offres de Jumeau sont insuffisantes ;   « En ce qui touche la contiguïté :   « Attendu que par des conclusions tardives, et qui   n'ont pu faire l'objet de la mission de l'expert, les   époux Lazare allèguent qu'il existait une ruelle en conti-  nuation de celle existante devant les deux propriétés   voisinès, ce qui serait exclusif de la contiguité de l'héri-  tage de Jumeau ;   t Mais attendu que, dans l'état, cette ruelle n'existe   plus, que Jumeau prétend qu'elle a été reprise par Lazare   et femme lors de la reconstruction de leur mur, ainsi   que le constate d'ailleurs le plan visuel dressé par l'ex-  « Attendu qu'il en résulte que, du consentement des   deux voisins, l'égout a été maintenu, mais que les eaux   ne se déversent plus sur la propriété des époux Lazare*   mais sur la moitié de la ruelle appartenant à'Jumeau;   « Que dès lors la contiguïté existerait ;   « En ce qui touche la position et la dimension des   pert;   jours :   « Attendu qu'il résulte du rapport de l'expert que le   jour existant dans l'écurie des époux Lazare était placé   à deux mètres du sol et l'est aujourd'hui à un mètre 7a   cent., par suite de surélévation du sol au moven de terre   rapportée par Lazare ;   « Que sa hauteur est de 30 centimètres sur 38 centi-  mètres de largeur, qu'il affleure le plancher à 10 centi-  mètres ;   « Attendu qu'un jour ouvert à la hauteur de 2 mè-  tres ne peut être considéré comme un jour de vue, mais   seulement comme un jour de tolérance, surtout en con-  sidérant l'étroitesse de l'ouverture et son affleurement au   plancher qui indique la nécessité où se trouvait celui   qui l'a pratiqué dans le principe d'en agir ainsi contre   sa commodité;   « Attendu d'ailleurs que le rapport sus-énoncé est ré-  gulier en la forme et juste au fond, sauf quant au prix   de la mitoyenneté ;   « Par ces motifs,   <i Entérine pour être exécuté selon sa forme et teneur   le rapport d'expert sus-indiqué ;   « Déclare les époux Lazare mal fondés dans leur de-  mande ;   santes ;   8 Adjuge à Jumeau la mitoyenneté du mur en ques-  tion, à la charge par lui de payer aux époux Lazare une   somme de 130 francs à cet effet ;   « Et attendu que les offres de Jumeau étaient insuffi-  « Fait masse des dépens pour être supportés pour deux   tiers par les époux Lazare, et pour un tiers par Jumeau. »";29 novembre;COUR D'APPEL DE PARIS 4e chambre;http://www.enap.justice.fr/ARCHIVE/18720105.pdf;187201051
187201060;"« Le Tribunal,  « Attendu que l'action de Filon a pour but d'obtenir, soit   contre le mont-de-piété, soit contre cinq commissionnai- res de cet établissement, des dommages-intérêts à raison  de ce que, dans les années 1864, 1865, 1866 et 1867, ils  auraient reçu en nantissement des chaînes d'or à lui  soustraites par Lanay, contre-maître dans ses ateliers de  fabrication ; que le fait de la soustraction est justifié par  un arrêt de la Cour d'assises de Paris, du 7 novembre  1867, qui a condamné Lamy à cinq ans de prison et a  ordonné la restitution au demandeur des chaînes d'or sai- sies comme pièces à conviction;   « Qu'ainsi la provenance des dépôts opérés par Lamy   est en dehors de toute discussion ;   une responsabilité quelconque doit peser sur le mont-de- piété, tant au sujet des dépôts acceptés directement par  l'administration générale et par les bureaux auxiliaires  qu'au sujet de ceux reçus par les commissionnaires qui  ont été mis en cause par Filon;   « Que, cet examen fait, le Tribunal aura également à  rechercher si les commissionnaires ont encouru privative- ment unerespousabilité pour les dépôts que chacun d'eux  a reçus de Lamy d'objets provenant du vol dont Filon a  été victime;   « En ce qui touJie le mont-de-piété :  « Attendu que si, par son institution, le mont-de-piété   est un établissement de bienfaisance créé poiir venir en  aide à la gêne momentanée dé ceux qui ne veulent pas  s'imposer la charge de la reconnaissance envers un bien- faiteur ou qui ont un intérêt actuel à ne pas divulguer  leur détresse, il ne lui a pas été permis de prêter indis.  tinctement sur gages, mais que ce privilège a été régle- menté en vue de !a facilité que les malfaiteurs rencon- treraient en s'adressant à lui pour cacher le fruit de leurs  déprédations, d'où la conséquence juridique qu'aucun  dépôt ne peut être accepté sans les précautions multiples  et très-sages imposées à l'établissement prêteur, et que,  si ces précautions essentiellement de droit strict pour la  sauvegarde des intérêts des tiers n'ont pas été prises,  l'institution est responsable, comme le serait un particu-  lier et suivant les mêmes règles, du dommage qu'elle a  pu occasionner ;   « Qu'il suit de là que l'article 1382 du Code Napoléon   est applicable au mont-de-piété ;   « Qu'il y aurait injustice souveraine à ce qu'il en fût   autrement, et à la fois le plus grand péril pour les tiers,  victimes de spoliation, si un établissement désigné à la  confiance générale pouvait être absous de toute faute  ou négligence dans la réception des objets volés ;   « Que, dès lors, l'action est en elle-même recevable et  devra être accueillie, s'il est démontré que dans les agis- sements du mont-de-piété comme dans ceux de ses agents,  il y a eu violation des prescriptions qui lui sont imposées  à titre de garantie pour tous ;   « Qu'il y a donc lieu de rechercher s'il a reçu les ob-  jets détournés par Lamy, au préjudice de Filon, dans des  circonstances de nature à éveiller ses soupçons, et sans  exiger du déposant les justifications signalées dans la loi,  ce qui constituerait la faute, l'imprudence ou la négli- gence créant sa responsabilité envers le demandeur ;   « Attendu que, si l'on s'arrête aux exigences de l'ar-  ticle 47 du décret organique du mont-de-piété de Paris,  du 8 thermidor an XII";26 décembre;COUR D'APPEL DE PARIS lre chambre;http://www.enap.justice.fr/ARCHIVE/18720106.pdf;187201060
187201110;"« Le Tribunal,  « Attendu que les polices qui font   la loi des parties   pour les assurances mobilières et immobilières contrac- tées entre elles stipulent : « Art. l""r : Que la compagnie  « l'Urbaine assure contre l'incendie, soit môme que l'in- « cendie soit causé par le feu du ciel, les valeurs mobi- « liôres et immobilières désignées dans les polices ; et  « art. 2 : que la compagnie ne répond pas des incendies  <t occasionnés par h guerre, invasion, émeute, force mi- « litaire quelconque, volcans et tremblements de terre; »";30 décembre;TRIBUNAL CIVIL DE ROUEN 2e ch;http://www.enap.justice.fr/ARCHIVE/18720111.pdf;187201110
187201111;« Le Tribunal, le procureur de la République en-  « Dit et juge : Que la compagnie d'assurances l'Ur-  baine, qui n'a pas fait ou offert la preuve par présomp- tion ou p:\r enquête que les incendies dont il s'agit ont  été occasionnés par guerre ou invasion, est responsable  envers Vittecoq, son assuré, des deux incendies des 10  et 20 janvier 1871.   « Le jugemênt ordonne ensuite une enquête pour-éva-  luer le dommage causé, et condamne la Compagnie aux  dépens. »;30 décembre;TRIBUNAL CIVIL DE ROUEN 2e ch;http://www.enap.justice.fr/ARCHIVE/18720111.pdf;187201111
187201112;"« Le Tribunal,  « Attendu que Place est prévenu d'abus de confiance  au préjudice du gouvernement français, en employant les  fonds mis à sa disposition d'une façon contraire au man-  dat qu'il avait reçu ;   « Attendu qu'aucun mandat bien défini n'a été confié   à Place; qu'il résulte des dépêches produites au Tribunal  que s'il a été chargé de hâter l'expédition des armes  achetées par Remington ê*t de solder les factures après  vérification des connaissements, il a également reçu des  ordres divers pour acheter des armes, des chaussures et  des vivres destinés à la défense du pays, et qu'une dé- pêche lui annonce qu'on s'en rapporte à son activité et à  son inteligence pour l'exécution des ordres qu'on lui  adressât; que son mandat comprenait donc des opéra- tions très nombreuses et très variées, et qu'une assez  gran le liberté lui a été laissée dans l'exécution de ce   « Eu ce qui touche la commission de 1 pour 100 al-  maidat; . -  Lu e à Chauvileau :   « A'tendu que les détails infinis du travail de surveil-  lance des fournitures et embatquement ne permettaient   pas à Place, retenu déjà par les devoirs de son consulat,  de s'occuper seul de l'exécution de tous les ordres qu'il  recevait ; que l'adjonction nécessaire d'un agent pour le  seconder entraînait naturellement, d'après les usages du  pays, l'allocation d'une commission, dont le taux convenu  était en rapport avec l'importance du service qu'on récla- mait de ses soins ;   « Quant aux o pour 190 alloués pour les affrètements ;  « Attendu qu'en admettant que l'usage de la place de   New-York soit de faire payer par le capitaine du navire  affrété o pour 100 à partager entre le courtier et l'affré- teur, il n'est pas suffisamment établi que Place, nouvelle- ment arrivé au consulat de New-York, ait connu cet  usage : que Chauviteau, agissant dans ce cas comme  courtier maritime, en dehors de son précédent mandat,  avait le droit de recevoir un courtage pour son entre- mise ;   « En ce qui touche les 23 cents portés sur les fac-  tures :   « Attendu que s'il est regrettable que Place ait autorisé   son agent à recevoir une rémunération de la maison  Remington, dont il était chargé de contrôler les factures  et connaissements, rien n'établit que le consul ait reçu  une part quelconque dans les sommes touchées par Chau- viteau, ni qu'il ait retiré un profit direct ou indirect de  l'allocation de ces 2o cents;   « En ce qui touche la commission consulaire :  « Attendu qu'il résulte de l'examen des factures que,   dès le premier jour, Place a ostensiblement porté cette  réclamation sur les pièces qu'il adressait à la commission  d'armement; que, s'il est vrai que les consuls reçoivent  très rarement une commission pour les services qu'ils  rendent à l'Etat, Place a pu penser que ce travail extra- ordinaire, en dehors des fonctions habituelles des con- suls, méritait une rémunération exceptionnelle dont il a  voulu faire profiter tous les employés de son consulat  dans la proportion de la somme qu'il espérait lui-même  recevoir de l'Etat;   « Attendu, en résumé, qu'aucun des documents sou-  mis au Tribunal n'établit que Place se soit fait, remet!re  une partie des commissions ou rémunérations qu'il a dû  donner aux différents agents employés pour activer l'en- voi en France des armes que le gouvernement réclamai  avec instance, ni qu'il ait perçu autre chose que la com- mission consulaire à laquelle il pensait avoir droit ; qu'en  fin, dans tous les actes relevés contre lui, aucune dissi  mulation ne peut lui être reprochée ; que l'intention   frauduleuse nécessaire pour constituer le délit d'abus d  confiance n'est donc pas établie;   « Par ces motifs,  « Renvoie Place des fins des poursuites sans dépens  et ordonne sa mise en liberté immédiate, s'il n'est détenu  pour une autre cause. »";10 janvier;COUR D'APPEL DE PARfS ch;http://www.enap.justice.fr/ARCHIVE/18720111.pdf;187201112
