id;page;arrêt;date;juridiction;lien;id
187300;8;LA COUR    Sur les deuxième et quatrième moyens     Attendu  en droit  que  suivant la deuxième disposition de l'art  1401  C  civ   la communauté se compose activement de tous les fruits  revenus  intérêts et arrérages de quelque nature qu'ils soient  provenant des biens propres aux époux   et  d'un autre côté  qu'aux termes des art  1437 et 1473  même Code  toutes les fois que l'un des époux a tiré un profit personnel des biens de la communauté  il en doit la récompense avec intérêts de plein droit du jour de la dissolution de la communauté    Attendu  en fait  que les sommes revenant à la demanderesse pour sa part des loyers de la maison du boulevard Malesherbes qu'elle possédait en commun avec Gustave Salmon  constituaient des fruits civils qui  à ce titre  tombaient dans la communauté   qu'à la vérité  par l'acte du 3 fév  1861  antérieur au mariage de la demanderesse et constitutif de la société formée entre celle ci et Gustave Salmon pour l'exploitation de ladite maison  il avait été convenu que les associés toucheraient dans les loyers seulement l'intérêt de leurs apports  et que le surplus serait employé  après prélèvement des charges  à l'amortissement des emprunts contractés pour acquérir l'immeuble objet de l'association   mais que cette stipulation qui a eu pour effet de déterminer l'emploi des loyers  n'en a pas changé la nature   que s'il en résulte que ni la demanderesse  ni la communauté  après son mariage  n'ont pu exiger la remise de la portion de loyers réservée à l'amortissement des dettes de la société  il n'en résulte pas que  même pour cette partie  les loyers ne fussent des fruits civils  et  par cela même  des biens de communauté  que  dès lors  l'emploi qui d'après la convention en a été fait ayant profilé à la demanderesse en ce qu'il a servi à la libération de son immeuble propre  celle ci en devait récompense à la communauté  d'où il suit qu'en le décidant ainsi  et en jugeant  en conséquence  que la demanderesse ferait état de la communauté  valeur au 12 mai  1865  et par suite avec intérêts de ladite époque  de la moitié des revenus de la maison du boulevard Malesherbes employés à l'amortissement des dettes de la société  l'arrêt attaqué  loin d'avoir violé les dispositions de loi invoquées par le pourvoi  en a fait  au contraire  une exacte application aux faits de la cause    Sur les 3e  4e et 5e moyens (Sans intérêt)   Sur le premier moyen   Vu les art  1401 et 1434  C  civ    Attendu que toutes acquisitions ou tous contrats à titre onéreux faits par le mari pendant la communauté sont  en règle générale  réputés faits pour le compte de cette dernière   qu'il est vrai que  par dérogation à celte règle  certains engagements ou acquisitions  quoique faits pendant la durée de la société conjugale  constituent des propres  et qu'il en est ainsi notamment de l'acquisition faite ou de rengainent contracté à titre de remploi en faveur de l'un ou de l'autre époux   mais que la dérogation est subordonnée par la loi à des conditions précises  et que spécialement en ce qui concerne le remploi  lorsqu'il est stipulé au profit du mari  il ne peut résulter que de la double déclaration que la nouvelle acquisition ou le nouvel engagement est contracté des deniers propres du mari  et que l'acquisition ou l'engagement a eu lieu pour lui servir de remploi     Et attendu  dans l'espèce  que la société Riottot et Pacon  formée pour dix années à partir du 1er juill  1863  a été établie pendant l'existence de la communauté des époux Riottot  et alors que l'ancienne société Riottot  Chardon et Pacon  antérieure au mariage desdits époux  avait pris fin par l'expiration du temps pour lequel elle avait été contractée  que si des déclarations de l'acte constitutif de cette société nouvelle il résulte que les deniers propres de Riottot ont été employés à former l'apport de 360 000 fr  par lui fait à ladite société  il n'apparaît d'aucune des dispositions des actes que Riottot ait entendu faire cet apport à litre de remploi   qu'à défaut d'une indication manifestant  sinon en termes exprès au moins d'une manière non équivoque  la volonté de faire un remploi  la seule déclaration de l'origine des deniers était insuffisante pour que les droits acquis par le défendeur dans la société nouvelle lui sortissent en nature de propres  D'où il suit qu'en décidant le contraire  et en infirmant par suite la décision par laquelle les premiers juges réservaient à la demanderesse le droit de réclamer sa part des bénéfices qui ont pu être réalisés par la société Riottot et Pacon depuis le 12 mai 1865  date de la dissolution de la communauté jusqu'au 1er nov  1868  époque ou a cessé la jouissance indivise par les attributions faites à chacune des parties  l'arrêt attaqué a expressément violé les dispositions de loi ci dessus visées     Casse     non seulement quant à la disposition qui déclare nature de propres à Riottot les droits par lui argués dans la société Riottot et Pacon  etc   ; 20 août 1872. ; Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f8.image;187300
187301;10;     Sur la fin de non recevoir  opposée au pourvoi et tirée du prétendu acquiescement donné par Piveteau à l'arrêt attaqué     Attendu que le retrait qui aurait   été opéré par Piveteau dans des circonstances et pour des causes qui n'ont point été expliquées  de la consignation par lui effectuée en exécution de l'art  687  C  proc  civ   n'implique pas nécessairement de sa part  la volonté soit d'exécuter l'arrêt attaqué  soit d'y acquiescer     D'où il suit que la lin de non recevoir n'est pas fondée et qu'elle ne peut être accueillie    Rejette la fin de non recevoir  Sur le premier moyen du pourvoi  tiré de l'irrégularité de l'appel     Attendu qu'aux termes de l'art  748  C  proc  civ   la conversion d'une saisie immobilière en vente sur publications judiciaires n'enlève point à la saisie tous ses effets légaux   que notamment la prohibition d'aliéner qui fait l'objet des art  686 et 687 est expressément maintenue par ledit art  748     Qu'il s'ensuit que les contestations relatives à l'application et à l'exécution des articles précités se réfèrent  nonobstant la conversion  à la saisie immobilière  et peuvent  si elles ont une influence directe sur cette procédure  être considérées comme des incidents soumis aux règles particulières à celte voie d'exécution   Que tel était manifestement le caractère de l'action intentée par Piveteau contre le créancier saisissant  pour obtenir de lui mainlevée de la transcription de la saisie pratiquée sur les immeubles des époux Bonneville et de la demoiselle Bégaud   et que ce caractère de l'action n'a point été changé par l'intervention de Séguin  acquéreur des mêmes immeubles  et poursuivant  au regard de Piveteau et du créancier saisissant  les effets de la vente qui lui avait été consentie par les parties saisies  depuis la transcription de la saisie  D'où il suit qu'en décidant que l'appel du jugement rendu sur cette contestation avait été régulièrement signifié dans la  JURISPRUDENCE DE LA COUR DE CASSATION  11  forme prescrite par l'art  732  C  proc  civ   l'arrêt attaqué a fait à la cause une juste application dudit article  et n'a point violé l'art  456  même Code   Sur le second moyen  tiré de la violation des art  686  687 et 748  C  proc  civ      Attendu qu'il résulte de la combinaison des art  686 et 687  C  proc civ   que l'aliénation des immubles saisis  faite après la transcription de la saisie  nulle de plein droit  sans même qu'il soit besoin d'en faire prononcer la nullité  peut devenir valable et recevoir son exécution si l'acquéreur consigne  avant le jour fixé pour l'adjudication  somme suffisante pour désintéresser le saisissant et les créanciers inscrits et s'il notifie à ceux ci l'acte de consignation  Que la consignation dûment réalisée et notifiée  constitue  en réalité  l'accomplissement d'une condition suspensive à laquelle la validité de l'aliénation était subordonnée    Que  dès lors  aux termes de l'art  1179  C  civ   la réalisation de cette consignation fait remonter l'effet du contrat au jour où il a été fait  et assure à la transcription de l'acte de vente tous les effets qu'elle peut  d'après le droit commun  avoir à l'égard des tiers et particulièrement à l'égard des acquéreurs postérieurs     Attendu que l'art  687  C  proc  civ   n'ayant fixé d'autre époque pour la validité de la consignation que le jour de l'adjudication  il en résulte que l'acquéreur peut  jusqu'à ce jour  se conformer aux prescriptions de la loi    Attendu  dès lors  qu'en décidant que la consignation faite par Séguin a assuré à la vente qu'il invoquait la priorité qui résultait de la date de la transcription de cette vente  et en maintenant cette priorité  au profit de Séguin contre Piveteau  l'arrêt attaqué a sainement appliqué les principes de la matière et n'a violé aucune loi   Sur le troisième moyen  tiré de la violation de l'art  1350  C  civ   au chef des dépens     Attendu que l'appel principal de Séguin  les appels incidents de la demoiselle Bégaud et des époux Bonneville et de Piveteau et enfin les conclusions de Gouin  avaient remis en question devant les juges d'appel et les contestations qui divisaient les parties  et la répartition à faire de tous les dépens de l'instance d'après les décisions à intervenir sur le fond    Que la Cour d'appel a donc pu sans violer l'autorité de la chose jugée  mettre à la charge de Piveteau les frais faits par Gouin  créancier saisissant  qui  sur ce point  déclarait d'ailleurs s'en rapporter à justice   Rejette  etc   ; 22 juill. 1872.;Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f10.image;187301
187302;12;LA COUR   Sur le premier moyen  lire de la violation des art  632 et 164  C  comm      Attendu que l'arrêt attaqué constate en fait que  dans la prétendue lettre de change souscrite par le sieur Ferdinand Tronche à l'ordre du sieur de l'Etang  il n'y avait réellement entre ceux ci ni remise de place en place  ni valeur fournie par le preneur  et qu'il en conclut avec raison qu'il n'y avait pas lieu d'appliquer à la cause les règles particulières de la lettre de change  notamment la règle posée par l'art  164  in fine  C  comm    Sur le deuxième moyen  tiré de la violation des art  1202  C  civ   et 164  C  comm   ainsi que de la fausse application des art  140  C  comm   1382 et 1251  § 3  C  civ   55  C  pén      Attendu que l'arrêt attaqué  pour condamner solidairement les frères Tronche envers le sieur de l'Etang  ne se fonde point sur l'art  1251  § 3  C  civ   mais qu'il se borne à constater que les frères Tronche ont commis de concert un délit au préjudice du sieur de l'Etang  d'où résulte évidemment qu'il n'a ni violé  ni faussement appliqué les articles cités  Rejette  etc   ; 9 déc. 1872.;Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f12.image;187302
187303;12;LA COUR    Sur l'unique moyen du pourvoi  tiré de la violation des art  137  138  187  C  comm   1108 et 1131  C  civ       Attendu que le pourvoi ne critique  dans l'arrêt attaqué  que la partie de cet arrêt où la Cour de Rouen a déclaré sans importance les faits énoncés dans les conclusions additionnelles de la demanderesse en cassation  mais que cette critique est mal fondée     Attendu que la Cour de Rouen n'a pas dit  comme l'allègue le pourvoi  qu'il était indifférent que l'endossement d'un billet à ordre eût eu lieu en blanc   que cette Cour a jugé seulement que Martin était un tiers porteur de bonne foi qui  ayant remis à l'endosseur du billet passé à son ordre la valeur de ce billet  avait qualité pour en poursuivre le remboursement contre le souscripteur originaire     Attendu qu'il résulte soit des motifs de l'arrêt attaqué  soit du langage de la demanderesse en cassation devant le tribunal de première instance  que l'endossement dont se prévalait Martin était régulier et conforme aux énonciations de l'art  137  C  comm    que cet article ne détermine pas les personnes qui doivent écrire ces énonciations   d'où il suit que la Cour de Rouen a pu dire  sans violer la loi  qu'il était inutile de rechercher la main de laquelle émanait l'écriture de l'endossement  car  du moment qu'entre l'endosseur et le porteur tout s'était passé sans surprise et sans fraude de la part de ce dernier  la propriété du billet litigieux avait été régulièrement transférée au sieur Martin     Rejette  etc   ; 5 nov. 1872.; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f12.image;187303
187304;15;     Sur les deux branches du moyen de cassation   Attendu que la damé Marincowich  Française d'origine  qui par son mariage avec un sujet autrichien  était devenue étrangère  résidait en France ou dans une possession française au moment où elle est devenue veuve   qu'elle a donc de plein droit recouvré la qualité de Française à partir du décès de son mari  aux termes de l'art  19  C  civ     Attendu qu'en cette qualité elle est régie pour ses droits comme pour ses devoirs corrélatifs par la loi française sous l'empire de laquelle elle est  rentrée  et qu'elle s'est  par conséquent  trouvée investie de plein droit par le décès de son mari de la tutelle légale de sa fille mineure et de tous les attributs actifs et passifs de la puissance paternelle     Attendu qu'il importe peu que la mineure Marincowich soit demeurée étrangère comme l'était son père  qu'en supposant que la loi autrichienne  qui est la loi personnelle  n'admette ni la tutelle légale  ni l'usufruit légal de père et mère  les principes de la souveraineté s'opposent à ce que celle loi puisse prévaloir en France  contre la loi française  au préjudice des droits et des intérêts français  dont les tribunaux français doivent avant tout assurer la conservation   Attendu que la convention internationale du 11 déc  1866  laquelle ne prescrit que des mesures provisoires de surveillance et d'administration qui ne touchent point le fond du droit  n'a apporté  en ce point  aucune dérogation aux règles de droit français  Qu'il suit de là que l'arrêt attaqué en reconnaissant à la dame Marincowich la qualité de tutrice légale de sa fille mineure et en l'autorisant  par suite  à se faire remettre  après inventaire  la succession de son mari  n'a contrevenu ni à aucune loi française  ni à aucune loi étrangère dont l'observation fût ordonnée en France par une loi française   Attendu  enfin  que la dame Marincowich  en sa qualité de tutrice légale de sa fille mineure  avait le droit de requérir l'apposition  la levée des scellés et l'inventaire  sans préjudice du droit du consul d'AutricheHongrie de concourir à ces opérations dans les termes de la convention du 11 déc  1866   Attendu que les scellés n'ont pas été apposés par le juge de paix seulement  mais aussi conjoiniement par le consul d'Autriche  et qu'en ordonnant qu'il serait procédé à la levée de ces scellés  ainsi qu'à l'inventaire  à la requête de la dame Marincowich  le tout en présence du consul général et du vice consul d'Autriche  ou eux dûment appelés  l'arrêt attaqué a pourvu à tout ce qu'exigeaient l'intérêt et le droit des parties  et n'a contrevenu ni à la convention internationale du 11 déc  1866  ni à aucune autre loi   Rejette etc ; 13 janv. 1873.;Ch. civ.;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f15.image;187304
187305;16;     Sur le moyen unique du pourvoi  tiré de la violation de l'art  7 de la loi du 20 avril 1810 et des art  24  C  proc  civ   1134 et 2228  C  civ      Attendu que les conclusions additionnelles prises devant la Cour d'appel ne tendaient ni à établir ni à combattre une prescription quelconque  qu'elles avaient pour but unique de repousser la prétention du défendeur que le Prat Keranguyaden était journellement couvert par les eaux à la hauteur de la décharge  depuis l'année 1817    Que ces conclusions d'ailleurs étaient subordonnées à l'offre de preuve qu'elles contenaient au cas où la Cour ordonnerait une expertise ou une enquête conformément aux conclusions subsidiaires précédemment prises     Que l'arrêt n'ayant prescrit aucune de ces mesures d'instruction n'avait point à s'occuper d'une offre de preuve subordonnée à l'accueil des conclusions subsidiaires dont le rejet motivé motive lui même le rejet des conclusions additionnelles par une conséquence nécessaire    D'où il suit que l'arrêt n'a pas plus méconnu l'art  7 de la loi du 20 avril 1810 que les autres dispositions invoquées par le pourvoi     Rejette  etc  ; 3 déc. 1872. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f16.image;187305
187306;16;LA COUR     Sur le moyen unique du pourvoi  tiré de la violation prétendue des art  121 136  138 et 140  C  comm      Attendu que  sans qu'il soit besoin de rechercher si le porteur d'une lettre de change en vertu d'un endossement en blanc peut valablement en compléter lui même les énonciations et en devenir ainsi légitime propriétaire  il est du moins incontestable que le mandat qui résulte à son profit de l'endossement en blanc lui donne le droit d'en opérer la négociation utile     Attendu que la lettre de change dont s'agit  après avoir été revêtue de plusieurs endossements en blanc  a été transférée par un endossement régulier à la Banque de France que Geoffrion  l'un des précédents prêteurs a remboursée  à défaut de paiement par le tiré     Que  ainsi  et en vertu des dispositions de l'art  1251  C  civ   Geoffrion a été subrogé aux droits de la Banque de France contre le tiré et a pu exiger de ce dernier le paiement auquel il s'était engagé par son acceptation    Attendu  dès lors  que l'arrêt attaqué  en accueillant la demande de Geoffrion  n'a fait qu'une juste application des principes du droit et n'a pas violé les articles de loi invoqués par le pourvoi     Rejette  etc   ; 14 janv. 1873. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f16.image;187306
187307;19;LA COUR    Sur le premier moyen  pris de la violation de l'art  59  C  proc  civ   et de la fausse application de l'art  2123  C  civ      Attendu qu'aux termes de l'art  14  C  civ   l'étranger  même non résidant en France  peut être cité devant les tribunaux français pour l'exécution des engagements contractés envers un Français    Que l'art  59  n  7  qui ne règle qu'une question de compétence entre des tribunaux français  ne saurait être considéré comme ayant dérogé à la disposition générale de l'article précité  pour le cas où il s'agirait de faire condamner une société étrangère  tombée en faillite ou mise en liquidation  à exécuter des obligations contractées envers un Français  Attendu  d'ailleurs  que l'arrêt attaqué déclare qu'il n'est pas même établi qu'il y ait eu déclaration de faillite en Angleterre  d'où la conséquence que la demanderesse n'était pas recevable  en fait  à se prévaloir de la disposition de l'art  59  C  proc civ     Que le pourvoi prétend  à la vérité  que  d'après la loi anglaise  la faillite est remplacée  pour les sociétés commerciales  par la mise en liquidation de la société  sous la surveillance de la Cour de la chancellerie  qui opère tous les effets de la faillite proprement dite   et que c'est à tort que l'arrêt attaqué a refusé de voir dans cette situation  qui est celle de la demanderesse en cassation  un état assimilable et équivalent  à tous égards  à la faillite    Mais qu'en supposant que l'arrêt attaqué fût réellement tombé dans l'erreur que lui reproche le pourvoi  celte erreur portant sur les dispositions d'une loi étrangère  ne donnerait pas ouverture à cassation    Sur le troisième moyen  pris de la fausse application de l'art  14  C  civ      Attendu qu'aux termes de l'art  13  C  civ   l'étranger admis à établir son domicile en France  y jouit de tous les droits civils  et qu'il peut notamment  à l'instar des Français  citer devant les tribunaux de France un étranger  pour l'exécution des engagements contractés envers lui   Qu'il n'y a pas à distinguer  à cet égard  entre le cas où le débiteur appartiendrait au même pays que le créancier et celui où ils sont de nationalité différente  qu'une pareille distinction serait contraire aux dispositions combinées des art  13 et 14  C  civ     Qu'il suit de ce qui précède que l'arrêt attaqué n'a violé ni faussement appliqué aucun des articles de loi visés par le pourvoi     Rejette  etc   ; 12 nov. 1872. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f19.image;187307
187308;20;LA COUR     Sur le premier moyen     Attendu  d'une part  que de diverses constatations de l'arrêt attaqué il résulte que les opérations faites par Théric pour le compte de Charles Rostand et comp  étaient sérieuses  ce qui suffit pour justifier et motiver l'arrêt qui  en leur donnant effet  a implicitement rejeté l'exception de jeu opposée à l'action de l'agent de change    Attendu  d'autre part  que l'arrêt déclare en fait que l'action intentée par Théric avait pour but le remboursement des sommes que cet agent de change avait été obligé de payer aux tiers capitalistes auxquels des actions de la société Charles Rostand et comp  avaient été reportées  et que ces reports n'étaient que des emprunts sur gage faits pour le compte de la  société  que le même arrêt  interprétant les statuts sociaux  déclare qu'ils n'interdisaient pas au gérant de se procurer  par des opérations de crédit et à courte échéance  les sommes qu'un grand mouvement d'affaires pouvait exiger     Attendu que  dans cet état des faits  l'arrêt attaqué  en jugeant que les opérations dont il s'agit obligeaient la société pour le compte de laquelle elles avaient été faites par son gérant  vis à vis de l'agent de change qui y avait prêté son ministère  n'a contrevenu ni à la loi du contrat ni aux dispositions en matière de société et de mandat    Sur le deuxième moyen     Attendu qu'il résulte des motifs et du dispositif du jugement correctionnel que Rostand a été condamné pour avoir détourné de sa destination le fonds de roulement de la société en l'employant à des achats d'actions   Attendu qu'il résulte  au contraire  des constatations de l'arrêt attaqué que les opérations qui donnent lieu à la demande de Théric constituent des emprunts sous forme de reports  faits pour le compte de la société   Qu'il suit de là que ces deux décisions n'ayant pas le même objet  c'est avec raison que l'arrêt attaqué ne s'est pas arrêté à l'exception de chose jugée  qu'il a  d'ailleurs  suffisamment motivé le rejet de cette exception par les diverses constatations sur lesquelles il s'appuie  et qu'il n'a  dès lors  contrevenu ni à l'art  1351  C  civ   ni à l'art  7 de la loi du 20 avr  1810    Rejette  etc   ; 18 juin 1872. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f20.image;187308
187309;22;LA COUR    Sur le premier moyen  pris de la fausse application des art  302 et suiv   C  proc  civ   et de la violation des art  253 et suivants du même Code     Attendu qu'il résulte des faits établis et invoqués par les demandeurs  que les experts avaient été  chargé de vérifier  en prenant tous les renseignements propres à éclairer la justice sur tous les points litigieux   1° si  depuis moins de 30 ans avant l'ouverture de l'instance et postérieurement au décès de Guilhon père  advenu le 1er janv  1832  Alexandre Guilhon avait fait exhausser le barrage de sa fabrique   2° si  par l'effet de cet exhaussement  les eaux avaient reflué sur la fabrique de Victor Guilhon  et y avaient causé des dégâts    Que les experts ont entendu  à titre de renseignements  les témoins qui leur ont été indiqués par les parties  qu'ils ont ensuite pratiqué une brèche dans le barrage pour reconnaître s'il avait été construit en une ou plusieurs fois  et que ce n'est qu'après avoir constaté les résultats de cette opération qu'ils y ont adapté les indications qu'ils avaient recueillies  en les combinant avec leurs observations personnelles  pour en déduire leur avis sur la double question qui leur était soumise     Qu'il n'est donc pas exact de dire  avec le  pourvoi  qu'ils n'ont fondé leur opinion que sur les dépositions des témoins entendus    Et attendu  en droit  qu'il est de principe incontestable que les experts peuvent toujours  soit d'office  soit  à plus forte raison  lorsqu'ils y ont été  comme dans la cause  expressément autorisés par la justice  recueillir et consigner dans leur rapport les informations qui leur paraissent utiles à la manifestation de la vérité     Qu'il suit de là que les experts n'ont point  dans l'espèce  en entendant des témoins à titre de renseignements  excédé les bornes légales de leur mission     Mais que  en fût il autrement  les demandeurs  en concourant eux mêmes à indiquer les témoins qui ont été entendus  et en n'élevant à cet égard  devant le tribunal  aucune réclamation contre le rapport  auraient couvert l'irrégularité commise et se seraient rendus non recevables à en exciper ultérieurement devant la Cour d'appel     Qu'ainsi  au fond comme dans la forme  il n'y a aucunement lieu de s'arrêter au premier grief du pourvoi    Sur le second moyen  tiré de la violation de l'art  7 de la loi du 20 avril 1810        Attendu qu'en exhaussant le barrage de sa fabrique et en refoulant  par suite  l'eau sur l'usine supérieure ou elle avait ainsi  à plusieurs reprises  pénétré et produit des dégâts  Alexandre Guilhon avait causé aux défendeurs éventuels un dommage qu'il était tenu de réparer   que c'était par ce motif  et en considérant  dès lors  ce fait comme un quasi délit  que le tribunal de première instance avait condamné les demandeurs en cassation en des dommages intérêts  qu'il suit de là que l'arrêt attaqué a pu  comme il l'a fait  en se référant aux motifs du jugement et sans avoir besoin d'en donner de nouveaux  sous ce rapport  repousser la prétention élevée pour la première fois en appel qu'Alexandre Guilhon n'était point sorti  en  exhaussant son barrage  des limites de ton droit    Rejette  etc   ; 31 juill. 1872. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546084v/f22.image;187309
