id;page;arrêt;date;juridiction;lien;id
187900;10;  ~t Sur le moyen unique du pourvoi   tiré d'une prétendue violation des art   435  et 436  C  comm      Attendu qu'il résulte de la combinaison de ces deux articles  que le délai  dans lequel le capitaine abordé est tenu de faire et de signifier sa réclamation  ne doit courir que du jour où il a pu agir  qu'il suit de là que  si l'abordage est arrivé  soit en pleine mer  soit dans tout autre lieu où le capitaine était dans l'impossibilité d'agir  il appartient aux tribunaux de déterminer  suivant les circonstances  le moment ou cette impossibilité a cessé  et de fixer en conséquence le point de départ du délai de la signification    Attendu qu'il est constaté en lait que le navire français le Racine  commandé par le capitaine Amice  a sombré en vue des côtes du  Portugal  le 3 août 1873  à la suite d'un abordage survenu entre lui et le brick anglais le Lilian  qui faisait route pour Anvers sous le commandement du capitaine Tupmann   que le capitaine Amice  recueilli sur le Lilian  a été transporté  bientôt après sur un bateau à vapeur qui l'a débarqué  le 9 août  dans le port anglais de Falmouth  que le lendemain  10 août  il a fait sa réclamation devant le viceconsul viceconsul de cette résidence  mais qu'il rie l'a pas fait signifier conformément à l'art  436   bien qu'il connût le domicile du capitaine Tupmann      Attendu que si l'absence de ce dernier  qui avait continué sa route sur Anvers  ne permettait pas de faire cette signification à sa personne  elle n'empêchait pas le capitaine Amice de remplir les formalités prescrites pour les significations à faire aux personnes non présentes  dont le domicile connu peut  être plus ou moins éloigné    Attendu qu'en l'état des faits ainsi constatés  la Cour d'appel de Rouen a pu  sans  violer les articles visés par le pourvoi  déclarer que le capitaine Amice  ayant recouvré sa liberté d'action à Falmouth  était tenu de faire signifier sa réclamation dans les vingtquatre heures de son arrivée  et que faute d'avoir accompli cette formalité dans le délai  prescrit par la loi  il était déchu de son action en dommages intérêts   Rejette etc  ; 18 août 1878. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f10.image;187900
187901;10;     Sur le moyen unique du pourvoi  tiré de la violation des art  695  1337  1347  C  civ      Attendu que  en appel comme en première instance  Martineau a formellement invoqué contre l'action négatoire de Girard  à côté de l'acte du 6 fév  1851  la destination du père de famille    Qu'il n'a cessé d'affirmer l'existence de toutes les conditions exigées par l'art  694  C  civ   pour l'établissement des servitudes discontinues    Attendu que les juges  tenant pour certains les faits avancés par Martineau  ont constaté  i° l'origine commune des fonds A et B réunis dans les mains d'un même propriétaire jusqu'en 1833   2° l'existence  avant et depuis le partage du 18 mai 1833  de signes apparents de la servitude contestée   Attendu que Girard lui même se prévalait de l'absence  dans ce partage  de toute convention relative à la servitude     Attendu que la réunion de ces conditions répond aux exigences de l'art  694 précité     Qu'il appartient à la Cour de cassation de tirer des faits constatés les conséquences légales qu'ils comportent     Attendu que la décision se trouve ainsi pleinement justifiée    Que  par suite  il y a lieu de rejeter le pourvoi  sans qu'il soit besoin de statuer sur les griefs proposés par le demandeur     Rejette  etc  ; 24 juill. 1877.!; Ch. req.;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f10.image;187901
187902;10;     Sur le moyen pris de la violation des art  1134 1728 et 1341  C  civ     Attendu qu'il résulte de l'arrêt dénoncé que l'acte du 11 juin 1869  par lequel Frédéric Nicolas a donné en location à Emile Chaix le domaine de Mirbeck  fixait le prix du bail par hectare et par an  à raison de 15 fr  pour les terres cultivées  sans en exprimer la contenance  et de 7 fr  50 c  pour les terres en friche  dont il évaluait la superficie à 70 hectares   qu'ainsi  aux termes de cet acte  il était nécessaire  pour déterminer la quotité des fermages  de mesurer les terres cultivées  mais que  dans l'entre faite  le bailleur et le preneur ayant également reconnu que l'étendue du domaine ne s'accordait ni avec celle qui avait été indiquée par Nicolas  ni avec celle que Chaix avait supposée  il fut entendu entre eux  pour trancher toute difficulté  que le prix du bail  au lieu d'être calculé à tant l'hectare  selon la nature des terres  serait porté en bloc à 8 000 fr  par an   et que  si le fait a été contesté comme il l'est encore aujourd'hui  les juges en ont tiré la preuve aussi bien de la correspondance des parties que du paiement volontaire des fermages sur le pied de 8 000 fr   aux échéances de 1870 et de 1871   D'où il suit qu'en tenant pour juridiquement établie la stipulation qui avait modifié le prix originaire du bail  l'arrêt  loin de s'être mis en contradiction avec aucun principe de droit  n'a fait qu'une juste application de ceux qui réagissent la preuve des conventions  Sur le deuxième moyen  tiré de la violation de l'art  22 de la loi du 27 vent  an 8   (î) La jurisprudence est unanime à décider  en vertu du même principe  que la Cour de cassation peut rechercher si  des faits souverainement constatés par eux  les juges du fond n'ont pas tiré des conséquences qui n'en ressortaient pas  et qui seraient contraires à la loi  V  Cass  15 janv  1873 (S 1873 1 29    P 1873 49)  et le renvoi   JURISPRUDENCE DE LA CODR DE  CASSATION   Il  de   l'art  473  G  proc  civ   et de la   règle des deux degrés de juridiction      Attendu que le jugement dont l'appel était soumis à la Cour d'Alger avait accordé au requérant  pour défaut partiel de jouissance  des dommages intérêts à donner par état   qu'il n'y avait  là ni décision interlocutoire ni  décision définitive sur  un incident  mais jugement rendu au fond et contenant une condamnation qu'il ne restait plus qu'à liquider    Attendu  dès lors  qu'il ne pouvait y avoir lieu à évocation  que  devant la Cour   les parties avaient conclu de ce chef  l'une a la réformation  et l'autre à la confirmation du jugeaient  que  saisie  par l'effet dévolutif de l'appel  du différend tout entier avec une plénitude d'attributions  égale à celles des premiers   juges  la Cour était   investie  du droit de faire tout ce qu'ils auraient pu ou dû faire eux mêmes  qu'elle avait donc la faculté ou d'ordonner  avec le tribunal  que les  dommages intérêts seraient donnés par état  ou d'en opérer immédiatement la liquidation    D'où il suit qu'en réglant sur lechamp  d'après les éléments du débat  les dommages intérêts dus au requérant  l'arrêt n'a ni violé ni pu violer les règles invoquées à l'appui du moven    Rejette  etc   ; 20 août 1877. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f10.image;187902
187903;11;LA COUR    Sur le  moyen unique et commun aux deux pourvois  lequel est pris   1° de la violation  et fausse application des art ll34  C civ  332 C  corn   1006  C proc  civ   et 14 de la poli ce   2° de la violation des art  59  et 69   C  proc civ   par fausse appli 7 cation du §2  dudit art  59  et de l'art   171 du même Code  3° violation des art  435 et 436  C  comm   et 68 et 70  C  proc  civ     Attendu que Ginier et Comp   à raison des avaries découvertes à l'arrivée à Marseille dans 150 balles de  farine  transportées sur le bateau à vapeur le Marie Mignon et assurées par la Comp  la Française  ont intenté une action contre le capitaine dudit navire et contre la compagnie sus nommée   que  sur cette action  le tribunal de commerce de Marseille a  par jugement du 13 août 1875  reconnu l'existence des avaries  jugé qu'elles  proviennent en partie de la faute du capitaine  et condamné celui ci à réparer le préjudice dans la proportion mise à sa charge  que  relativement au surplus des avaries et des frais  un expert a été nommé pour en opérer le règlement entre Ginier et Comp    12  JURISPRUDENCE DE LA CODE DE CASSATION   et leur assureur conformément à la police     Attendu  que ce jugement ayant été rendu par défaut contre la Comp  la Française  lui à été signifié le 1er fév  1876  à son domicile à Paris  par huissier à ce commis     Attendu que le tribunal de commerce séant à Marseille  par un nouveau jugement du 19 juin    1876  également par défaut  ayant statué sur le rapport de l'expert antérieurement nommé  la Comp  la Française a formé opposition à ce dernier jugement et a présenté un moyen d'incompétence et un moyen de nullité de l'assignation sur laquelle avait été rendu le jugement du 13 août 1875  et a invoqué contre son adversaire les déchéances prévues par les art  435 et 436  C  comm    que ces divers moyens ayant été repoussés par les premiers juges  la Cour d'Aix  sur l'appel de la compagnie et par l'arrêt attaqué du 22 mai 1877  a décidé que le jugement par défaut du 13 août 1875  régulièrement signifié à la Comp  la Française n'ayant été frappé d'aucun recours et ayant ainsi acquis l'autorité de la chose définitivement jugée  l'assignation sur laquelle ce jugement avait été rendu  ne pouvait plus être arguée de nullité   que  par le même motif  ladite compagnie ne pouvait plus décliner la compétence du tribunal de Marseille  comme n'étant pas celui de son domicile  ni demander à être renvoyée devant des arbitres  à raison d'une clause compromissoire portée dans la police  clause à laquelle elle était   présumée avoir renoncé  et que  par suite  l'action des assurés Ginier et Comp  ayant été utilement exercée  les déchéances prévues par les art  435 et 436  G  comm   n'avaient pas été encourues     Attendu qu'en jugeant ainsi  dans les circonstances de la cause  que les moyens et exceptions présentés par la compagnie n'étaient pas recevables  la Cour d'Aix n'a violé aucune loi  mais  au contraire  a tiré les conséquences juridiques des divers actes de la procédure  et s'est conformée à l'autorité acquise à la chose jugée le 13 août 1875    Attendu que  dans le débat sur le fond  les mêmes exceptions ayant été reproduites  le second arrêt du 27 nov  1877 les a de nouveau repoussées à bon droit     Rejette les deux pourvois  etc   ; 18 nov. 1878. ; Ch. req.. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f11.image;187903
187904;12;LA COUR    Sur le moyen unique du pourvoi     Attendu que  pour déférer le serment aux défendeurs  qu'il déclare mal fondés à invoquer la prescription quinquennale  le jugement attaqué ne se base pas sur les art  2275  C  civ   et 189  C  comm   qui supposent  l'un et l'autre  l'existence de la prescription  qu'il ne se réfère à l'art  2275 que pour prescrire la formule suivant laquelle le serment sera prêté et imposé aux consorts Lamazerolles l'obligation de déclarer  en leur qualité d'héritiers de leur père  s'ils ne savent pas que les sommes réclamées soient dues    Attendu qu'en déférant un tel serment  le  tribunal n'a fait qu'user de la faculté conférée au  juge par l'art  1367  C  civ   lorsque  comme dans l'espèce   la demande n'est pas pleinement justifiée et n'est pas totalement dénuée de preuve     D'où il suit que le jugement attaqué  loin de violer les articles visés au pourvoi  a fait  au contraire  une juste application de l'art  1367 précité     Rejette  etc   ; 19 nov. 1878. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f12.image;187904
187905;14;"LA COUR    Sur le moyen pris de la violation des art  538 2226  C'civ   23  G  proc  civ   de la faussé application du décret du 11 décembre 1811 et de la violation du décret du 25 avril 1861  tableau D  2°    Attendu que  suivant l'art  6 de la loi du 25 mai 1838  les juges de paix connaissent des entreprises commises  dans l'année  sur les cours d'eau servant à l'irrigation des propriétés et au mouvement des usines et moulins  que  si le litige a pour objet  entre particuliers  la possession d'un cours d'eau dépendant du domaine public  il s'agit  non des droits du domaine publie  mais seulement de ceux des parties en cause   qu'en pareil cas  le défendeur n'est pas admisible à opposer eh son propre et privé nom l'exception d'imprescriptibilité qui n'existe qu'au profit de l'intérêt public   que la possession des riverains  encore bien qu'elle soit précaire envers l'administration  ne l'est pas pour cela à l'égard des tiers  qu'il est indispensable  après le trouble  pour rendre la complainte efficace  de prescrire le rétablissement des choses dans leur situation primitive  et qu'en  statuant de la sorte  lorsque la possession a pour objet un bien dépendant du domaine public  le juge ne le fait nécessairement que sous la réserve et sans préjudice des droits de l'administration  qu'il suit dé là qu'en maintenant Gorgedoux  pour le roulement de son usine  dans la possession annale des eaux dérivées de l'Eure  et enordonnant le rétablissement  dans le bras de l'Aulnaye  du barrage détruit par Breton  'le tribunal civil de Louyiers  loin d'appliquer faussement et de violer les lois 'alléguées par le pourvoi  s'est exactement conformé aux principes qui régissaient la matière    Sur  le moyen tiré de la violation de l'art  130  C  proc  civ     Attendu que la condamnation de Breton 1° à une somme de 600 fr   à titre de dommages intérêts pour les frais et faux frais occasionnés à Gorge ^ doux par le"" procès  2° aux dépens de lrc instance et d'appel  a deux objets entièrement différents  que l'un n'est relatif qu'aux frais qui n'entrent pas en taxe et dont on ne peut être indemnisé que sous forme de dommages intérêts  quel'autre  au contraire  comprend uniquement ceux qui sont admis en taxe et que la loi alloue  sous le nom de dépens  à la partie qui obtient gain de cause   que C'est 1 donc à tort qu'il est prétendu que le jugement a fait  en cela  un double emploi entraînant la violation de l'art  130  C  proc  civ      Rejette  etc   "; 6 mars 1878. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f14.image;187905
187906;15;     Sur le premier moyen     Attendu que  suivant leur action possessoire  les défendeurs au pourvoi demandaient à établir qu'en dehors de l'emplacement occupé par le petit toit démoli depuis quelques années par les frères Rimbert  ils avaient possédé à titre de copropriétaires l'espace de terrain attenant à la cour commune  la mettant en communication avec la voie publique  et servant de passage à toutes les parties   qu'il s'agissait ainsi  non de l'exercice d'une servitude discontinue  mais d'un droit de jouissance ou de passage sur un terrain commun servant à la desserte des propriétés voisines  et pouvant  à ce titre  être l'Objet d'une' possession utile   que les faits de possession allégués par les défendeurs au pourvoi étaient donc susceptibles de servir de base à une action en complainte possessoire    Que l'action étant reconnue recevable  le jugement attaqué a décidé  d'un côté  qu'il résultait des faits allégués et reconnus constants  ainsi que des enquêtes  des titres et de l'état des lieux  que le terrain litigieux avait  en effet  toujours servi de passage pour aller  avec chevaux et charrettes  de la cour commune à la voie publique  et que  depuis longues années  notamment depuis plus d'an et jour avant  le troublé  lesdits défendeurs ou gens de leur part y ont exercé le passage  d'un autre côté  que les faits de possession allégués par les demandeurs en cassation ne réunissaient pas les caractères exigés' par l'art  2229  C  civ   et n'étaient pas  d'ailleurs  exclusifs de la possession invoquée par leurs adversaires     Qu'en confirmant par ces motifs la sentence qui maintenait ces derniers en possession du terrain litigieux  le tribunal civil de Châtellerault n'a fait que se livrer à une simple appréciation rentrant dans les attributions des juges du fait  et qui  dès lors  ne saurait constituer la violation des dispositions de loi invoquées par le pourvoi   Sur le deuxième moyen     Attendu qu'à la vérité dans leurs conclusions d'appel  les frères Rimbert demandaient subsidiairement au tribunal  pour le cas où il ne croirait pas devoir déclarer l'action possessoire non recevable  d'ordonner une descente sur les lieux pour être procédé au constat et à l'application des titres     Mais qu'en l'état des faits constatés tant en première instance qu'en appel  et alors qu'aucun fait nouveau de possession n'était articulé en appel  et que les conclusions subsidiaires tendaient non  aune complainte reconventionnelle  mais au même objet que les conclusions principales  lès considérations mêmés par lesquelles ces dernières conclusions étaient rêpoussées répondaient aux conclusions subsidiaires et suffisaient à en motiver le rejet   Rejette les deux premiers moyens    Mais sur le troisième moyen     Vu les art  1134  1350 et 1351  G  civ     Attendu que  par le jugement définitif du 17 nov  1873  le juge de paix avait dônné acte de ce qu'Augeard et Blanchard reconnaissaient aux frères Rimbert la possession exclusive de l'espace Occupé par le toit  soit 1 mètre 66 centimètres à partir du mur de la grange A du plan ' et avait maintenu lès frères Rimbert dans cette possession' exclusive'  que' cette décision favorable aux frères Rimbert n'était pas attaquée par les défendeurs au pourvoi qui  non seulement n'avaient pas interjeté appel incident  mais encore avaient conclu très explicitement à la confirmation   et au maintien pur et simple de la sentence entière  que  néanmoins  sans tenir compte   ni du Contrât judiciaire formé par l'accord des parties   ni de la chose jugée sur le chef dont S'agit par la décision du premier jugé  le tribunal de Châtellerault s'est saisi dé ce chef et en a prononcé la réformation  au préjudice des demandeurs en cassation à qui il a retiré la possession exclusive  dans laquelle ils étaient maintenus par le premier juge  en quoi ledit tribunal a expressément violé les dispositions ci dessus visées    Casse  mais seulement au chef qui retire aux frères Rimbert la possession exclusive de 1 m  66 centim  à prendre à  côté de leurs bâtiments   bâtiments   ; 18 juill. 1877.;Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f15.image;187906
187907;15;  Sur le moyen unique du pourvoi     Vu l'art  1351  C  civ      Attendu que par jugement en date du 31 juill  1873  passé en force de chose jugée  le tribunal correctionnel de Corte avait condamné le mineur Lucien Muracciole à la peiné de six mois d'emprisonnement  Comme coupable d'avoir commis  au préjudice du sieur Jean Calderini  un vol d'une somme de 2 000' fr   en un nombre déterminé de pièces d'or spécifiées    Attendu que cette constatation du chiffre de la somme volée a été faite  compétemment par le tribunal correctionnel et par  lui retenue comme un des éléments de sa décision  que   bien que faite en l'absence de la partie privée  elle s'imposait à titre de chose jngée à la  juridiction  civile saisie depuis de la demande formée par Calderini contre  Lucien Muracciole   auteur du vol  16  que contre Muracciole  son père  comme responsable civilement  en restitution de ladite somme de 2 000 fr      D'où il suit que  en réduisant  par une évaluation particulière  de 2 000 à 1 000 fr  la somme à restituer à la victime du vol  la Cour d'appel a violé l'article de loi susvisé et les principes en matière de chose jugée     Casse  etc   ; 18 nov. 1878. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f15.image;187907
187908;16;LA COUR     Sur le moyen unique  tiré de la fausse application de l'art  91  § 4  C  comm      Sur la première branche     Attendu qu'il résulte de l'arrêt attaqué que le crédit de 30 000 fr  ouvert  le 29 nov  1864  à Brethon par Louis Chaudeborde  agent de change  n'a pas été réalisé    Attendu que l'arrêt déclare  en outre  qu'il résulte des faits de la cause que  sur 50 000 fr  d'effets dont les sieurs Pérès Gage et Ader sont détenteurs  30 000 fr  représentent la somme affectée au susdit crédit     Que la désignation spéciale des titres affectés à ce crédit devait  aux termes mêmes de l'acte  être faite sur les livres de l'agent de change  mais qu'aucune justification n'a été produite à cet égard par les consorts Pérès     Qu'on n'invoque d'ailleurs aucune autre cause  de créance au profit de Louis Chaudeborde contre Brethon  qu'on n'invoque même aucune correspondance pour établir l'existence d'un nantissement  qu'ainsi il n'a été justifié par les consorts Pérès d'aucun acte établissant une dette réellement contractée par Brethon envers Louis Chaudeborde     Attendu qu'il est de principe que nul ne peut transmettre plus de droits qu'il n'en a lui même  et que les tiers créanciers  à l'encontre desquels les demandeurs en cassation entendent faire valoir le privilège du gage  sont en droit de se prévaloir de la nullité pour défaut de cause des titres de créance invoqués à l'appui de cette prétention     Attendu que  dans cet état des faits  en décidant que le bon pour transport à titre de nantissement signé Louis Chaudeborde  daté du 23 sept  1872  et remis  aux sieurs Pérès Gage et Ader  devenait sans objet par suite de la non réalisation du crédit et de l'absence de toute dette contractée par Brethon envers Louis Chaudeborde  l'arrêt attaqué n'a pu violer aucun principe de droit  Sur la deuxième branche (sans intérêt)  Rejette etc  bu 2 avril 1878    Ch  req    MM  Bedarrides  prés    Voisin  rapp    Godelle  av  gén  (concl  conf )  Carteron  av   CASS  civ  30 juillet 1877   JUGE DE PAIX  COMPÉTENCE   DEMANDE PERSONNELLE   VALEUR INDÉTERMINÉE   DOMMAGES INTÉRÊTS   Constitue une demande personnelle d'une valeur indéterminée  excédant dès lors la compétence du juge de paix  la demande formée par le locataire d'une maison contre une autre locataire  à l'effet d'être rétabli dans la jouissance d'un pilastre qu'ilprétend être l'accessoire de la boutique qu'il occupe  Et il en est ainsi  alors même que le demandeur conclut en même temps  pour réparation du préjudice éprouvé  à une condamnation de cent francs de dommnges intérêts (2) (L  25 mai 1838  art  1«)   (Ressayrès C  Picard)    ARRÊT   LA COUR   Vu l'art  Ier de la loi du 25 mai 1838     Attendu que l'action formée par Picard devant le juge de paix tendait à ce que Ressayrès fût condamné   1° à lui restituer la jouissance d'un pilastre  qu'il soutenait être un accessoire de la boutique qu'il occupe comme locataire  '2° et à lui payer 100 fr  de dommages intérêts pour le préjudice causé  que Ressayrès  de son côté  prétendait que son bail lui donnait droit à la possession de ce pilastre     Attendu que  dans ces termes  la demande de Picard constituait une action personnelle d'une valeur indéterminée  excédant  dès lors  la compétence du juge de paix   Attendu néanmoins  que ce magistrat  statuant au fond sur ce litige  a condamné Ressayrès à enlever les tringles et marchandises indûment posées par lui sur le pilastre avec défense de récidiver  et  en outre  à 50 fr  de dommages intérêts    Attendu que Ressayrès ayant appelé de cette sentence et ayant conclu devant le tribunal d'appel à ce qu'elle fût déclarée nulle comme rendue par un juge incompétent  le tribunal a décidé  au contraire  que le taux de la demande n'excédait pas la compétence du juge de paix  et au fond a confirmé la décision de ce magistrat     Attendu qu'en statuant ainsi  le jugement attaqué a violé l'article ci dessus visé  et  de ce chef  doit encourir la cassation     Sans qu'il y ait lieu de statuer sur le second moyen     Casse  etc   ; 30 juill. 1877. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f16.image;187908
1879011;26;LA COUR    Sur le premier moyen  tiré de la violation de l'art  7 de la loi du 20 avril 1810 et de l'art  141  C  proc civ   ainsi que des art  1641 1644 et 1648  C  civ      Attendu que sans doute c'est seulement en appel que Salvador a demandé l'application de l'art  1648  C  civ   relatif à l'action en garantie pour vices rédhibitoires   que l'arrêt attaqué a confirmé le jugement  en adoptant les motifs des premiers juges   Mais  attendu qu'il ressort dès motifs du jugement qu'il ne s'agissait point  dans l'espèce  de la garantie des vices rédhibitoires dûe par le vendeur à l'acheteur   qu'il s'agissait de la responsabilité encourue par toute personne qui par sa faute cause à autrui un dommage  d'où il suit que l'arrêt attaqué  en condamnant Salvador  par application de l'art  1382  C  civ   n'a violé aucun des textes cités    Sur le 2e moyen  tiré de la violation des art  1382  1116  1184  1582  1658 et suiv  C  civ   ainsi que d'un excès de pouvoirs     Attendu qu'il est constaté en fait  que Gillet a acheté 25 actions de la Compagnie immobilière sous l'empire des manoeuvres pratitiquées par les administrateurs de ladite compagnie   qu'il les a revendues sans fraude  sans préjudice pour l'exposant  même avec profit pour lui  puisqu'elles ont subi une dépréciation de plus en plus forte   Attendu qu'en condamnant  dans ces circonstances  les administrateurs de la Compagnie à lui rembourser la différence entre le prix d'achat et le prix de revente  l'arrêt attaqué a fait une juste application de l'art  1382  n'a violé aucun des autres textes cités et n'a commis aucun excès de pouvoir    Sur le 3e moyen  tiré de la fausse application des art  1382 et 1582  C  civ      Attendu qu'il est impossible d'admettre que Gillet  en revendant les actions par lui achetées  ait vendu par là même le droit à des dommages intérêts né en sa personne par suite du délit dés administrateurs  droit parfaitement distinct de ceux qui pouvaient lui appartenir en sa qualité d'associé     Rejette  etc   ; 27 mars 1878. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5546683h/f26.image;1879011
