id;page;arrêt;date;juridiction;lien;id
188820;3;    Sur la nature de la société ayant existé entre Serres et Vincens     Adoptant les motifs des premiers juges  Sur la part à supporter dans les pertes par chacun des associés     Attendu que la liquidation de la société en participation ayant existé entre Serres et Vincens n'est point terminée  que si  en pareille matière  chaque co participant doit  en principe  supporter une part dans les pertes  cette part ne peut être fixée quant à présent  la Cour ne possédant pas les éléments nécessaires pour la déterminer  qu'il y a donc lieu  de ce chef  de renvoyer la fixation de ces parts à la liquidation   Sur la prétention du syndic Serres et de la Comp  Nouvelle  tendant à faire juger que la faillite Vincens n'a aucun droit  sur l'actif de la faillite Serres  pour la créance qu'elle peut avoir contre la participation     Adoptant les motifs des premiers juges    Par ces motifs    Réformant partiellement et statuant sur les prétentions respectives des parties     Dit à bon droit et fondée l'intervention de la Comp  Nouvelle     Dit que l'association ayant existé entre Serres et Vincens est une société en participation    Dit  en conséquence  que les faillites Serres et Vincens seront tenues entre elles de supporter le déficit de cette association  et ce  dans des proportions pour la fixation desquelles elles sont renvoyées à la liquidation de cette société     Dit et déclare que la faillite Vincens a  comme tous les créanciers de Serres et de la participation  droit à prendre part à la distribution de l'actif de Serres pour le montant de la créance qu'elle peut avoir  à charge par le syndic de la faillite Vincens de faire vérifier et d'affirmer cette créance dans les formes de droit  etc   ; 22 déc. 1887. ; C. Poitiers;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f3.image;188820
188822;5;LA COUR    Considérant que le nommé Lassue a été surpris  le 16 juill  1886  sur la route de Pont Remy à Saint Riquier  entre le bois de Franciéres et celui de Pont Remy  transportant 257 kilogr  28 décagr  de tabac étranger  que l'endroit où il se trouvait est en dehors du rayon des frontières  où le fait qui lui est imputé peut constituer le délit d'importation   que l'Administration demanderesse ne prouve pas qu'elle poursuivait le délinquant depuis la frontière et exerçait un droit de suite sur la marchandise importée  importée qu'à défaut de cette justification  le fait reproché au prévenu constitue le délit de colportage prévu et puni par l'art  222 de la loi du 28 avril 1816    Par ces motifs   Infirme   Décharge le prévenu des condamnations prononcées     Et faisant ce que les premiers juges auraient dû faire     Condamne Lassue à 1 000 fr  d'amende      Prononce la confiscation  etc   ; 12 août 1886. ; C. Amiens;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f5.image;188822
188823;5;   Attendu que  le 4 janv  1887  Tisserand aîné  Lécrivain et Cie  banquiers à Nuits  ayant reçu de Clerget un certain nombre de traites  qu'ils lui escomptèrent  créaient  au profit de l'ordre de celui ci  un chèque de 4 500 fr   payable chez Guiot et Cie  banquiers à Dijon  lesquels avaient provision   que  le même jour  ils écrivaient à ces derniers de leur adresser  par retour du courrier  en billets de banque  une somme de 7 500 fr   et qu'ils ajoutaient dans leur lettre  qui sera enregistrée en même temps que le présent arrêt   « De plus  nous vous prions de réserver bon accueil à un chèque sur votre caisse de 4 500 fr   ordre de Clerget fils  à vue  et à votre crédit »     Attendu que  le 5 janv   Clerget présenta et remit ce chèque à la caisse de la maison Guiot  que les banquiers offrirent à titre de payement à Clerget une somme de 2 258 fr  65 en espèces et billets de banque  alléguant que les 2 241 fr  35  formant le surplus du montant du chèque  étaient compensés légalement avec pareille somme  liquide et exigible  qui leur était due par Clerget pour causes antérieures  offrant de lui remettre les titres de leur créance  offre renouvelée réellement dans la même journée par acte de Bouchard  huissier  que Clerget a refusé ces offres  prétendant que la compensation légale ne pouvait avoir lieu  eu égard à la nature du chèque  son intention  en présentant ce chèque  étant d'obtenir des espèces ou des billets de banque  pour la totalité de 4 500 fr      Attendu que Tisserand aîné  Lécrivain et Cie  ainsi que Clerget  ont actionné Guiot et Cie  que la question  soumise à la Cour  est celle de savoir si  dans les circonstances de la cause  la compensation légale s'est opérée contre la dette de 2 241 fr  35  de Clerget envers Guiot et Cie  et les 4 500 fr   importance du chèque tiré sur ces banquiers par Tisserand aîné  Lécrivain et Cie  à l'ordre de Clerget  chèque présenté et remis  le 5 janv   à la caisse de Guiot et Cie    Attendu que  d'une manière générale  la création d'un chèque à l'ordre d'un tiers fait présumer l'intention de transférer la propriété de ce chèque (art  1er  4  5 do la loi du 14 juin  8 IIe PARTIE   1865)  que l'art  5 de cette loi donne implicitement recours au dernier bénéficiaire du chèque à ordre contre les divers endosseurs  en se conformant aux prescriptions des art  4 et 5 de ladite loi  que ce recours implique nécessairement que les endosseurs ne sont pas en principe de simples mandataires du tireur    Attendu que les circonstances de la cause  loin de faire échec à cette présomption de translation de propriété  établissent que Clerget n'était pas le simple mandataire des tireurs  qu'en effet  dans leur lettre du 4 janv   ci dessus mentionnée  ces derniers disaient seulement à Guiot et Cie de faire bon accueil à un chèque de 4 500 fr   à ordre de Clerget  mais ne leur faisaient nullement connaître dans quelles circonstances  pour quelle cause  ni même dans quel but ils avaient créé ce chèque  que les tirés devaient donc croire que Clerget était  à cause de la forme à ordre donnée au chèque  le véritable propriétaire du titre dont s'agit  qu'il s'ensuit que Clerget  en présentant ce chèque à la caisse de Guiot et Cie  réclamait de ceux ci le payement d'une somme exigible et liquide  alorsqu'il était leur débiteur direct et principal pour une somme liquide et exigible de 2 241 fr  35  ce qu'il ne conteste pas    Attendu que  dans ces conditions  la compensation légale s'est opérée immédiatement entre cette dette et cette créance  jusqu'à due concurrence  et ce  par application des art  1289 et  suiv   C  civ   auxquels n'a nullement dérogé la loi du 14 juin 1865  sur les chèques  que cette compensation a lieu de plein droit  à l'insu du débiteur et du créancier  par la seule force de la loi  que Guiot et Cie ont donc usé du droit que leur accordait la loi  en opposant à Clerget la compensation légale     Attendu que vainement les intimés prétendent que la détention  par Guiot et Cie  du chèque dont il s'agit  n'est qu'une détention abusive  et que  par application de l'art  1293  § 1er  C  civ   il n'y a pas lieu à compensation légale lorsque le propriétaire d'une chose  dont il a été injustement dépouillé  demande la restitution de cette chose     Attendu que si  en présentant et en remettant à Guiot et Cie le chèque de 4 500 fr   Clerget a pu avoir la pensée que des espèces ou des billets de banque lui seraient versés pour le montant intégral du titre dont il était propriétaire  il ne peut invoquer son ignorance ou son oubli des dispositions de la loi relatives à la compensation légale  que pour déroger aux effets de cette compensation  il eût fallu  ce qui n'existe pas dans la cause  qu'avant la remise du chèque dans la caisse de Guiot et Cie  Clerget eût imposé à ces banquiers  comme condition expresse  de cette remise  que la compensation n'aurait pas lieu  que rien n'établit qu'il ait été convenu  même tacitement  entre Clerget et les tirés  que ceux ci ne pourraient se libérer qu'en versant des espèces ou des billets de banque pour le montant intégral du chèque  que Clerget  pas plus que Tisserand aîné  Lécrivain et Cie  ne prouve  ni fait offre de prouver que Guiot et Cie aient employé des manoeuvres frauduleuses pour se faire remettre le chèque dont il s'agit  qu'il n'y a donc pas lieu de dire que Tisserand  Lécrivain et Cie aient été injustement dépouillés du chèque  que l'art  1293  § 1er  C  civ   est donc inapplicable    Attendu que de ce qui précède  il résulte que la présentation et la remise du chèque par Clerget aux tirés a été volontaire  que  par suite  la compensation s'est opérée  de plein droit  en vertu de la loi  d'une part entre la créance de 4 500 fr   que Clerget portait contre Guiot et Cie en vertu du chèque du 4 janv  1887  et  d'autre part  entre la somme de 2 241 fr  35  dont il était débiteur envers ces mêmes banquiers   que les appels incidents formés tant par Clerget que par Tisserand  Lécrivain et Cie  sont donc mal fondés    Par ces motifs    Infirme    Dit que Guiot et Cie ont usé de leur droit en opposant la compensation légale entre la somme dont ils étaient débiteurs envers Clerget en vertu du chèque et celle dont Clerget était lui même débiteur envers eux  etc   ; 6 mai 1887. ; C. Dijon;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f5.image;188823
188824;6;    Attendu que les débats ont établi que  suivant un vieil usage  les juments poulinières de Perles Castelet avaient été placées sur les pâturages de la montagne  lorsque Francal acquit postérieurement  le 1er mai 1887  un étalon qu'il conduisit  dans les mêmes pâturages  en le confiant au pàtre commun    Attendu que le ministère public relève contre Francal le délit prévu par la loi des 14 15 août 1885  prohibant pour l'emploi de la monte des juments un étalon non autorisé par l'Administration des haras   Attendu que Francal reconnaît que l'étalon n'est pas approuvé  mais oppose  d'une part  qu'en faisant conduire son cheval dans les pâturages de la commune  il a usé du droit qui lui appartient comme habitant de cette commune  et qu'il ne peut répondre des saillies naturelles  si elles ont eu lieu  que  d'autre part  l'existence de ces saillies n'est point justifiée    Attendu  à l'égard de la première exception  que le droit appartenant à tout habitant d'user de son droit de pâturage ne lui donne pas celui  pour l'exercer  de placer un étalon non approuvé dans ce que l'on appelle fort exactement la jumenterie communale   que  sans qu'il soit besoin de rechercher si la loi spéciale des 14 15 août 1885  par sa généralité  son extension et sa portée  ne restreint pas les droits des propriétaires des chevaux  il est certain que le premier devoir de Francal était de s'entendre avec l'administration municipale pour obtenir d'elle la réglementation du mode de jouissance de son droit de pâturage  tandis qu'il s'est empressé d'obtenir de la complaisance des propriétaires  des juments poulinières leur consentement à laisser pacager son étalon  avec les juments   Attendu qu'en admettant la thèse de Francal  mal à propos accueillie par les premiers juges  on élude les prescriptions du législateur  dont les prévisions embrassent évidemment la suppression de l'usage de faire féconder sur les montagnes et en pleine liberté par des étalons non approuvés les juments poulinières  au détriment de la bonne race des chevaux  et  par suite  de l'intérêt public    Attendu  sur la deuxième exception  que le fait des saillies est l'élément constitutif du délit  puisque la loi exige qu'il y ait eu emploi de l'étalon non autorisé pour la monte des juments  que ce fait n'est pas reconnu par Francal  et que  COURS D'APPEL  TRIBUNAUX  ETC  7  dès lors  c'est le cas d'autoriser  sur sa demande  le ministère public à faire cette preuve par voie d'enquête à l'audience devant la Cour    Par ces motifs    Sans s'arrêter ni avoir égard aux exceptions proposées par Francal et les rejetant     Admet  avant de statuer définitivement au fond  le ministère public à prouver que les juments poulinières placées dans les pâturages des communes de Perles Castelet ont été saillies dans ces pâturages par l'étalon non autorisé de Francal  etc   ; 19 oct. 1887. ; C. Toulouse;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f6.image;188824
188825;7;     Attendu que les documents de la cause et les enquêtes auxquelles il a été procédé devant la Cour ont établi que les juments placées dans le pâturage de Perles Castelet ont été saillies par l'étalon de Francal  que  notamment  les deux gendarmes entendus ont déposé que les deux pâtres leur avaient déclaré qu'ils avaient vu les saillies et qu'il aurait fallu ne pas avoir des yeux pour ne pas les voir  que seulement ils ne pouvaient indiquer les propriétaires des juments    Attendu que ces propriétaires ont déclaré avoir voulu continuer l'usage vicieux consistant à faire mener les juments au pâturage sur la montagne  à l'effet d'obtenir des saillies en liberté de l'étalon qu'on mêlait au troupeau    Attendu qu'ils ont ajouté qu'ils ne les avaient amenés dans aucun haras ni à aucun autre étalon    Attendu que le résultat des saillies sur la montagne était prévu et espéré partons  que  particulièrement  le maire fait dans l'instruction les déclarations suivantes   « Les juments poulinières de mes administrés n'ayant pas à ma connaissance de saillie ailleurs  elles le seront certainement par le cheval de Francal » (Procès verbal de la gendarmerie du 13 juin 1887)    Attendu que l'intention criminelle de Francal n'est pas douteuse  que  meunier et se privant de son cheval  il l'a fait placer sur la montagne dans la jumenterie communale pour se procurer le bénéfice alloué annuellement aux propriétaires des étalons     Par ces motifs    Réformant    Déclare Francal coupable du délit prévu et puni par les art  1er et 4 de la loi du 14 août 1885    Condamne Francal  etc  ; 24 nov. 1887. ; C. Toulouse;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f7.image;188825
188826;7;LA COUR     Attendu que la possession de Martin sur l'Ilot litigieux est certaine et incontestée  que les consorts Billault sont demandeurs au pétitoire  qu'il leur incombe de justifier du droit de propriété auquel ils prétendent    Attendu que les titres qu'ils produisent  à savoir l'adjudication de 1879 et l'acte d'échange du 14 août 1880  sont muets sur l'îlot litigieux  qu'ils no renferment aucune clause d'où l'on puisse induire qu'il y ait eu  en ce qui le concerne  transmission de propriété  que la seule chose vendue est la parcelle n° 294  d'une contenance de 10 ares 55 centiares  abornée à la rivière du Loing    Attendu que le revendiquant se fonde vainement sur les dispositions de l'art  561  C  civ   qui attribue la propriété des îlots qui se forment dans les rivières non navigables ni flottables au propriétaire riverain  que cette disposition ne peut être réputée valoir titre que vis à vis de celui qui était propriétaire au  moment où l'ilot s'est formé  qu'en effet  cet îlot est devenu aux mains du propriétaire une propriété distincte  qu'il incombe donc à l'acquéreur du fonds riverain de justifier que son acte d'acquisition lui en a bien conféré la propriété  que les consorts Billault ne font point cette preuve   qu'au contraire  les énonciations de leur litre sont contre eux    Par ces motifs    Confirme etc  ; 15 janv. 1886. ; C. Orléans. ;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f7.image;188826
188827;7;LA COUR   Considérant que la question soumise à l'appréciation de la Cour est rigoureusement délimitée par les termes de l'arrêt de la Cour de cassation qui l'en saisit  qu'il s'agit uniquement de déterminer quels sont les droits de la femme sur l'immeuble dotal ou plutôt sur son prix  en opposition avec ceux de son mari ou des créanciers de celui ci  et de statuer sur l'attribution de la partie de ce prix représentant la plus value acquise par cet immeuble  par suite de constructions nouvelles ou autres améliorations     Considérant que l'immeuble dotal  tel qu'il se trouvait lorsqu'il a été frappé de dotalité  ne peut être séparé des améliorations qui y ont été faites depuis  que ces améliorations ne constituant pas une propriété distincte de l'immeuble primitif  cet immeuble amélioré ne peut perdre pour partie son caractère de dotalité  que ces améliorations se sont  en effet  incorporées à l'immeuble   qu'elles en sont devenues les accessoires  mais sans en chan(1 2)  chan(1 2) dans le même sens  en ce qui concerne l'alluvion  que l'alluvion antérieure à la vente du fonds riverain n'est pas réputée faire partie do plein droit de la vente  elle ne profile à l'acquéreur qu'autant qu'elle a été comprise dans les termes du contrat ou dans l'intention des parties  V  Paris  2 juill  1831 (S  1832   2 112    P  chr )  Adde  M  Fuzier Herman  C  civ  annoté  sur l'art  556  n  54  Cette solution se justifie par la considération que le terrain d'alluvion  et à plus forte raison l'île  qui n'est pas matériellement incorporée au fonds riverain  peuvent faire l'objet d'un droit de propriété distinct  si telle est l'intention des parties   V  Demolombe  Tr  de la distinct  des biens  t  2  n  97  Adde  notre Rép  gén  du dr  fr   v° Alluvion  n  271   IIe PARTIE  ger ni la nature  ni le caractère dotal     Considérant que  de celle double constatation que l'incorporation est le fait matériel et légal et l'indivisibilité sa conséquence  il faut nécessairement induire que les impenses du mari pour l'amélioration de l'immeuble dotal ne peuvent constituer  à son profit  un droit de copropriété sur cet immeuble  mais seulement une créance mobilière contre sa femme jusqu'à concurrence de la plus value dont l'immeuble dotal amélioré s'est accru   que cette créance n'a qu'un caractère de récompense  dont la femme peut être tenue envers son mari  considéré comme son mandataire pour l'administration de sa dot  mais qui doit se régler seulement à la cessation du mandat ou de l'administration    Considérant que  pour faire application à la cause actuelle de ces principes puisés dans la loi elle même  et qu'une doctrine et une jurisprudence autorisées ont consacrés  il y a lieu de décider que la femme Mary Dauphin  mariée sous le régime dotal avec communauté d'acquêts immobiliers  et dont un immeuble dotal  d'une valeur originelle de 12 732 fr   a été adjuge au prix de 23 575 fr   à la suite d'une expropriation poursuivie parle créancier de 7 000 fr   prêtés avec autorisation de justice  a droit à la totalité du prix du par l'adjudicataire  sous la seule déduction de sa dette en capital et intérêts envers Archer  créancier hypothécaire inscrit sur l'immeuble dotal  que le mari  n'ayant aucun droit de copropriété sur cet immeuble  ne peut être déclaré attributaire d'une portion quelconque de son prix  qu'il n'est qu'un créancier chirographaire  et que le sort de sa créance est subordonné à la liquidation des reprises de sa femme  dont le reliquat ne saurait être déterminé qu'à la dissolution du mariage ou au moment d'une séparation de biens judiciaire    Considérant que la conversion de l'immeuble dotal en une somme d'argent  non plus que l'état de faillite du mari  ne sauraient modifier ni atténuer la rigueur de cette solution   que le mari  aux termes de son contrat de mariage  devra faire remploi de la somme échue à sa femme  que le syndic de sa faillite  ne faisant que représenter le mari  n'a d'autres droits que ceux que celui ci pourrait exercer lui même    Considérant que la créance éventuelle du mari ne reposant  d'ailleurs  que sur la plus value donnée à l'immeuble par ses impenses  on pourrait se demander  d'ores et déjà  jusqu'à quel point ces impenses ont été réellement utiles et s'il n'a pas détruit au lieu d'améliorer   si  pour créer une entreprise aléatoire  il n'a pas fait contracter à sa femme  avec autorisation de justice  un emprunt qui a été englouti dans les réparations  ou plutôt la transformation mal comprise de l'usine dotale  si enfin  par sa négligence ou son imprudence à servir les intérêts de cette somme ainsi empruntée  il n'a pas amené fatalement l'expropriation avec toutes ses conséquences désastreuses   qu'en l'état  il ne pourrait donc même pas invoquer l'action de in rem verso fondée sur ce qu'on ne peut s'enrichir aux dépens d'autrui   Considérant que les créanciers du mari pourront faire saisirarrêter entre les mains de sa femme ce qu'elle pourra lui devoir  après qu'il aura été procédé à une liquidation complète de ses reprises de toute nature  mais que  pour le moment  ils sont irrecevables à discuter un article quelconque de ce compte non encore ouvert    Par ces motifs  etc   ; 11 mars 1886. ; C. Lyon;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f7.image;188827
188828;8;    En ce qui touche la fin de non recevoir opposée à la demande en appel de Cyrus Venot fils     Attendu que si  dans ses conclusions du 10 août 1886  il a énoncé aux motifs qu'il s'était toujours opposé au partage en nature  il à néanmoins déclaré s'en rapporter à justice sur le mérite des conclusions à fin de licitation   que celui qui s'en rapporte à justice n'acquiesce pas par avance à la solution à intervenir  qu'il a  au contraire  le droit de la contester  et que Venot fils ne saurait trouver aujourd'hui dans lesdites conclusions une fin de non recevoir à sa demande d'un partage en nature   En ce qui concerne le partage en nature     Attendu que le partage en nature est la règle établie par l'art  826  C  civ    qu'en matière de communauté  il suffit  pour que le partage doive avoir lieu en nature  que les immeubles en dépendant puissent composer deux lots égaux  l'un pour l'époux survivant  l'autre  pour les héritiers du défunt  lors même que la subdivision ne pourrait s'en opérer aisément entre eux  qu'il résulte des documents de la cause que les immeubles dépendant de la communauté Vénot Thorin  consistent en douze pièces do terre d'une contenance de 6 hect  92 ares 87 centiares  dont il est facile de former deux lots d'égale valeur   En ce qui touche les immeubles de la succession     Attendu que Raphaël Venot est sans droit  lors même qu'ils seraient difficilement partageables en nature  pour en faire ordonner la licitation   qu'il est simplement usufruitier de la moitié des biens composant la succession de sa femme   qu'il n'existe aucune indivision entre l'usufruitier et les nus propriétaires   qu'au surplus  ces biens sont eux mêmes partageables en deux lots  en les réunissant aux immeubles à écheoir aux héritiers Venot par suite du partage de communauté  et que ceux ci offrent à leur père de choisir celui des deux lots des immeubles de la succession de Mme Venot sur lequel il voudra faire porter son usufruit     Par ces motifs     Dit que les immeubles de communauté et succession Venot Thorain seront partagés en nature eu égard aux droits des parties  etc   ; 19 mars 1887. ; C. Orléans. ;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f8.image;188828
188829;10;LA COUR    Considérant qu'il ne résulte pas du texte des art  42 et 43 de la loi de 1881  éclairé par la discussion dans les Chambres  que le législateur ait entendu innover et créer en matière de presse une situation spéciale pour le complice  qu'il faudrait trouver dans la loi une disposition expresse  pour qu'en la matière  par une exception unique à la règle générale  la poursuite pour complicité fût subordonnée à la mise en cause préalable de l'auteur    Adoptant au surplus les motifs des premiers juges    Confirme  etc   ; 16 janv. 1888. ; C. Paris;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f10.image;188829
1888210;10;    Attendu  en droit  que l'action civile intentée pour obtenir la réparation du dommage causé par un fait délictueux est soumise à la même prescription que l'action publique  soit qu'elle ait été exercée concuremment avec cette dernière devant la juridiction répressive  soit qu'elle ait été portée directement devant les tribunaux ordinaires  que  d'un autre côté  le demandeur ne saurait  pour échapper aux conséquences de ces règles  modifier la nature de sa réclamation en lui donnant une base purement civile  l'action devant être appréciée d'après sa véritable nature  et non suivant la dénomination employée pour la caractériser   Attendu que la loi du 29 juill  1881 a fait une application particulière de ces principes en stipulant  dans son art  65  que l'action publique et l'action civile résultant des crimes  délits et contraventions qu'elle énumère  seraient prescrites après trois mois révolus à compter du jour où les faits délictueux auraient été commis   Attendu que l'assignation donnée avant l'expiration de ce délai avait sans doute interrompu la prescription  mais qu'elle n'a pas eu pour effet  comme l'ont décidé par erreur les premiers juges  de substituer à la prescription de trois mois une prescription nouvelle  ou de conserver l'action intacte pendant l'instance  quelle qu'en fût la durée  qu'il est  au contraire  certain que la prescription nouvelle reprend son cours à partir de l'acte interruptif  pour être acquise si un nouveau laps de temps de trois mois s'écoule sans un acte utile qui conserve l'action primitivement intentée   Attendu qu'il est certain que  depuis le 9 févr  1885 jusqu'au jour où l'exception de prescription a été opposée  Couderc était resté complétement inactif et n'avait signifié aucun acte  que  dès lors  le moyen aurait dû être accueilli si l'action avait eu réellement pour base une diffamation et naissait ainsi d'un délit    Attendu  à cet égard  que l'exploit introductif invoque bien à la fois les dispositions de la loi du 29 juill  1881 et celles de l'art  1382  C  civ   mais qu'il appartient aux tribunaux de déterminer le véritable caractère de la réclamation judiciaire d'après les faits qui la constituent  qu'en admettant que la demande de radiation du nom de Couderc sur les listes électorales de la commune de Libourne   (1 2 3 4) Il est de principe que l'action civile résultant d'un crime  d'un délit ou d'une contravention  est prescrite par le même laps de temps que l'action publique  alors même qu'elle est portée par une demande distincte et indépendante devant les tribunaux civils  V  Nancy  14 déc  1883 (S  1884 2 157    P  1884 1 871)  et le renvoi  Il en est ainsi spécialement de l'action pour' diffamation introduite devant la juridiction civile séparément de l'action publique  V  Nancy  14 déc  1883  précité  Cass  27 juill  1887 (S  1887 1 297    P  1887 1 734)  et les renvois  Et il ne peut dépendre des parties d'échapper à l'application de cette règle en changeant la qualification des faits  par exemple en les présentant comme un quasi délit soumis Seulement à la prescription trentenaire  V  les autorités citées en note sous Cass  14 mai 1884 (S  1884 1 314   P  1884 1 785)  C'est ce qui a été à diverses reprises jugé en matière de diffamation  diffamation le demandeur ne peut  lorsque les faits présentent les caractères légaux du délit de diffamation  tenter de modifier la nature légale de son action  en visant les art  1382 et suiv   C  civ   au lieu des textes spéciaux qui répriment le délit de diffamation  pour échapper à la prescription de trois mois édictée par l'art  65 de la loi du 29 juill  1881  V  Nancy  14 déc  1883  et Cass  14 mai 1884  précité  Paris  19 mars 1885 (S  1887 2 44    P  1887 1 232)  et les renvois  Mais l'action introduite devant les tribunaux civils échappe à la prescription de l'art  65 de la loi du 29 juill  1881  lorsque les faits sur lesquels se fonde cette action ne présentent pas les caractères constitutifs du délit de diffamation  V  Cass  17 mai 1386 (S  1886 1 376    P  1886  1 915)  et lés renvois  C'était le cas de l'espèce de l'arrêt ci dessus rapporté   COURS D'APPEL  TRIBUNAUX  ETC   11  fondée sur son prétendu état de faillite  put être  à raison de la publicité des registres sur lesquels la réclamation était consignée  assimilée à des écrits distribués ou exposés dans des lieux publics  on ne retrouverait pas dans les agissements du sieur Beylot un élément essentiel et constitutif du délit de diffamation   qu'effectivement  lorsque l'appelant  trompé par une similitude de nom  provoquait la radiation de Couderc sur les listes électorales  il n'était pas animé de l'intention de nuire  et exerçait de bonne foi le droit accordé par la loi à tout électeur inscrit    Attendu que Beylot lui même a reconnu  dans des conclusions signifiées au début même du procès  que l'action de Couderc reposait uniquement sur les dispositions de droit commun de l'art  1382  C  civ   qu'il s'en prévalait pour faire écarter la demande  en soutenant que son adversaire ne justifiait de l'existence d'aucun préjudice  qu'il ressort de tout ce qui précède que les principes relatifs à la prescription d' une action résultant d'un délit ne pouvaient recevoir d'application dans la cause    Par ces motifs    Confirme  etc   ; 16 avril 1886. ; C. Bordeaux;https://gallica.bnf.fr/ark:/12148/bpt6k5580136c/f10.image;1888210
