id;page;arrêt;date;juridiction;lien;id
189100;7;LA COUR    Sur les deux moyens  pris de la violation des art  826 et 920  C  civ   et encore des art  900  826  830 et 832 du même Code     Attendu que la testatrice  en léguant à ses petits enfants la quotité disponible  avait le droit de désigner les biens sur lesquels elle sciait prélevée  que ce droit n'était limité par aucun texte de loi  que rien ne lui interdisait de le déléguer à ses légataires  et de faire par autrui ce qu'elle avait le pouvoir incontesté de faire par ellemême  que cette délégation ne lèse en rien le réservataire Alfred Bizot    Attendu qu'elle n'a pu violer les art  826  830  832  inapplicables aux rapports des légataires avec les réservataires    Attendu que  si la loi limite la quotité dont le père de famille peut disposer  elle ne contient aucune règle en ce qui concerne la nature des biens dont la réserve devra se composer  que le réservataire a droit à une quotité  et qu'il importe peu qu'il en soit rempli par l'attribution de tels ou tels biens héréditaires   qu'il n'y a pas plusieurs réserves  l'une mobilière  l'autre immobilière  mais une seule  calculée sur l'ensemble de la succession   Attendu que si  dans l'espèce  la quotité disponible a été léguée tout entière  le droit d'option ajouté à ce legs ne constitue pas un excédent de libéralité dépassant les pouvoirs de la testatrice    Attendu qu'il n'y a pas là  au point de vue des bénéficiaires  un avantage pécuniaire susceptible d'évaluation en argent  que  d'autre part  au point de vue du réservataire  il n'y aurait préjudice que si  par un abus du droit d'option  les légataires amenaient une dépréciation de certains immeubles et amoindrissaient ainsi la masse héréditaire  mais que ce cas a été réservé par l'arrêt attaqué lui même    Attendu que la critique du pourvoi porte donc moins sur le droit lui même que sur un abus qui deviendrait justiciable des tribunaux et que rien ne permet de prévoir dans l'espèce    Attendu que  l'intégralité de la réserve étant respectée dans l'intention de la testatrice et les dispositions de l'arrêt  il ne peut être question de l'art  900  susvisé et de l'annulation des conditions qui auraient eu pour but d'y porter atteinte    Rejette  etc   ; 29 juill. 1890. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f7.image;189100
189101;7;      Sur le moyen unique du pourvoi (violation des art  1  2  3 de la loi du 14 oct  1814  de l'art  9  C  civ   et de l'art  1er de la loi du 7 févr  1851  modifiée par la loi du 16 déc  1871  en ce que l'arrêt attaqué a débouté l'exposant de sa demande  tendant à le faire déclarer sujet belge  par ce motif que  son aïeul étant né le 11 germ  an 9  à Barbançon  Belgique  à une époque où ce territoire appartenait à la France  et son père étant né en France et n'ayant pas réclamé dans l'année de sa majorité la qualité d'étranger  il était en réalité né en France d'un père français  alors que la Belgique ayant  par suite des traités de 1814  été séparée de la France et devant être considérée comme ne lui ayant jamais appartenu  l'aïeul du demandeur ne pouvait être regardé comme né en France  que son père avait dès lors conservé  en l'absence de toute délaration contraire  la qualité d'étranger  et que  par suite  l'exposant ayant déclaré dans l'année de sa majorité qu'il voulait conserver la qualité d'étranger  avait lui même conservé cette qualité  conformément à la loi)     Attendu qu'aux termes de la loi du 7 févr  1851  est Français tout individu né en France d'un étranger qui lui même y est né  à moins qu'il ne réclame  selon certaines formes  la qualité d'étranger  dans l'année qui suivra l'époque de sa majorité   Attendu qu'il est établi en fait par l'arrêt attaqué  d'une part  que Pierre Fidèle ou Pierre Joseph Deroissart  aïeul du demandeur en cassation  est né  le 11 germ  an 9  à Barbançon  dont le territoire était alors incorporé au sol de la France  d'autre part  que Philibert Deroissart  père du demandeur  est né le 7 juin 1830 à Cousolre  département du Nord  et qu'il n'a pas réclamé dans les formes prescrites la qualité d'étranger  qu'il est donc Français    Attendu que  de ces faits  l'arrêt déduit avec raison la conséquence que  né en France d'un Français  le demandeur en cassation  Julien Deroissart  est lui même Français   Attendu que vainement  pour décliner la nationalité française  Julien Deroissart soutient que le territoire de Barbançon  ayant été compris dans le démembrement effectué en 1814  devait  conformément au traité du 30 avril et à la loi du 14 oct  1814  être réputé n'avoir jamais appartenu à la France  et que  par suite  les habitants qui y étaient nés à l'époque de l'annexion devaient être considérés comme nés à l'étranger     Mais attendu que  sans qu'il soit besoin d'examiner la fiction de rétroactivité invoquée par le pourvoi  il est certain que  dans tous les cas  ladite loi n'a pu modifier (l) La chambre criminelle s'est déjà prononcée en ce sens par un arrêt du 7 déc  1883 (S  1885   1 89    P  1885 1 185)  V  la note sous cet arrêt  et le rapport de M  le conseiller Tano'n   reproduit avec le même arrêt   8  1re PARTI  les conséquences du fait matériel de la naissance sur un sol alors français     D'où il suit qu'en refusant  en ces circonstances  de déclarer étranger Julien Deroissart  loin d'avoir violé les dispositions de loi citées à l'appui du pourvoi  l'arrêt attaqué en a  tout au contraire  fait une saine application    Rejette  etc   ; 25 févr. 1890. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f7.image;189101
189102;8;LA COUR    Sur l'unique moyen     Vu les art  7 de la loi du 20 avril 1810  1382 et 1383  C  civ     Attendu que  par des conclusions prises pour la première fois devant le tribunal  le sieur Lehardeley demandait que l'expertise sur laquelle s'était fondé le juge de paix fût déclarée  nulle  en tous cas incom lète  notamment « comme étant prématuré   comme n'ayant pas été faite en présenc des parties ou elles dûment appelées  omme basée sur des constatations et des recherches personnelles faites dans un instance étrangère et dans d'autres b is que ceux du concluant  comme renfermant une lacune grave en ne constatant pas d'une façon précise si les terres ava eut été convenablement préparées et e semencées »     Attendu que le jugement attaqué  en confirmant purement et sin plement la décision du juge de paix  a rejeté implicitement  sans donner de m tifs  la demande en nullité de l'expertise  qu'en outre  il a admis la responsabilité du demandeur  sans constater aucun fait précis constituant une faute qui lui fût imp table  qu'en statuant ainsi  il a violé 1 s articles de loi susvisés    Casse  etc   ; 23 juin 1890. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f8.image;189102
189103;8;     Sur le moyen unique  pris de la violation des art  1382  1383  1385 et 1165  C  civ     Attendu que le jugement attaqué constate que les sangliers retirés dans la forêt domaniale d'Andaine  et dont le nombre s'était considérablement accru  ont causé des dommages à la propriété du défendeur éventuel  que le même jugement constate que sir Richard Wallace  adjudicataire du droit de chasse dans ladite forêt  n'y a fait que des chasses insuffisantes  que  mis en demeure par le conservateur des forêts de détruire dix sangliers dans un délai déterminé  il n'en a détruit que cinq   qu'il n'a pas concouru aux battues ordonnées par le préfet de l'Orne pour la destruction des animaux nuisibles habitant la forêt d'Andaine    Attendu que le pourvoi prétend vainement que ces infracaux injonctions des agents de l'Etat ne pouvaient constituer l'adjudicataire en faute vis à vis du défendeur éventuel  étranger au contrat intervenu entre l'Etat et l'adjudicaire    Attendu  en ellet  qu'il résulte de l'art  3 de l'ordonn  du 20 juin 1845  que les dispositions contenues dans les cahiers des charges dressés pour l'adjudication du droit de chasse dans les forêts domaniales  afin d'assurer la destruction des animaux nuisibles  y sont inscrites tant dans l'intérêt de la conservation des forêts qu'en vue de préserver de tout dommage les propriétés particulières  qu'aux termes de l'art  4 de la même ordonnance  les fermiers de la chasse sont tenus de concourir aux chasses et battues ordonnées par les préfets pour la destruction des animaux nuisibles    Attendu qu'il est encore constaté par le jugement attaqué que  loin de faire ce qui était en son pouvoir pour s'opposer à la multiplication des sangliers  l'adjudicataire de la chasse n'a pas chassé dans les endroits où les agents forestiers lui avaient  à plusieurs reprises  signalé la présence de laies suivies de marcassins    Attendu qu'en présence des faits ainsi constatés  c'est à bon droit que le jugement attaqué a déclaré le demandeur en cassation responsable du dommage causé aux propriétés de Bonin par les sangliers de la forêts dont la chasse lui avait été adjugée  et qu'en statuant ainsi  loin de violer les principes de droit et les articles de loi invoqués par le pourvoi  il n'a fait qu'une juste application des art  1382 et 1382  C  civ      Rejette  etc  ; 8 juill. 1890. ;Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f8.image;189103
189105;11;LA COl'R     Sur le moyen unique  pris de la violation des art  511 et 1351  C  civ   de la loi du 20 juill  1821 et de la loi du 23 juin 1857     Attendu que si  en matière do concurrence déloyale ou d'usurpation démarque de fabrique  la décision qui condamne ou acquitte le prévenu n'emporte pas chose jugée à l'égard des laits ultérieurs  objet d'une poursuite nouvelle  il n'en est pas de même des décisions rendues par un Iribunalcivil ou commercial  saisi d'un chef distinct principal ou préjudiciel relatif à la propriété ou à la jouissance d'un nom  ou au droit acquis à tout successeur d'une ancienne maison de commerce de se prévaloir de l'origine de l'établissement qu'il continue     Attendu que ni le texte  ni l'esprit de l'art  1351  ne s'opposent à ce qu'il soit rendu sur ces points une décision définitive qui s'impose à l'avenir en déterminant les limites de l'exercice légitime du droit  que le respect de celte décision ne peut nuire à la répression des abus qui viendraient à être commis    Attendu que  dans l'espèce  un jugement commercial du 6 juill  1876  passé en force de chose jugée  avait statué à la fois sur une plainte en concurrence déloyale  qui fut déclarée non justifiée  et sur un fait bien distinct  relatif à l'usage du nom de Louis Marquis  connue prédécesseur de Percheron   que ce jugement avait consacré le droit de Percheron de se qualifier sur les enseignes  factures  lettres et produits de son commerce  « successeur de l'ancienne maison L  Marquis »     Attendu qu'il n'y avait pas lieu de remettre en question ce droit  parce que  plus lard  Percheron ou son cessionnaire  abusant du nom de Marquis  dans un but de concurrence déloyale  ont mérité une répression  et ont dû être condamnés à des dommages intérêts     Attendu  d'ailleurs  que  tout en respectant en principe la chose jugée  l'arrêt attaqué n'a pas refusé de compléter l'indication des mesures ou la formule des inscriptions destinées à prévenir plus sûrement à l'avenir la confusion des produits et des maisons de commerce du demandeur et des défendeurs     Rejette  etc   ; 311 avril' 1888. ; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f11.image;189105
189106;12;     Sur e premier moyen  pris de la violation des art  7 de la police et 1134  C  civ       tendu que l'arrêt attaqué déclare  en fait  que le contrat d'assurance passé par hébaud et Cie avec la Comp  l'Equitable c ntre le risque de chômage n'est deven définitif que le ler juin 1886  et que le sinistre a eu lieu dans la nuit du 3 au 4 juin suivant    Attendu qu'à la date d 16 mai 1885  Thébaud et Cie s'étaient as urés contre l'incendie à la Comp  la Me nerie française  et que l'art  7 de la police imposait à Thébaud et Cie  sous peine de échéance  l'obligation  l'obligation  cas d'assurance nouvelle  même pour le chômage de déclarer immédiatement l'assurance nouvelle à la Comp  la Meunerie française  que  la déclaration de l'assurance contre le chômage n'ayant pas eu lieu avant le sinistre  la Comp  la Meunerie française a opposé à Thébaud la déchéance édictée par l'article précité    Attendu que  par interprétation de la convention  l'arrêt  en se fondant sur les circonstances du fait et sur l'esprit de cette convention  a déclaré que  dans l'intention des parties  la déchéance ne pouvait avoir été encourue pour défaut de déclaration dans le délai qui s'est écoulé à partir du jour où le contrat d'assurance avec l'Equitable est devenu définitif jusqu'au jour du sinistre   qu'il n'est point établi que cette interprétation ait dénaturé la convention  et qu'elle échappe au contrôle de la Cour de cassation   Sur le second moyen  pris des mêmes art  7 de la police  et 1134  C  civ      Attendu qu'aux termes de l'art  7 de la police  les nouvelles assurances ne devaient être déclarées à la Meunerie française qu'autant qu'elles couvraient des objets ou des risques déjà garantis par la Meunerie française  qu'il est vrai que Thébaud et Cie  plusieurs mois avant l'incendie  s'étaient assurés pour leur comptabilité à la Comp  la Mutuelle générale française  et que cette assurance n'a pas été déclarée    Mais attendu que les objets et les risques couverts par la Mutuelle générale étaient différents de ceux garantis par la Meunerie française  qu'aucune déclaration n'était donc nécessaire  qu'en vain il est prétendu que la perte matérielle des livres de commerce était comprise dans les deux assurances  que cette allégation  que rien ne justifie  est démentie par les constatations de l'arrêt attaqué  que l'identité des risques n'est pas davantage justifiée   qu'en décidant  par suite  qu'aucune déchéance ne pouvait résulter du défaut de déclaration  l'arrêt attaqué  loin de violer l'art  7 de la police et l'art  1134  C  civ   en a fait une juste application     Rejette  etc   ; 11 mars 1890.; Ch. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f12.image;189106
189107;15;LA COUR    Sur le premier moyen du  pourvoi     Attendu que l'arrêt attaqué contient toutes les énonciations prescrites par l'art  141  C  proc   que ni cet article  ni aucune autre disposition de loi n'exige  à peine de nullité  que l'accomplissement des formalités relatives au règlement des qualités soit constaté dans les expéditions des jugements ou arrêts    Attendu qu'il appert d'un extrait des minutes du greffe de la Cour d'appel de Paris  extrait en due forme et régulièrement produit par la défense  que les qualités de l'arrêt attaqué ont été rédigées et signées par Me Vacheron  avoué constitué en appel pour la Société ardennaise et autres intimés    Attendu que  si l'acte de signification de ces qualités à Me Poullet  avoué  qui avait occupé pour les opposants  ne faisait pas mention expresse du nom de l'avoué à la requête duquel cette signification avait lieu  cet acte  complété et expliqué par la copie desdites qualités données en télé de l'exploit et faisant ainsi corps avec lui  ne laissait aucun doute possible sur le nom et la qualité du requérant  qu'ainsi cet acte d'avoué à avoué a réuni toutes les conditions nécessaires à sa validité    D'où il suit qu'il n'a point été contrevenu  dans la cause  aux prescriptions des art  141 et 143  C  proc  visés par le pourvoi   Sur les deuxième et cinquième moyens du pourvoi réunis     Attendu que  par une souveraine appréciation des faits et circonstances de la cause  l'arrêt atttaqué constate que les dix porteurs d'actions de capital  qui ont pris part aux assemblées générales des 24 sept  et 15 oct  1881  constitutives de la société anonyme  dite Comp  ardennaise  et qui ont concouru aux votes émis dans ces assemblées  soit pour la nomination des commissaires chargées d'apprécier la valeur des apports en nature  soit pour approuver définitivement l'évaluation desdits apports et les avantages particuliers stipulés au profit de certains actionnaires  étaient des souscripteurs véritables et non fictifs  ayant pris leurs actions pour eux mêmes et non pour des tiers  et ayant réellement versé ou fait verser  pour leur propre compte  le montant du premier quart des actions dont ils étaient porteurs    D'où il suit qu'eu décidant que la société n'avait point été constituée en contravention aux prescriptions des art  1  24 et il de la loi du 24 juill  1867  visés par le  pourvoi  l'arrêt attaqué n'a point violé ces articles  mais en a fait une saine application à la cause  et qu'en donnant à sa décision pour motifs les constatations ci dessus relevées  il ne l'a pas laissée sans base légale  ni sans réponse les conclusions des appelants   Sur le troisième moyen du pourvoi     Attendu que  s'il résulte de l'arrêt attaqué que le Comptoir industriel  souscripteur de la majeure partie des actions du capital dans la Comp  ardennaise  avait  dans un traité particulier  intervenu entre lui et Hervier et consorts  à la date du 10 sept  1881  arrêté à l'avance à 2 millions de francs  payables en actions libérées  la valeur des apports en nature qui devaient être faits par lesdits Hervier et consorts  alors que cette valeur n'avait point encore été fixée au même chiffre et dans les mêmes  conditions par les assemblées générales des 24 sept  et 15 oct  do la même année  assemblées auxquelles a pris part le Comptoir industriel  ce même arrêt constate que  lors de la liquidation de la pre mière société ardennaise  Hervier et consorts étaient devenus acquéreurs de l'actif de celte première société  à la charge d'en faire apport à la seconde société qu'ils avaient mission de constituer  et que  si une évaluation de 2 millions en actions libérées avait été donnée à cet apport dans la convention du 10 sept   cette indication no s'écartait pas du prix pour lequel l'actif de la société dissoute avait été cédé à Hervier et consorts dans le compte de liquidation de la précédente société  avec l'approbation d'une assemblée générale dans laquelle Congar et consorts avaient été présents ou représentés    Attendu qu'en déclarant que le traité du 10 sept  ne contenait que des indications par lesquelles  non plus que par les autres clauses de ce traité  l'assemblée générale de la nouvelle société n'étant pas liée  il ne pouvait être fait échec à ses droits  la Cour d'appel  en usant de son pouvoir souverain d'appréciation de l'intention des parties  et d'interprétation de cette convention  a pu déclarer qu'elle n'avait qu'un caractère provisoire    Attendu que  dans ces circonstances de fait  l'arrêt attaqué a pu décider que la participation du Comptoir industriel aux voles des assemblées générales sur la valeur des apports n'avait point vicié les délibérations intervenues  d'ailleurs  dans les conditions et les formes prescrites par la loi du 24 juill  1867    Sur le quatrième moyen du pourvoi  première branche     Attendu que si  dans les motifs de leurs conclusions en appel  Congar et consorts ont excipé de la convention du 10 sept  1881  en ce qui concerne la nomination du conseil do surveillance  ils ne se sont  prévalus de l'existence de celte convention qu'à l'effet d'établir le grief formulé dans leur moyen relatif à l'évaluation des apports en nature  et n'en ont jamais excipé comme constituant un fait qui pouvait donner lieu  de lui même  à la nullité de la société par suite de l'élection irrégulière  des administrateurs  que  dans le résumé de leurs conclusions  ils se sont bornés à demander à la Cour d'appel de décider que la Société ardennaise était nulle pour violation des art  1  14 et 23 de la loi du 21 juill  1867  dans les opérations de sa constitution  mais qu ils n'ont point argué de là à la nullité pour violation de l'art  25 de la même loi     Attendu  dès lors  que le quatrième moyen étant nouveau en cetle branche  ne peut être utilement proposé pour la première fois devant la Cour de cassation  et doit  en conséquence  être rejeté comme non recevable   Sur la deuxième branche du même moyen     Attendu que  s'il est reconnu par l'arrêt attaqué que  dans la convention du 10 sept  1881  il avait été arrêté entre le Comptoir industriel et Hervier et consorts  qu'aucun nouvel appel de fonds ne pourrait avoir lieu sans entente préalable avec ledit Comptoir  l'arrêt attaqué a déclaré  en même temps  que cette convention  16  Ire PART  ne liant pas l'assemblée générale  n'avait point fait échec à ses droits    Attendu qu'il appartenait aux juges d'apprécier  d'après les circonstances de la cause  si le consentement des actionnaires présents aux assemblées générales des 24 sept  et 15 oct  1881  avait été libre et indépendant  et si les droits de ces assemblées avaient été gênés    D'où il suit qu'en statuant ainsi qu'il l'a fait  surtout après avoir constaté  dans ses motifs  qu'il n'y avait point eu de combinaison frauduleuse de la part des défendeurs  l'arrêt attaqué n'a violé aucun texte de loi     Rejette  etc   ; 20 nov. 1888. ;Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f15.image;189107
189108;16;     Altendu que Sobolewski a été assigné à comparaître devant le tribunal civil de Bordeaux en payement du prix d'une villa édifiée pour lui à Arcachon par Martin  entrepreneur de travaux dans cette ville  qu'il a  ainsi que sa femme  intervenante  décliné la compétence de ce tribunal  mais que  cette compétence ayant été reconnue par l'arrêt de la Cour de Bordeaux du 30 janv  1890  il a formé contre cet arrêt une demande en règlement déjuges  dont la recevabilité  selon l'art  19 de l'ordonnance d'août 1738 n'est par contestée    Au fond   Attendu que les époux Sobolewski fondent leur demande en règlement sur ce que  quoiqu'ils soient étrangers et non autorisés à résider en France  ils n'en ont pas moins  à Neuilly sur Seine  un domicile de fait  où  conformément à l'art  59  C  proc  ils doivent être assignés      Mais attendu que ce môme article permet également d'assigner le défendeur au lieu du domicile élu pour une affaire déterminée  cette élection renfermant attribution de juridiction au tribunal de ce domicile  qu'il convient  en conséquence  d'examiner si  pour l'exécution de la convention conclue entre Sobolewski et Martin  en vue de la construction dont le coût est  l'objet du procès  il n'a as été dérogé  du consentement des épou  Sobolewski  à la règle du § 1er de l'art 59     Attendu  en fait  que dans aucun es actes ou documents se rapportant à cette convention  Sobolewski ne s'est dé igné une autre résidence qu'Arcachon   ue déjà  dans le devis des travaux à fair   il se dit propriétaire à Arcachon   qu' 1 a constamment renouvelé cette indicati n dans les sommations adressées plus tar par lui à Martin  et que  même  plusieurs de ces sommations portent qu'il demeure t est domicilié à Arcachon  que ces éno dations  répétées dans les significations faites à Martin  n'auraient pas eu de ens si on ne les avait prises comme ind catives d'un domicile choisi pour le règle lent des difficultés particulières auxquelles pouvaient donner lieu les réclamations ui y figuraient  qu'elles contiennent do c la volonté manifeste de la part de Sob ewski de recevoir les actes qui lui seraien délivrés par Martin au lieu où il disait lu   même se trouver  et  par suite  d'y consti uer domicile   que cette volonté ressorta t d'autant mieux qu'il y avait avantage p ur les deux parties à ne pas éloigner le d bat judiciaire suides questions difficiles à trancher ailleurs qu'à Arcachon  qu'il ré ulte de ces faits et circonstances que Mart n était autorisé à assigner Sobolewski a i domicile spécial que celui ci lui avait fait connaître et ne peut renier ensuite à son gré   qu'il suit de là que le tribunal civil de Bordeaux était compétent pour connaî re de la contestalion  qu'à ce point de vie  le déclinatoirc devait être rejeté    Réglant de juges   Rejette la requête  dit ue le tribunal civil de Bordeaux a été va ablement saisi du litige   Et attendu  q ant au pourvoi en cassation formé subsi iairement par les époux Sobolewski  que e pourvoi est sans objet  la demande en règlement de juges ayant reçu solution pa des moyens tirés du fond  qu'il n'y a don pas lieu de statuer sur ledit pourvoi     it qu'il n'échet de statuer sur le pourvoi en cassation  qui sera considéré comme i on avenu  etc   ; 29 juill. 1890. ;C a. req. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f16.image;189108
189109;16;"   Statuant sur la première branche du moyen du pourvoi    Vu les art  7  g 3 de la loi du 11 frim  an 7  68 et 98 de la loi du 4 avril 1884    Altendu qu'il résulte des textes précités   I"" que  parmi les receltes ordinaires du budget communal figure le produit des permis de stationnement et de location sur la voie publique  sur les rivières  ports et quais fluviaux et autres lieux publics  2° que ces permis ne doivent être délivrés que lorsque les administrations ont reconnu que cette location peut avoir lieu sans gêner la voie publique  la navigation  la circulation et la liberté du commerce   3° que la fixation du tarif de ces droits de stationnement et de location est placée dans les attributions des conseils municipaux  sauf approbation de l'autorité supérieure  4° que  si le préfet a le droit d'autoriser ces tarifs  c'est seulement lorsqu'il s'agit d'objets louchant à un intérêt d'administration départementale ou communale  mais qu'il faut un décret du Gouvernement quand il s'agit de l'intérêt général de l'Etat  et qu'il en est ainsi notamment des droits de stationnement et d'amarrage sur les ports  quais  rivières et autres dépendances de la grande voirie  droits dont la perception pourrait porter atteinte à la liberté du commerce et de la navigation    Attendu qu'il suit de là que cette perception n'est légale que lorsqu'elle a lieu en vertu d'un tarif régulièrement approuvé par le gouvernement    Et attendu que  pour condamner les sieurs Darboy et C'e à payer les sommes réclamées par la ville de Lyon pour stationnement de leurs pontons et amarrage de leurs bateaux  l'arrêt attaqué s'est fondé uniquement sur un prétendu contrat de bail invoqué par la ville et consenti de gré à gré  qu'en statuant ainsi l'arrêt attaqué a formellement violé les articles susvisés     Sans qu'il soit besoin de statuer sur les autres branches du moyen     Casse l'arrêt rendu le 6 déc  1888 par la Cour d'appel de Lvon  etc  "; 4 nov. 1890. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f16.image;189109
1891010;23;LA t UUri    Sur le moyen unique proposé par le pourvoi     Attendu qu'il est reconnu entre les parties que les titres  objet du litige  étaient des obligations émises par le gouvernement russe  productives d'intérêt à 4 p  100 l'an  mais soumises aux chances d'un tirage annuel  à la suite duquel les obligations sorties  étant remboursables à' 500 fr   cessent de produire des intérêts   qu'il est encore reconnu que  parmi les titres » dont Levesque était porteur  80 sont sortis    soit au tirage de 1871  soit à celui de 1878   et que Levesque a néanmoins touché jusqu'en 1884  par les mains du Comptoir  d'escompte  les coupons d'intérêts afférents à chacun de ces titres     Attendu que l'arrêt attaqué constate d'abord que le payement desdits coupons a eu lieu par erreur  qu'ensuite  en réponse à l'allégation de faute personnelle produite contre le Comptoir d'escompte  et tirée de ce qu'il n'aurait pas dû payer sans vérifier si les obligations étaient échues  l'arrêt ajoute que le Comptoir  usant d'une précaution licite  avait pris soin d'imposer à Levesque  comme à tous autres porteurs  par des menlions aussi précises qu'ap   24  1re PARTIE   parentes  inscrites tant sur les bordereaux que sur les quittances  l'obligation de vérifier lui même les listes de tirage  et de restituer au gouvernement russe tous intérêts indûment perçus sur des obligations échues  que Levesque a souscrit à cette convention en connaissance de cause  et en a librement accepté les conséquences     Attendu qu'en décidant  dans ces circonstances  que le Comptoir d'escompte était fondé à réclamer du demandeur la restitution des sommes litigieuses  et à en imputer le montant sur le capital des obligations devenues exigibles  l'arrêt attaqué  loin de violer aucun article de loi  a  d'une part  motivé régulièrement sa décision  et  d'autre part  a sainement appliqué l'art  1377  C  civ     Rejette  etc  ; 13 mai 1889. ; Ch. civ. ;https://gallica.bnf.fr/ark:/12148/bpt6k5794236q/f23.image;1891010
